origin_hangle,changed_hangle,first_translate,second_translate,reason,label
쏴아아아,쏴아아아  ,splash,splash,,shwaaa
끼익,끼익  ,creak,creak,,creak
아가씨?,아가씨?  ,my lady?,My lady?,,my lady?
뚝,뚝  ,drip,drip,,drip
뚝,뚝  ,drop,drop,,drop
무슨 일입니까?,무슨 일입니까?  ,what is it...,what is it...,,what's wrong?
이 늦은 시간에..,이 늦은 시간에.  ,...it's so late.,...it's so late.,,it's late...
툭,툭  ,tap,tap,,tk
비를 맞으셨잖아요.,비를 맞으셨잖아요.  ,you're soaking wet.,"You've been caught in the rain, haven't you?","[한글 대화]는 ""비를 맞으셨잖아요.""로, 상대가 비를 맞았다는 사실을 지적하는 문장이다.  
[1차 영어 번역문] ""you're soaking wet.""은 결과 상태만을 말하고 있으며, 비를 맞았다는 원인 정보가 생략되어 있어 정보의 양이 다르다.  
또한 원문의 높임 표현(맞으셨잖아요)을 고려할 때 공손한 어투가 필요하다.",...and you'ra soaking wet.
무슨 일 있었습니까?,무슨 일 있었습니까?  ,did something happen?,Did something happen to you?,"원문의 ""무슨 일 있었습니까?""는 존댓말이며, 평서문 형태의 의문문이다. 1차 영어 번역문 ""did something happen?""은 주어가 없고 구어체이며, 존댓말의 뉘앙스가 반영되지 않았다. 또한 영어 의문문에서는 주어가 반드시 필요하므로, 적절한 주어를 추가하고 공손한 표현으로 번역해야 한다.",did something happen?
풀썩,풀썩  ,flop,flop,,flop
!,!  ,!,!,,!
…,…  ,...,...,,...
"잠시만요,","잠시만요,  ",hold on...,hold on...,,"wait,"
지금 옷이 지저분해서..,지금 옷이 지저분해서.  ,...i'm dirty right now.,...i'm dirty right now.,,my clothes are dirty...
킁킁,킁킁  ,sniff,sniff,,sniff
안아줘,안아줘.  ,hold me.,Hold me.,,hold me.
네?,네?  ,what?,What?,"[한글 대화] ""네?""는 상대방의 말을 되묻는 표현으로, 영어로는 ""What?"" 또는 ""Pardon?"" 등으로 번역될 수 있습니다. 문맥상 상대방이 ""안아줘.""라고 말한 직후 놀라거나 당황해서 되묻는 상황이므로, ""What?""이라는 번역은 적절하며 정보의 양도 동일하고 의미도 일치합니다.",pardon?
추워..,추워.  ,i'm cold...,i'm cold...,,I'm cold...
자꾸 이러시면 곤란합니다.,자꾸 이러시면 곤란합니다.  ,please don't do this.,It will be a problem if you keep doing this.,"[1차 영어 번역문] ""please don't do this.""를 한글로 번역하면 ""제발 이러지 마세요.""로, 이는 정중한 부탁의 표현이지만, 원문인 ""자꾸 이러시면 곤란합니다.""는 반복적인 행동에 대한 경고와 불편함을 표현하는 문장이다. 또한 원문은 평서문이며, 주어가 생략되어 있지만 문맥상 상대방에게 말하는 것이므로 영어 번역에는 주어가 포함되어야 한다. 따라서 정보의 양이 다르고, 의미도 완전히 일치하지 않으므로 새로 번역해야 한다.",you shouldn't keep doing this.
스윽,스윽  ,lift,lift,,ssk
왜?,왜?  ,why not?,Why?,"[한글 대화] ""왜?""는 단순히 이유를 묻는 질문이며, ""why not?""은 어떤 제안이나 요청에 대해 반대하는 이유를 묻는 표현으로 의미가 다릅니다. 따라서 의미가 일치하지 않으므로 새로 번역해야 합니다.",why not?
어차피 넌 내 거잖아.,어차피 넌 내 거잖아.  ,you're mine anyway.,You're mine anyway.,,you're mine anyway.
"..네 그렇지만,","..네 그렇지만,  ","yes, but...","yes, but...",,yes...
절 모르시잖아요.,절 모르시잖아요.  ,...you don't know me.,...you don't know me.,,...but you don't know me.
내가 널 왜 몰라?,내가 널 왜 몰라?  ,of course i know you.,Why wouldn't I know you?,"[한글 대화]는 ""내가 널 왜 몰라?""로, 이는 ""내가 너를 모를 이유가 뭐가 있겠어?""라는 반문이며, 직역하면 ""Why wouldn't I know you?"" 또는 ""Why don't I know you?""가 됩니다. 반면 [1차 영어 번역문] ""of course I know you.""는 단정적인 진술로, 원문의 반문적 뉘앙스를 살리지 못했고, 의미도 다릅니다. 따라서 의미가 일치하지 않으므로 새로 번역해야 합니다. 주어는 ""I""입니다.",of course i know you.
"모르세요,","모르세요,  ","no, you don't...","no, you don't...",,"no, you don't."
쏴아아아,쏴아아아  ,...splash,...splash,,shwaaa
아가씨는 아무것도 모르십니다.,아가씨는 아무것도 모르십니다.  ,...you don't know anything.,...you don't know anything.,,you don't know anything.
쏴아아아,쏴아아아  ,splash,splash,,shwaaa
..그래?,..그래?  ,really?,really?,"[한글 대화] '..그래?'는 상대방의 말에 대한 반문 또는 확인의 의미로, '정말 그래?' 또는 '그래?' 정도로 해석된다. 'really?'는 이 의미를 잘 전달하고 있으며, 문맥상 주어 생략이 자연스러운 감탄문 형태이므로 주어 생략도 허용된다.",is that so?
스윽,스윽  ,lean,lean,,ssk
쓰윽,쓰윽  ,lean,lean,,shk
"그럼 명령할게,","그럼 명령할게,  ",then i command you...,then i command you...,,then i command you...
날 안아,날 안아.  ,...to hold me.,...to hold me.,,...to hold me.
명령이야,명령이야.  ,it's an order.,I order you.,"원문 ""명령이야.""는 주어가 생략된 평서문이며, 이를 영어로 번역할 때는 주어를 명시해야 한다. 또한 ""it's an order.""는 수동적인 표현이므로, 능동적인 표현으로 바꿔야 한다.",it's an order.
사랑하는 아가씨,사랑하는 아가씨.  ,"my beloved lady, why can't i have all of you...?","my beloved lady, why can't i have all of you...?",,"my beloved lady,"
끼익,끼익  ,creak,creak,,creak
내 모든 것은 오직 아가씨의 것인데,내 모든 것은 오직 아가씨의 것인데.  ,"all of me is yours, but...","all of me is yours, but...",,i am yours in my eternity...
왜 나는 당신의 전부를 가질 수 없나요.,왜 나는 당신의 전부를 가질 수 없나요?  ,"all of me is yours, but...","all of me is yours, but...",,...yet why can't i have all of you?
두려울 때마다 내 품을 찾지만,두려울 때마다 내 품을 찾지만.  ,"you come to me whenever you're afraid, but...","you come to me whenever you're afraid, but...",,you seek solace in my arms when you're afraid...
끼익,끼익  ,creak,creak,,creak
언제나 연유를 얘기해 주시는 법은 없으시죠.,언제나 연유를 얘기해 주시는 법은 없으시죠.  ,...you never tell me why.,...you never tell me why.,,...but you never reveal what haunts you.
때로는 당신의 머릿속 잡념까지 전부 먹어치우고 싶은 어두운 충동이 듭니다.,때로는 당신의 머릿속 잡념까지 전부 먹어치우고 싶은 어두운 충동이 듭니다.  ,"sometimes, i have a dark impulse to devour every thought inside your head.","Sometimes, I feel a dark urge to devour every stray thought in your mind.","[1차 한글 번역문]은 ""머릿속 잡념""을 ""every thought inside your head""로 번역했는데, 이는 ""잡념""이라는 부정적인 뉘앙스를 일반적인 ""생각""으로 바꿔 의미가 다소 달라졌고, 정보의 양도 다릅니다. 또한 ""먹어치우고 싶은 충동이 듭니다""는 능동태로 번역되어야 하므로, 원문을 기준으로 다시 능동태로 번역합니다.","sometimes, i feel a dark loning to devour every distraction that fills your mind."
가엽게도..,가엽게도.  ,how pitiful...,how pitiful...,,"alas,"
참으로 탐욕스러운 하인을 두셨습니다..,참으로 탐욕스러운 하인을 두셨습니다.  ,you have such a greedy servant...,you have such a greedy servant...,,"what a selfish, fool of a servant you have."
65,65  ,nan,65,"해당 [한글 대화]는 ""65""로, 효과음이나 의성어, 의태어가 아닌 숫자 표현이다. 문맥상 회차 번호나 장면 전환을 나타내는 장면 번호일 가능성이 높으며, 대사로서 의미 있는 문장이 아니므로 번역이 필요하지 않다.",nan
덜컹,덜컹  ,clunk,clunk,,clunk
..!,..!  ,...!,...!,,...!
흠칫,흠칫  ,flinch,flinch,,flinch
덜컹,덜컹  ,clunk,clunk,,clunk
술렁술렁,술렁술렁  ,rattle,rattle,,murmur
덜컹,덜컹  ,clunk,clunk,,clunk
술렁술렁,술렁술렁  ,rattle,rattle,,murmur
덜컹,덜컹  ,clunk,clunk,,clunk
..약효가 약했나 보군요.,..약효가 약했나 보군요.  ,the medicine must not have been strong enough.,The medicine must not have been strong enough.,"[한글 대화]는 능동태 표현이며, '약효가 약했나 보군요'는 '약효가 충분하지 않았던 것 같다'는 의미로, 말하는 사람이 약의 효과에 대해 추측하는 문장이다. [1차 영어 번역문] 'the medicine must not have been strong enough.'는 수동태가 아니며, 의미와 정보량도 일치하고, 능동적인 추론 표현이므로 그대로 사용 가능하다.",it seems the tonic was not strong enough.
뚜벅,뚜벅  ,step,step,,tmp
가만히 계세요.,가만히 계세요.  ,hold still.,Please stay still.,"원문 ""가만히 계세요.""는 존댓말이며, 명령문 형태로 상대에게 조용히 움직이지 말고 있으라는 의미다. 1차 영어 번역문 ""hold still.""은 의미는 유사하지만 존댓말의 공손함이 반영되지 않았고, 주어가 생략되어 있다. 문맥상 상대는 존댓말을 써야 할 대상이므로, 공손한 명령문으로 주어를 포함해 다시 번역해야 한다.",stay still.
스윽,스윽  ,pull,pull,,ssk
..!,..!  ,...!,...!,,...!
팍,팍  ,yank,yank,,thump
읍!!,읍!  ,mmph!!,mmph!!,,mmph!
쨍그랑,쨍그랑  ,clang,clang,,shatter
….,…  ,......,......,,...!
