origin_hangle,changed_hangle,first_translate,second_translate,reason,label
"예, 어머니.","예, 어머니.","yes, mother.","Yes, Mother.",,"yes, mother."
철컥,철컥,click,click,,click
오랜만입니다.,오랜만입니다.,it's been a while.,It's been a while.,,it's been a while.
잘 지내셨습니까?,잘 지내셨습니까?,how have you been?,How have you been?,,how have you been?
보내주신 책은 다 읽었습니다.,보내주신 책은 다 읽었습니다.,i read all the books you sent me.,I read the book you sent me.,"[1차 한글 번역문]은 ""당신이 나에게 보낸 책들을 모두 읽었다""는 의미로, [한글 대화] ""보내주신 책은 다 읽었습니다""와 의미는 유사하지만, 복수형 ""books""가 추가되어 정보의 양이 다릅니다. 원문에는 책이 복수인지 단수인지 명확하지 않으므로, ""books""로 번역하는 것은 정보의 추가입니다. 따라서 원문에 충실하게 단수로 번역해야 합니다.",i read all the books you sent me.
"예, 인상 깊었습니다.","예, 인상 깊었습니다.","yes, they were very impressive.","Yes, it was impressive.","[한글 대화]는 ""예, 인상 깊었습니다.""로 단수 표현이며, 특정 책에 대한 감상을 말하고 있습니다. 반면 [1차 영어 번역문]은 ""they were very impressive""로 복수형을 사용하여 여러 개체에 대한 인상을 말하는 것으로 해석됩니다. 이는 의미가 일치하지 않으며 정보의 양도 다릅니다. 따라서 [한글 대화]를 기준으로 다시 번역해야 합니다.","yes, they were very impressive."
58페이지 첫 번째 구절이 좋았습니다.,58페이지 첫 번째 구절이 좋았습니다.,i liked the first phrase on page 58.,I liked the first line on page 58.,,i liked the first phrase on page 58.
새벽이 오면 모든 것이 다시 태어난다.',새벽이 오면 모든 것이 다시 태어난다.',"when dawn comes, everything is reborn.","When dawn comes, everything is born anew.",,"with the coming of dawn, all is reborn.'"
"..예, 112페이지요","예, 112페이지요.","yes, page 112.","Yes, page 112.",,"yes, page 112."
푸른 장미는 언덕에서 피어나고..',푸른 장미는 언덕에서 피어나고.',the blue rose blooms on the hill...,the blue rose blooms on the hill...,,the blue rose blooms upon the hill...'
푸른 장미로부터 자금 조달이 완료되었다.',푸른 장미로부터 자금 조달이 완료되었다.',...the funds have been raised from the blue rose.,...the funds have been raised from the blue rose.,,funding from the blue rose is complete.
"네, 이제 곧 봄이지요.","네, 이제 곧 봄이지요.","yes, spring is coming soon.","Yes, spring is coming soon.",,"yes, spring is almost here."
유독 긴 겨울이었습니다.,유독 긴 겨울이었습니다.,it was a particularly long winter.,It was a particularly long winter.,,it was a particularly long winter.
"..네에, 슬슬 책을 덮어야겠군요.","네에, 슬슬 책을 덮어야겠군요.","yes, it's time to close the book.","Yes, I suppose it's about time to close the book.",,"yes, it's time to close the book."
모든 준비가 끝났다.',모든 준비가 끝났다.',everything is ready.,All the preparations are complete.,,all preparations are complete.
날이 차니 건강에 유의하세요.,날이 차니 건강에 유의하세요.,take care of yourself. it's cold.,"Please take care of your health, as the weather is cold.","원문 ""날이 차니 건강에 유의하세요.""는 '날씨가 추우니 건강에 조심하세요'라는 의미로, 추운 날씨를 이유로 건강을 챙기라는 조언이다. 1차 영어 번역문 ""take care of yourself. it's cold.""는 의미는 유사하지만, 두 문장이 병렬적으로 나열되어 있어 인과관계가 약하게 표현되었다. 따라서 '추우니 건강 조심하라'는 인과관계를 명확히 드러내는 문장으로 수정해야 한다.","it's cold, so take care of yourself."
조만간 찾아뵙겠습니다.,조만간 찾아뵙겠습니다.,i will see you soon.,I will come to see you soon.,,i will see you soon.
날개를 펼칠 시간이다.',날개를 펼칠 시간이다.',it's time to spread our wings.,It's time for me to spread my wings.,"원문 '날개를 펼칠 시간이다.'는 주어가 명시되어 있지 않지만, 문맥상 화자가 자기 자신에게 하는 말로 보이며, 'our wings'는 원문에 없는 정보가 추가된 것으로 정보의 양이 다릅니다. 따라서 'our'를 'my'로 바꾸고, 능동태 문장으로 다시 번역해야 합니다.",it's time to spread my wings.
