origin_hangle,changed_hangle,first_translate,second_translate,reason,label
들었어? 공작이 왕자를 죽이고 도망쳤다지 뭐야!,들었어? 공작이 왕자를 죽이고 도망쳤다지 뭐야!,did you hear? duke winter killed the prince and ran away!,Did you hear? The duchess killed the prince and ran away!,,did you hear? duchess winter killed the prince and ran away!
술렁술렁,술렁술렁,clamor,clamor,,clamor
"저택까지 다 태워버렸다던데, 감출 게 얼마나 많았으면","저택까지 다 태워버렸다던데, 감출 게 얼마나 많았으면.",i heard she even burned down her manor. she must have had a lot to hide.,I heard she even burned down her manor. She must have had a lot to hide.,"[1차 한글 번역문]은 '그녀가 저택을 태웠다'는 사실을 전달하고 있지만, '감출 게 얼마나 많았으면'이라는 [한글 대화]의 감탄조와 추측의 뉘앙스가 'she must have had a lot to hide'로 잘 반영되어 있음. 정보의 양도 같고, 수동태도 아님.",i heard she even burned down her estate. she must've had a lot to hide.
"악독한 년, 결국 본색을 드러냈군!","악독한 년, 결국 본색을 드러냈군!",that vicious woman finally showed her true colors!,That vicious woman finally revealed her true nature!,,that vicious woman finally showed her true colors!
감히 왕실까지 넘보려고 했던 거지!,감히 왕실까지 넘보려고 했던 거지!,she was trying to take over the royal family!,She dared to covet the royal family!,"[한글 대화]는 ""감히 왕실까지 넘보려고 했던 거지!""로, 이는 그녀가 왕실의 권력이나 지위를 넘보려 했다는 의미다. [1차 영어 번역문] ""she was trying to take over the royal family!""는 '왕실을 장악하려 했다'는 의미로, 원문의 뉘앙스와 유사하지만, ""감히""라는 도전적이고 무례한 태도를 반영하지 못하고 있다. 또한 ""넘보다""는 단순히 장악하려는 것뿐 아니라, 넘볼 수 없는 존재를 넘보는 무례함과 야망을 포함한다. 따라서 원문의 뉘앙스를 더 잘 살리기 위해 재번역이 필요하다.",she was trying to take over the royal family!
수군수군,수군수군,murmur,murmur,,murmur
"가여운 조슈아 왕자님, 그 독사에게 속아 넘어갔던 거야.","가여운 조슈아 왕자님, 그 독사에게 속아 넘어갔던 거야.",poor prince joshua. he was fooled by that viper.,Poor Prince Joshua. That viper deceived him.,,poor prince joshua. he must have been fooled by that snake.
그년은 절대 용서받아선 안 돼! 왕국 전체가 들고일어나 잡아야 한다고!,그년은 절대 용서받아선 안 돼! 왕국 전체가 들고일어나 잡아야 한다고!,that woman must never be forgiven! the entire kingdom should rise up and capture her!,That woman must never be forgiven! The entire kingdom must rise up and capture her!,,that woman must never be forgiven! the enteire kingdom should rise against her and seize her!
웅성,웅성,clamor,clamor,,clamor
웅성,웅성,clamor,clamor,,clamor
