origin_hangle,changed_hangle,first_translate,second_translate,reason,label
들었어? 공작이 왕자를 죽이고 도망쳤다지 뭐야!,들었어? 공작이 왕자를 죽이고 도망쳤다지 뭐야!,did you hear? the duke killed the prince and ran away!,did you hear? the duke killed the prince and ran away!,"원문의 주어는 '공작'이고, 1차 영어 번역문에서도 'the duke'로 명확히 표현되어 있어 주어는 일치한다. 또한 '왕자를 죽이고 도망쳤다'는 내용이 'killed the prince and ran away'로 능동태로 잘 번역되어 있고, 정보의 양도 동일하다. 문장의 의미도 정확히 일치하므로 1차 영어 번역문을 그대로 사용할 수 있다.",did you hear? duchess winter killed the prince and ran away!
술렁술렁,술렁술렁,chatter,chatter,,clamor
"저택까지 다 태워버렸다던데, 감출 게 얼마나 많았으면","저택까지 다 태워버렸다던데, 감출 게 얼마나 많았으면.",i heard she even set her estate on fire. what was she trying to hide?,I heard she even burned down her entire estate. She must have had so much to hide.,"[1차 한글 번역문]은 ""그녀가 저택을 불태웠다고 들었다. 그녀는 무엇을 숨기려 했던 걸까?""로 해석되며, 이는 [한글 대화] ""저택까지 다 태워버렸다던데, 감출 게 얼마나 많았으면.""과 의미는 유사하지만 정보의 양이 다릅니다. 원문은 ""감출 게 얼마나 많았으면""이라고 하여 감춘 것의 양이 많음을 강조하고 있지만, 1차 번역은 단순히 ""무엇을 숨기려 했던 걸까?""라고만 하여 강조가 빠졌습니다. 따라서 정보의 양이 다르므로 새로 번역해야 합니다. 주어는 문맥상 '그녀(she)'이며, 능동태로 번역합니다.",i heard she even burned down her estate. she must've had a lot to hide.
"악독한 년, 결국 본색을 드러냈군!","악독한 년, 결국 본색을 드러냈군!",that vicious woman finally showed her true colors!,That vicious woman has finally revealed her true nature!,,that vicious woman finally showed her true colors!
감히 왕실까지 넘보려고 했던 거지!,감히 왕실까지 넘보려고 했던 거지!,she was probably trying to take over the palace!,She dared to set her sights on the royal family!,"[한글 대화]는 ""감히 왕실까지 넘보려고 했던 거지!""로, '감히'라는 단어에서 도전적이고 무례한 뉘앙스가 있으며, '왕실'은 'palace'보다는 'royal family' 또는 'throne'에 가까운 개념이다. 또한 '넘보다'는 단순히 'take over'보다는 'aspire to' 또는 'set sights on' 같은 표현이 더 적절하다. 따라서 의미가 완전히 일치하지 않으므로 새로 번역해야 한다.",she was trying to take over the royal family!
수군수군,수군수군,murmur,murmur,,murmur
"가여운 조슈아 왕자님, 그 독사에게 속아 넘어갔던 거야.","가여운 조슈아 왕자님, 그 독사에게 속아 넘어갔던 거야.",poor prince joshua. he must have been fooled by that snake.,That snake fooled poor Prince Joshua.,"[1차 한글 번역문]은 수동태 표현인 ""속아 넘어갔던 거야""를 ""he must have been fooled""로 번역했기 때문에 수동태이며, 지침에 따라 능동태로 다시 번역해야 한다. 주어는 ""그 독사""이고, 조슈아 왕자가 속은 대상이므로 능동태로는 ""That snake fooled Prince Joshua""가 적절하다.",poor prince joshua. he must have been fooled by that snake.
그년은 절대 용서받아선 안 돼! 왕국 전체가 들고일어나 잡아야 한다고!,그년은 절대 용서받아선 안 돼! 왕국 전체가 들고일어나 잡아야 한다고!,she must never be forgiven! the entire kingdom must rise up and capture her!,We must never forgive that woman! The entire kingdom must rise up and capture her!,"원문 ""그년은 절대 용서받아선 안 돼!""는 수동태 표현이므로 능동태로 바꿔야 하며, ""왕국 전체가 들고일어나 잡아야 한다고!""는 주어가 '왕국 전체'로 명확히 존재하므로 이를 반영해 능동태로 번역해야 한다. 따라서 전체 문장을 능동태로 다시 번역해야 한다.",that woman must never be forgiven! the enteire kingdom should rise against her and seize her!
웅성,웅성,clamor,clamor,,clamor
웅성,웅성,clamor,clamor,,clamor
"공명정대하신 대공 전하, 부디 그 마녀를 잡아 불태워 주십시오!","공명정대하신 대공 전하, 부디 그 마녀를 잡아 불태워 주십시오!","your grace, please capture that witch and burn her to death!","Your Grace, in your fairness and justice, I humbly ask that you capture that witch and have her burned.","[한글 대화]는 ""공명정대하신 대공 전하""라는 존칭 표현이 포함되어 있어 매우 공손한 어조를 사용하고 있다. 그러나 [1차 영어 번역문]은 ""your grace""라는 호칭 외에는 공손함이 부족하고, ""burn her to death""는 지나치게 직설적이고 무례한 표현이다. 따라서 공손함을 반영하여 다시 번역해야 한다.","your grace, please capture that witch and burn her to death!"
웅성,웅성,clamor,clamor,,clamor
