origin_hangle,changed_hangle,first_translate,second_translate,reason,label
"예, 어머니.","예, 어머니.","yes, mother.","Yes, Mother.",,"yes, mother."
철컥,철컥,click,click,,click
오랜만입니다.,오랜만입니다.,it's been a while.,It's been a while.,,it's been a while.
잘 지내셨습니까?,잘 지내셨습니까?,how have you been?,How have you been?,,how have you been?
보내주신 책은 다 읽었습니다.,보내주신 책은 다 읽었습니다.,i read the book you sent me.,I have read all of the book you sent me.,,i read all the books you sent me.
"예, 인상 깊었습니다.","예, 인상 깊었습니다.","yes, it was quite moving.","Yes, it was impressive.",,"yes, they were very impressive."
58페이지 첫 번째 구절이 좋았습니다.,58페이지 첫 번째 구절이 좋았습니다.,i especially liked the first sentence on page 58.,I especially liked the first passage on page 58.,,i liked the first phrase on page 58.
새벽이 오면 모든 것이 다시 태어난다.',새벽이 오면 모든 것이 다시 태어난다.',"when the day breaks, everything is reborn.","When dawn comes, everything is born anew.",,"with the coming of dawn, all is reborn.'"
"..예, 112페이지요","예, 112페이지요.","yes, page 112.","Yes, page 112.",,"yes, page 112."
푸른 장미는 언덕에서 피어나고..',푸른 장미는 언덕에서 피어나고.',the blue rose blossoms on the hill...,the blue rose blossoms on the hill...,,the blue rose blooms upon the hill...'
푸른 장미로부터 자금 조달이 완료되었다.',푸른 장미로부터 자금 조달이 완료되었다.',...and the funding is complete.,...and the funding is complete.,,funding from the blue rose is complete.
"네, 이제 곧 봄이지요.","네, 이제 곧 봄이지요.","yes, spring is almost here.","Yes, spring is almost here.",,"yes, spring is almost here."
유독 긴 겨울이었습니다.,유독 긴 겨울이었습니다.,it was a particularly long winter.,It was a particularly long winter.,,it was a particularly long winter.
"..네에, 슬슬 책을 덮어야겠군요.","네에, 슬슬 책을 덮어야겠군요.","yes, i should close the book now.","Yes, I suppose it's time to close the book.",,"yes, it's time to close the book."
모든 준비가 끝났다.',모든 준비가 끝났다.',everything is ready.,All the preparations are complete.,,all preparations are complete.
날이 차니 건강에 유의하세요.,날이 차니 건강에 유의하세요.,"it's cold, so take care of yourself.","It's cold, so please take care of your health.",,"it's cold, so take care of yourself."
조만간 찾아뵙겠습니다.,조만간 찾아뵙겠습니다.,i'll see you soon.,I will come to visit you soon.,"원문 ""조만간 찾아뵙겠습니다""는 높임말이며, '찾아뵙다'는 윗사람을 방문한다는 뜻으로 공손한 표현이다. 1차 번역문 ""i'll see you soon.""은 평어체로 공손함이 반영되지 않았고, '찾아뵙다'의 의미도 충분히 전달되지 않았다. 따라서 공손함과 방문의 의미를 살려 능동태로 다시 번역해야 한다.",i will see you soon.
날개를 펼칠 시간이다.',날개를 펼칠 시간이다.',it's time to spread your wings.,it's time to spread your wings.,"원문 '날개를 펼칠 시간이다.'는 일반적인 선언문으로, 주어가 명시되어 있지 않지만 문맥상 화자가 스스로에게 말하거나 특정 인물에게 말하는 것으로 보인다. 1차 영어 번역문은 ""it's time to spread your wings.""로, 주어가 'you'로 추정되며, 이는 원문의 주어가 불분명한 점을 고려할 때 자연스러운 해석이다. 정보의 양도 동일하고 능동태이므로 수정 없이 사용 가능하다.",it's time to spread my wings.
67,67.,67,67,,nan
"갑자기 해고라니, 하루아침에 어디로 가란 말이야?","갑자기 해고라니, 하루아침에 어디로 가란 말이야?",we're fired? where are we supposed to go now?,We were suddenly fired—where are we supposed to go overnight?,"[1차 한글 번역문]은 ""우리가 해고되었다고? 이제 어디로 가야 하지?""로 해석되며, 이는 [한글 대화] ""갑자기 해고라니, 하루아침에 어디로 가란 말이야?""와 의미는 유사하지만, ""갑자기""와 ""하루아침에""라는 시간적 강조가 누락되어 정보의 양이 다릅니다. 따라서 새로 번역해야 합니다. 주어는 생략되어 있지만 문맥상 해고된 인물(화자)이므로 ""we""로 보완합니다.",how could they fire us? where are we supposed to go?
