origin_hangle,changed_hangle,first_translate,second_translate,reason,label
휘이이,휘이이  ,fwoosh,fwoosh,,whoosh
덜컹,덜컹  ,clunk,clunk,,clunk
덜컹,덜컹  ,clunk,clunk,,clunk
키스해 줘.,키스해 줘.  ,kiss me.,Kiss me.,,kiss me.
덜컹,덜컹  ,clunk,clunk,,rattle
덜컹,덜컹  ,clunk,clunk,,rattle
아..,아.  ,ah...,ah...,,ah.
흠칫,흠칫  ,flinch,flinch,,flinch
스윽,스윽  ,lean,Swoosh,,lean
!,!  ,!,!,,!
츕,츕  ,smooch,smooch,,chu
....,....  ,......,......,,...
츄읍,츄읍  ,mmph,mmph,,chu
덜컹,덜컹  ,clunk,clunk,,clunk
헉,헉  ,haa,Huh?!,,hah...
하아,하아  ,hah,hah,"해당 [한글 대화] ""하아""는 한숨이나 숨을 내쉬는 소리를 나타내는 의성어로, 감정 표현이나 호흡을 나타내는 효과음이다. 따라서 효과음으로 판단하여 [1차 영어 번역문]을 그대로 사용한다.",hah
덜컹,덜컹  ,clunk,clunk,,clunk
하아,하아  ,haa...,haa...,,hah
덜컹,덜컹  ,clunk,clunk,,clunk
헉,헉  ,hah...,hah...,,hah...
..나도,..나도  ,i also...,i also...,,i also...
꽈악,꽈악  ,...want to...,...want to...,,squeeze
널 만지고 싶어,널 만지고 싶어.  ,...touch you.,...touch you.,,...want to touch you.
나도,나도.  ,i also...,i also...,,i also...
널 끌어안고 싶어..,널 끌어안고 싶어.  ,...want to hold you...,...want to hold you...,,...want to hold you.
제발..,제발.  ,please...,please...,,please...
끼익,끼익  ,creak,creak,,creak
....,....  ,......,......,,...
꾸욱,꾸욱  ,press,press,,press
스륵,스륵  ,lean,Srrk,,shrrk
"이블린,","이블린,  ","evelyn,...","evelyn,...",,"evelyn,"
사랑해요..,사랑해요.  ,...i love you...,...i love you...,,i love you...
당신도 저와 같은 마음이라고 말해줘요.,당신도 저와 같은 마음이라고 말해줘요.  ,tell me you feel the same way.,Please tell me that you feel the same way I do.,"원문 ""당신도 저와 같은 마음이라고 말해줘요.""는 정중한 요청이며, 주어는 '당신'입니다. 1차 영어 번역문은 명령문 형태로 주어가 생략되어 있고, 정중함이 부족합니다. 따라서 주어를 포함하고 정중한 표현으로 다시 번역해야 합니다.",tell me you feel the same way.
덜컹,덜컹  ,clunk,clunk,,clunk
응..,응.  ,yes...,yes...,,yes...
덜컹,덜컹  ,clunk,clunk,,rattle
나도 마찬가지야..,나도 마찬가지야.  ,i feel the same way...,i feel the same way...,,i feel the same way...
더듬,더듬  ,fumble,fumble,,fumble
쑥,쑥  ,raise,pushes forward,"‘쑥’은 어떤 것이 갑자기 앞으로 나오거나 밀려 나오는 동작을 묘사하는 의태어로, ‘raise’는 단순히 위로 올리는 동작을 의미하므로 의미가 일치하지 않음. 따라서 ‘쑥’의 맥락에 맞게 능동태로 다시 번역해야 함.",reach
철컥,철컥  ,click,click,,click
스윽,스윽  ,lift,lift,,raise
타앙,타앙  ,bang,bang,,bang
크악!,크악!  ,aagh!,aagh!,,argh!
픽,픽  ,thud,thud,,fshk
끼긱,끼긱  ,creak,creak,,creak
덜커덩,덜커덩  ,clunk,clunk,,rattle
