hangle,first_translate,second_translate
"황궁, 연무장.",the imperial palace training hall,the training hall of the imperial palace
크윽!,ugh!,Ugh!
왜 그러지?,what’s wrong?,What’s wrong?
방금 전 기세는 어디로 갔나!,where did all that energy from before go?!,Where did all that energy from earlier go?!
어?,huh?,Huh?
어… 어어?,wh-what...?,Uh... Uh-oh?
흥.,hmph.,Hmph.
설마 이게 끝인가?,was that it?,Is that really it?
황태자의 호위기사라는 놈들이 이래서야.,you’re supposed to be the crown prince’s imperial guards?,Is this the best the crown prince’s guards can do?
누가 누굴 지키겠다는 건지.,how are you supposed to protect him?,Who is supposed to protect whom?
크윽,ugh!,Ugh!
애송이한테 죄다 지다니…!!,how could we lose to a kid...?!,How could we all lose to a rookie...?!
저 자식은 지치지도 않나!,he doesn’t even look tired!,He doesn’t even seem to get tired!
"사생아 주제에, 겨우 스무 살 먹은 애송이 주제에.",he’s just a 20-year-old bastard child.,"He's just a bastard child, and only a 20-year-old brat at that."
다들 날 보고 그런 생각이나 했겠지.,I’m sure that’s what they were all thinking.,I'm sure that's what everyone thought about me.
역시 대련 핑계로 서열 정리를 하길 잘했군.,it was a good decision to establish the hierarchy under the guise of sparring.,It was a good decision to use sparring as an excuse to establish the hierarchy.
저 괴물 같은 놈…!!,that monster...!!,That monster...!!
황자 전하.,your highness.,Your Highness.
손님이 오셨습니다.,you have a guest.,You have a visitor.
손님?,a guest?,A guest?
"훈련 중에 방해받는 건 좋아하지 않으니,","I don’t like being interrupted during training,","I don’t like being interrupted during training,"
웬만하면 돌려보내.,so send them away.,Just send them away if possible.
예…,"yes, your highness...",Yes...
그럼 피오나 헤일론 영애께는 돌아가시라고 전하겠습니다.,then I’ll tell lady fiona heylon to come back another time.,Then I’ll inform Lady Fiona Heylon that she should leave.
아니.,wait.,No.
됐어.,never mind.,Forget it.
바로 가겠다.,I’ll go right now.,I'll head over right away.
"땀과 먼지를 뒤집어쓰고 피오나 영애를 만나러 갈 순 없으니,","I can’t meet lady fiona covered in sweat and dust,","I can't meet Lady Fiona while covered in sweat and dust,"
빠르게 씻을 준비를 해 놔.,so prepare a bath for me.,Get everything ready for me to wash up quickly.
그동안 피오나 영애가 지루하지 않도록 정중히 대접하고.,and make sure to treat lady fiona well so she doesn’t get bored.,And make sure to entertain Lady Fiona properly so she doesn’t get bored.
그리고 너흰 연무장 50바퀴.,"also, I want you all to run 50 laps...","Also, you all run 50 laps around the training grounds."
전부 돌아.,...around the training hall.,"All of you, run around the training hall."
예?!,what?!,What?!
대체 피오나 헤일론이란 영애는 누구길래,who is this lady fiona heylon...,Who exactly is this Lady Fiona Heylon...?
저 괴물을 움직이는 거야?!,...that she can make that monster move?!,...that she can make that monster move?!
피오나가 먼저 찾아올 줄이야.,I didn’t think fiona would come to see me first.,I didn’t expect Fiona to come to see me first.
"시그렌, 너 혹시…","siegren, did you know...","Siegren, did you perhaps..."
내가 누구라고 소문이 났는 지 알고 있었어?,...what people were calling me?,Did you know what people were calling me?
겨울의 수호자…래!,they called me the guardian of winter!,They called me the Guardian of Winter!
겨울의 수호자라고?,the guardian of winter?,The Guardian of Winter?
헤일론에서 널 그렇게 부르는 놈들이 있기는 했지.,"yes, there were people in house heylon who called you that.",There were indeed people in House Heylon who called you that.
정말?!,really?!,Really?!
그래.,yes.,Yeah.
넌 주위를 신경 쓰는 성격이 아니라 몰랐겠지만.,you probably didn’t notice because you don’t care about what other people think.,You probably didn’t notice because you don’t pay attention to those around you.
…어쩐지 부끄러운데.,"I don’t know why, but I feel embarrassed.","Somehow, this feels embarrassing."
그럴 필요 없어.,you don’t have to.,There's no need for that.
네가 그만큼 대단했던 거니까.,it just means you’re that amazing.,It just means you're that amazing.
그렇게 당당히 말하면 더 민망하거든.,it’s even more embarrassing when you say it so confidently.,It’s even more embarrassing when you say it so confidently.
그나저나 시그렌이 구박받고 있을까 봐 걱정했는데…,"anyway, I was worried that siegren might be having a hard time here,","Anyway, I was worried that Siegren might be mistreated..."
그런 일은 없어 보여서 다행이다.,but it doesn’t seem like that’s the case.,I'm glad that doesn't seem to be the case.
