hangle,first_translate,second_translate
"…그래서,",so...,So...
안 하시는 건가요?,are you not going to do it?,Are you not going to do it?
약혼.,"the engagement, I mean.",Engagement.
약혼이요…,the engagement...,Engagement...
"그렇죠, 보통 약혼을 하죠….","yes, that’s what people normally do...","Yes, people usually get engaged..."
이제 생각해 봐야겠…내요?,I guess I should start thinking about it...,I guess I should start thinking about it now...
피오나 영애는 늘 여러 의미로 느긋하네요….,"you’re always so relaxed about everything, my lady...","You’re always so relaxed in many ways, my lady..."
얼마 전까지도 헤어지냐 마냐로 고민했는걸…!,I was just thinking about whether I should break up with him or not!,I was debating whether to break up with him or not until just recently!
딱히 급할 것도 없으니까요.,there’s no need to rush things.,There’s no particular need to hurry.
시그렌도 그런걸 염두하고 있을지도 의문이고….,I’m not even sure if siegren is thinking about it...,I'm not even sure if Siegren has considered it...
일단 아벨이 수도로 오지도 않았지.,and abel hasn’t come to the capital yet.,And Abel hasn’t even come to the capital yet.
‘저희 약혼할게요!’ 하면 무슨 반응이 나올지도 모르겠고.,"I don’t know how siegren will react if I say, “let’s get engaged!”","I don’t know how people will react if I say, ""We’re getting engaged!"""
8시 이후 시그렌       출입 금지,siegren is not allowed to enter after 8 o’clock.,Siegren is prohibited from entering after 8 o’clock.
곧 출입 금지 시간이군.,it’s almost time for me to leave.,It’s almost curfew time.
돌아갈게.,I’ll get going.,I’ll be going back.
왜 착실하게 지키는 거야?!,why is he following the rule so diligently?!,Why is he following it so diligently?!
8시가?!,it’s 8 o’clock!,It's 8 o'clock?!
중학생들이냐고,are we middle schoolers or what?,Are we middle schoolers or something?
그런데 생각해 보니,"but come to think of it,","But now that I think about it,"
시그렌이 나하고 결혼하면…,if siegren and I get married...,If Siegren and I get married...
누가.,"he’s your father-in-law, right?",Who?
네 장인이지?,"he’s your father-in-law, right?","He's your father-in-law, isn't he?"
무슨 생각해요?,what are you thinking about?,What are you thinking?
황태자와 황후가 없는 평화로운 사교계.,high society will be peaceful without the crown prince and empress.,A peaceful high society without the crown prince and the empress.
아….,oh...,Oh...
…일단 시그렌한테 이것부터 괜찮은지 물어봐야지.,I should ask siegren if he’s okay with this first...,I should ask Siegren if he's fine with this first.
여러모로 새로운 고민거리가 던져졌다.,I have a lot of new things to think about.,A lot of new concerns have been thrown my way.
아무것도 아니에요.,it’s nothing.,It’s nothing.
"뭐야,",what?,What the...
"케인 에레즈가 쩔쩔매고 있고,","cain ereze seems flustered,","cain ereze is flustered,"
그 앞에 선 건 대여섯 살은 차이 날 10대 후반의 소녀…,and there’s a girl who looks like she’s in her late teens standing in front of him...,"And in front of him stands a girl in her late teens, who looks to be about five or six years younger."
누구지?,who is she?,Who is that?
척 봐도 보통 신분은 아닌데.,she doesn’t look like an ordinary person.,She clearly isn't of ordinary status.
얼굴을 아는 귀족 영애도 아니다.,she’s not a noble lady I know.,She's not a noble lady I'm familiar with.
설마….,wait...,Wait...
'전 애인' 같은 건 아니겠지?,"she’s not his ex-girlfriend, is she?","She's not an ""ex-girlfriend"" or something, right?"
진짜라면 땅에 고이 묻어주는 게,"if she is, I should bury her...","If she really is, quietly getting rid of her would be the best for this world."
이 세상을 위하는 길이다.,...for the sake of this world.,It's the best thing for this world.
"화, 황자 전하…!",y-your highness...!,"Y-Your Highness, Prince...!"
이제 훈련 시간이다. 뭘 하고 있지?,it’s time for training. what are you doing?,It's time for training. What are you doing?
놀라는 걸 보니 진짜 같은데.,"judging by his reaction, it must be true.","Seeing his reaction, it seems to be true."
"처음 뵙겠습니다,","it’s nice to meet you,",It's nice to meet you.
…라고 해도 무방할까요?,I guess...,Would it be alright to say...?
"안녕하세요,","hello,",Hello.
오빠.,brother.,Brother.
1 황녀예요.,I’m the first princess.,I'm the First Princess.
아리아라고 불러 주세요.,please call me aria.,Please call me Aria.
…오빠?,brother...?,...Brother?
그랬지.,that’s right.,That’s right.
얼굴을 본 건 처음이지만.,I’ve never seen her face before.,I've never seen her in person before.
적통의 황녀는 아니었다.,she’s not the emperor’s legitimate daughter.,She was not a legitimate princess.
하급 귀족 출신 황비의 소생이라 했던가.,she’s the daughter of an empress from a low-ranking noble family.,She’s the daughter of an imperial consort from a low-ranking noble family.
앗!,oh!,Oh!
"아침 훈련을 방해해 죄송해요, 오빠.","I’m sorry for interrupting your morning training, brother.","I'm sorry for disturbing your morning training, brother."
예전 제 기사였던 케인 경과 이야기를 나누고 싶어서요.,"I wanted to talk to sir cain, who used to be my knight.","I wanted to talk to Sir Cain, who was once my knight."
아.,oh.,Oh.
잠깐이라면 데려가도 좋아.,you can take him if it’s just for a moment.,You can take him if it's only for a moment.
케인은 황녀 궁의 기사였으니 주종 관계였군.,"cain was a knight of the princess’s palace, so they were in a master-servant relationship.","Cain was a knight serving in the princess's palace, so they had a master-servant relationship."
케인이 아비인 에레즈 후작의 수족 노릇을 하지 않는다더니.,"I heard cain doesn’t do the bidding of his father, marquis ereze.","I heard Cain doesn't act as the hands and feet of his father, Marquis Ereze."
화…황녀 전하…,y-your highness...,P-Princess...
저런 이유 때문이었나.,is this the reason why?,Was that the reason?
어차피 이복동생이라도 감흥은 없다.,I don’t care even if she’s my half-sister.,It doesn’t matter to me even if she’s my half-sister.
어머니 외의 혈연은 없는 것과 마찬가지니까.,my mother is the only family I have.,It's as if I have no family other than my mother.
"하지만 나와 황태자, 어느 쪽의 편에도 아직 서지 않고","but if the eldest son of house ereze, who hasn’t taken a side yet...",but neither I nor the crown prince has gained his allegiance yet...
모호한 태도를 고수하는 에레즈의 장자가 끼어있다면…,"...and has been maintaining an ambiguous attitude, is involved,","...and if the eldest son of Ereze, who has been maintaining an ambiguous attitude, is involved..."
찾아낸 것일지도.,...she may have found one.,He may have found something.
동생?,your sister?,You have a sibling?
"그래, 이복동생이 있더군.","yes, I have a half-sister.","Yes, you have a half-sibling."
원작에서는 제대로 등장한 장면도 없던 존재였는데.,she never appeared in the original story.,She was never properly introduced in the original story.
몸이 약하다며 나오지 않아 얼굴도 본적 없었는데.,"I’ve never seen her before because she never came out, saying she was sick.","I had never seen her before because she never appeared, claiming to be sick."
요즘에 돌아다니더라고.,but I saw her walking around these days.,I've seen her out and about lately.
1 황녀 말이지…?,you mean the first princess...?,You mean the First Princess...?
그렇다면 건강해진 걸까? 다행이네.,does that mean she’s healthy now? that’s good to hear.,Does that mean she’s gotten better? That’s a relief.
"글쎄, 처음부터 아픈 척을 했던 것일지도.","well, she may have been pretending to be sick all along.","Well, she might have been pretending to be sick from the start."
타이밍이 지나치게 잘 맞아.,the timing is too perfect.,The timing is just too perfect.
황후와 황태자가 잠잠해지자 활동을 시작했어.,she started to make her appearance after the empress and crown prince became quiet.,She started making her move after the empress and crown prince quieted down.
그렇다는 건…,that means...,That means...
