hangle,first_translate,second_translate
"이전에 언급하셨던 퇴직금, 지금 받을 수 있을까요?",may I receive the severance pay you mentioned before?,May I receive the severance pay you mentioned earlier?
피오나에게.,to fiona,To Fiona.
좋아. 네 뜻대로 하지.,alright. do as you wish.,Alright. Do as you wish.
대신…,but...,But...
일이 끝나면 헤일론 저택을 한 번 둘러보며 확인을 해 주거라.,"...after you’re done, take a look around the manor and tell me what you think.","After you’re done, take a look around the Heilon manor and check things over."
아버지라고 부르게 하지 않아서 다행이야.,I’m glad he didn’t make me call him father.,I'm glad I don't have to call him father.
"아벨이 싫은 건 아니지만,","it’s not that I hate abel,","It’s not that I hate Abel,"
원작에서는 피오나랑 적이었으니까.,but he was fiona’s enemy in the original story.,"But in the original story, he was Fiona’s enemy."
그리고 현재의 아벨,and the current abel...,And the current Abel.
양녀가 되어라,be my adopted daughter.,Be my adopted daughter.
이 일이 끝나면 진짜 쉬어야지.,I’m going to take a break after this is all over.,I really need to rest once this is over.
이제 슬슬,it’s about time...,It’s about time now...
아벨과 시그렌이 수도로 귀환하는,...abel and siegren returned to the capital.,abel and siegren are returning to the capital.
원작의 시작 지점에 가까워졌다.,we’re getting closer to the beginning of the original story.,We're getting closer to where the original story begins.
"곧 시그렌은 북부의 저주받은 용을 죽이고,",siegren will soon kill the cursed dragon of the north...,Siegren will soon slay the cursed dragon of the North...
영웅으로 칭송받으며 수도로 귀환한다.,...and return to the capital as a hero.,...and is praised as a hero upon his return to the capital.
황가는 여론과 체면의 문제로 시그렌을 황자로 인정한다.,the imperial family will recognize siegren as a prince due to public opinion and for the sake of their reputation.,The imperial family will recognize Siegren as a prince due to public pressure and concerns about their reputation.
그리고,and...,And...
그 다음이 바로,"...after that,","And after that,"
여주인공 유니스의 등장 차례!,the female lead eunice will make her appearance!,"It's time for the female lead, Eunice, to make her entrance!"
어떤 느낌일까?,I wonder what she’ll be like.,I wonder what kind of impression she’ll give.
솔직히 한 번 보고 싶어.,"honestly, I want to see her at least once.","Honestly, I do want to see her at least once."
자꾸 나에게 의지하는 시그렌 때문에,I’m a bit worried about how things will turn out...,I’m a bit worried about how things will turn out because Siegren keeps relying on me...
앞으로의 전개가 심히 염려스럽긴 하지만.,...because siegren keeps relying on me.,I'm seriously worried about how things will unfold because Siegren keeps relying on me.
"시그렌도 시그렌이긴 한데,","siegren is siegren,","Siegren is a concern too, but..."
그보다도 지금은…,but for now...,But right now...
마약 사업에 손을 댔다는 그린 가의 약점을,I should think about how to use the green family’s weakness...,I should think about how to take advantage of the Green family's weakness—their involvement in the drug trade.
어떻게 써먹을지 생각해볼까.,...of getting involved in the drug business.,How should I take advantage of the Green family's weakness?
그린 가문은 마약으로 많은 재산을 쌓았다.,the green family accumulated a lot of wealth through drugs.,The Green family amassed a great fortune through drugs.
"그리고,",and...,"And,"
