hangle,first_translate,second_translate
난 네 손을 잡으면―,"when I hold your hand,","When I hold your hand,"
너와 달리 그 이상이 떠오르거든.,I think of things beyond what you do.,"Unlike you, I think of things beyond that."
"처음에는 껴안고 싶고, 만지고 싶지.","at first, I want to hold you and touch you.","At first, I want to hug you and touch you."
또 그 후에는…,and after that...,And after that...?
어?,huh?,Huh?
"잠깐,",wait.,Wait.
"잠깐만, 이거 혹시,","wait, is he...","Wait, could this be..."
키―,...going to...,…Ki—
꿍,lean,thud
"정신 좀 차려, 피오나.","get a hold of yourself, fiona.","get a hold of yourself, Fiona."
참내,goodness.,Goodness.
…키스가 아니었구나!,...kiss me?!,Oh... so it wasn't a kiss!
"어, 그러니까.","uh, so...","Uh, so..."
상황을 정리하자면…,to sum up the situation...,To sum up the situation...
나랑 성적인 의미로 이것저것 하고 싶다?,you want to do this and that with me in a sexual way?,You want to do all sorts of things with me… in a sexual way?
"저번부터 생각한 건데,","I’ve been thinking this for a while,","I've been thinking about this for a while,"
좀 더 그럴듯하게 정리할 수는 없어?,but can’t you put it in a better way?,Can't you phrase it a bit more nicely?
아니면 진짜 내 말이 그렇게 들린 거야?,or is that really what you think I said?,Or is that really how you understood it?
으음…,um...,Hmm...
"그런 그냥 네 젊은 날의 본능에 따른 거니,","are you just following your youthful instincts,","Are you just acting on your youthful instincts,"
아니면…,or...?,Or is it something else...?
피오나.,fiona.,Fiona.
내가 여자만 보면 눈 돌아가는 한심한 놈처럼 보여?,do I seem like a pathetic guy who gets obsessed with every woman he sees?,Do I seem like a pathetic guy who loses his mind over every woman he sees?
너라서 그런 생각이 드는 거라고.,I think of those things because it’s you.,I think that way because it's you.
"정확히는,","to be exact,","To be exact,"
너만.,you’re the only one.,Only you.
…이거 고백이야?,is this a confession?,Is this... a confession?
그래.,yes.,Yeah.
고백이야.,it’s a confession.,It's a confession.
내가 널 좋아해.,"I like you,",I like you.
피오나.,fiona.,fiona.
시그렌…,siegren...,Siegren...
긴장 풀어.,relax.,Relax.
얼마든지 생각해도 괜찮으니까.,you can take all the time you need.,Take all the time you need to think about it.
혹시나 다른 녀석들이 채갈까 봐,I just rushed things...,I just rushed things because I was afraid someone else might take you.
서두른 것 뿐이야.,...because I was worried someone else might take you.,I only rushed because I was worried someone else might take you.
…그럼.,then...,Well then.
"잘 자, 피오나.","good night, fiona.","Good night, Fiona."
"이, 이거…",th-this...,th-this...
개꿈은 아니겠지?!,"...isn’t a dream, right?!","This isn't just some crazy dream, right?!"
한숨도 못 잤다.,I couldn’t sleep at all.,I couldn't get a wink of sleep.
어젯밤 일이 역시 꿈이 아니었던 거겠지…,"last night wasn’t a dream, right...?",Last night's events weren't just a dream... right?
피오나.,fiona.,fiona.
어제 시그렌하고 뭔 일 있었구나.,"something happened between you and siegren last night, didn’t it?","Something happened between you and Siegren last night, didn't it?"
눈치가 귀신같네.,he’s so sharp.,his intuition is uncanny.
아…닌데요.,ah... no.,Ah... not really.
어느 쪽이냐.,which one is it?,Which one is it?
뭐가요?,what?,What do you mean?
"첫 번째, 고백을 들었다.","first, he confessed to you.","First, you received a confession."
"두 번째,","second,","the second one,"
시그렌이 네가 불쾌할 만한 짓을 했다.,siegren did something to make you uncomfortable.,Siegren did something that might have made you uncomfortable.
"전자면 살려는 주고,","if it’s the first, I’ll let him live.","If it's the first, I'll spare him."
후자면 자연사로 위장하마.,"if it’s the second, I’ll make it look like a natural death.","If it's the latter, I'll make it look like a natural death."
누구를?,who?,Who?
시그렌을?,siegren?,Siegren?
"전, 전자 쪽이에요!",i-it’s the first one!,I-It’s the first one!
그래?,really?,Yeah?
"이봐, 왜 아쉬운 얼굴인데.","hey, why do you look so disappointed?","Hey, why do you look so disappointed?"
"그렇다곤 해도,","even so,","Even so,"
너라면 고백을 들어도 평소처럼 웃으면서 차버릴 줄 알았는데.,I thought you’d reject him with a smile like you always do.,I thought you’d brush him off with a smile like you always do.
제가 그 정도로 못되지는 않거든요?,I’m not that mean.,"I'm not that cruel, you know?"
그러면 고백 정도는 알아서 해결해 봐라.,then you can handle the confession.,Then handle the confession on your own.
그 이상이면 내가 처리해 줄 테니.,"if it’s anything more than that, I’ll take care of it.","If it goes beyond that, I’ll handle it."
"그러니까, 시그렌을 처리하면 안 되잖아요…",that means you can’t take care of siegren...,That means you shouldn't eliminate Siegren...
