hangle,first_translate,second_translate
저기다!,there!,There!
아가씨가 사라진 곳!,that’s where lady fiona disappeared!,That's where Lady Fiona disappeared!
이럴 수가…,oh my god...,I can't believe it...
역시 거대한 악의가 느껴져요.,I can feel a great evil.,I can definitely sense a great evil.
바라보기조차 두려울 정도의…!,it’s so terrifying that I can’t even look at it...!,"It's so terrifying, I can hardly bear to look at it...!"
그래도 피오나를 구할 수 있는 방법은 하나뿐이야.,but there’s only one way to save fiona.,But there's only one way to save Fiona.
저 어둠을 돌파하겠다.,I’ll have to break through that darkness.,I will break through that darkness.
"전하,","your highness,","Your Highness,"
너무 위험해요!,it’s too dangerous!,It’s too dangerous!
"목숨이 아깝지도 않나, 시그렌.","don’t you value your life, siegren?","Don't you value your life, Siegren?"
그런 건 아무래도 상관없어.,I don’t care about that.,I don't care about that.
유니스 영애.,lady eunice.,Lady Eunice.
저 어둠에 잠시 틈을 내는 것 정도는 할 수 있겠지?,"you can create a small gap in that darkness, right?","You can create a small opening in that darkness, right?"
… …아마도요.,I think so...,…Maybe.
그거면 됐어!,that’s all I need!,That’s enough!
"지금이다, 길을 열어!",now! open the path!,Now! Open the path!
"네, 네!!",y-yes!!,"Yes, yes!!"
집중해서…,I have to focus...,Focus...
어둠에 틈을 만든다!,I’ll create a gap in the darkness!,I'll create an opening in the darkness!
보인다!,I can see her!,I can see!
피오나!,fiona!,Fiona!
목소리?,voices?,A voice?
누구?,who is it?,Who is it?
아가씨!,lady fiona!,Lady Fiona!
눈이 떠지지 않아…,I can’t open my eyes...,I can't open my eyes...
어라…,huh...?,Huh...?
여긴 어디지?,where am I?,Where is this place?
가슴…?,a chest...?,Chest...?
누구?,who is it?,Who?
어?,huh?,Huh?
시그렌?,siegren?,Siegren?
"이 상황,",what’s going on?,This situation...
이 차림은…,why am I dressed like this...?,And these clothes...?
설마 사고 친 건가!,did I mess up?!,Did I mess up?!
꺄약-!,aaah!,Aaah!
피오나?!,fiona?!,Fiona?!
정신이 들어?,are you awake?,Are you awake?
들다마다…!,"yes, I am...!",Of course I am!
어쩌다 이렇게 된 거지?,how did this happen?,How did things end up like this?
분명 어둠에 있던 무언가를 상대하고 있었던 것 같은데.,I was fighting something in the darkness.,I'm sure I was fighting something that was in the darkness.
왜 정신을 차리니 옷 벗은 너랑 누워 있는 거야.,why am I lying next to you when you’re half-naked?,"Why is it that when I come to my senses, I'm lying next to you while you're undressed?"
죽어서 천국에 왔나? 했네.,I thought I had died and gone to heaven.,I thought I had died and gone to heaven.
너는…!,you...!,You...!
"사람 그렇게 걱정시켜 놓고,","after making everyone worry like that,","After making everyone worry so much,"
그게 할 말이야…?!,how could you say that...?!,Is that really what you have to say...?!
…미안.,I’m sorry...,...Sorry.
"그런데, 여기는 어디야?",but where are we?,But where is this place?
숲에 친 임시 막사.,an emergency tent in the forest.,A temporary camp set up in the forest.
본부 쪽은 어둠이 와서 초토화가 되었으니까.,the base was completely devastated by the darkness.,Because the base was completely devastated by the darkness.
