hangle,first_translate,second_translate
시그렌.,sigren.,siegren.
설마 우리가 영원히 함께할 거라 생각했던 건 아니지?,"you didn’t think we’d be together forever, did you?","You didn’t think we’d be together forever, did you?"
우리는 둘 다 성인이야.,we’re both adults now.,We’re both adults now.
아무리 소꿉친구라도 이 시기가 되면 길이 갈라지는 건 당연해.,"even if we’re childhood friends, it’s natural for our paths to diverge at this point.","Even if we're childhood friends, it's only natural for our paths to diverge at this stage."
하…,haa…,Haa...
넌 너무 냉정해.,you’re so cold.,You’re so cold.
이성적이라고 표현해줄래?,can you call it rational instead?,Can you call it being rational instead?
...수도에 줄곧 있을 생각이야?,are you going to stay in the capital?,Are you planning to stay in the capital for good?
잘 모르겠어.,I’m not sure.,I’m not sure.
일단은 좀 따뜻한 곳으로 가고 싶네.,I just want to go somewhere warm for now.,"For now, I just want to go somewhere warm."
그렇군…,I see…,I see...
그렇게 서운한 표정은 짓지 말았으면 좋겠는데….,I wish he wouldn’t look so sad…,I wish you wouldn’t look so sad…
이제는 어린애도 아닌데,we’re not kids anymore.,We're not kids anymore.
진심으로 나와 쭉 시간을 보낼 수 있을거라 믿었단 말이야?,did he really think we’d spend the rest of our lives together?,Did you really believe we could spend all that time together?
하지만 수도에 간다니까 시그렌이 이러는 이유는 짐작이 간다.,but I think I know why sigren is acting like this.,But I can guess why Sigren is acting this way after hearing that I'm going to the capital.
그곳은 자신의 목숨을 노렸던 자들의 본거지.,the capital is the home base of the people who tried to kill him.,The capital is the stronghold of those who sought his life.
시그렌에게 수도란 고향이자 도망쳐 나온 장소이니.,"to him, it’s his hometown and the place he ran away from.","To Sigren, the capital is both his hometown and the place he fled from."
"슬퍼하지 마, 시그렌.","don’t be sad, sigren.","Don't be sad, Siegren."
"어차피 원작대로 된다면,","if things go according to the original story,","If things follow the original story,"
시그렌도 수도로 올 수 있게 될 테지.,you’ll be able to come to the capital too.,Sigren will be able to come to the capital too.
어디에 있든지 난 항상 너의 편일 테니까.,"I’ll always be on your side, no matter where I am.","I’ll always be on your side, no matter where you are."
도움이 필요하면 말해.,"if you need help, just tell me.","If you need help, let me know."
언제나 네 곁으로 갈 테니.,I’ll always come to you.,I'll always be by your side.
...나와 쭉 여기 있어 달라고 한다면?,what if I ask you to stay here with me?,What if I asked you to stay here with me forever?
그건 곤란하지.,that would be a problem.,That would be difficult.
네가 헤일론에 계속 박혀 있으면 이야기 진행이 안되니까.,"if you stay stuck in heilon, the story won’t be able to progress.","If you stay stuck in Heilon, the story won't move forward."
그것만 빼고.,anything but that.,Anything but that.
넌 너무 모순적이야.,you’re so contradictory.,You're so contradictory.
대체 어디가?,how so?,How so?
위기가 닥칠 때 도와줄 수 있는 친구가 있는 게 얼마나 중요한데?,having a friend who can help you in times of crisis is so important.,Having a friend who can help in times of crisis is really important.
…피오나.,fiona…,…Fiona.
넌 날 어떻게 생각하고 있어?,what do you think of me?,How do you see me?
그야…,well…,Well...
이 세상에서 가장 소중한 존재로 여기고 있어.,I think of you as the most precious person in the world.,I consider you the most precious person in this world.
