hangle,first_translate,second_translate
그럼 다들 얌전해졌으니 ….,"now that everyone has calmed down,","Now that everyone has settled down,"
마저 절차를 밟겠습니다.,I will continue with the procedure.,I will proceed with the rest of the procedure.
"…3일 전, 술집에서 행패.","three days ago, you caused a disturbance at a bar.","…Three days ago, you caused a disturbance at a bar."
남성 5인 폭행 및 금품 상당수 갈취….,you assaulted five men and stole a large amount of money...,Assault on five men and theft of a significant amount of money and valuables...
저 녀석….,that girl...,that one...
2 성벽에서 싸우는 마법사란 건-,the mage who fights on the second wall...,the mage fighting on the second wall...
진짜였구나.,so it was true.,So it was real.
그것도 다른 마법사들과는 차원이 달라.,she’s on a different level than other mages.,She's on a whole different level from other mages.
"손에서 주먹만 한 불덩이를 만드는 건 봤어도,","I’ve seen mages create fireballs the size of fists,","I've seen mages create fireballs about the size of a fist,"
피오나처럼 저 정도 현상을 만드는 마법사는 처음이야.,but I’ve never seen a mage create something like fiona did.,But I’ve never seen a mage create phenomena on Fiona’s level.
헤일론 공작이 데리고 있는 이유를 알 것 같아.,I think I understand why duke heylon brought her here...,I think I understand why Duke Heylon keeps her.
또 이 주 전에는….,and two weeks ago...,And two weeks ago...
그리고….,and...,And...
무엇을 노렸는지도.,...and what he’s after.,...and what was being targeted.
우락부락한 체격의 남자 앞에 당당히 선 작은 소녀.,"a small girl standing confidently in front of a large, burly man.","A small girl stands confidently in front of a large, burly man."
"여기서 무슨 일이 생기든,","whatever happens here,","Whatever happens here,"
사람들은 이 모습을 똑똑히 기억할게 틀림없다.,people will remember this scene.,People will surely remember this sight.
피오나는 사람들에게 평범한 소녀가 아니라고 각인될 것이고,"people will remember that fiona is not an ordinary girl,",Fiona will be remembered as someone who is not just an ordinary girl.
그 소문은 영지 전체에 퍼져나갈 것이다.,and that rumor will spread throughout the territory.,And that rumor will spread across the entire territory.
게다가,"on top of that,","On top of that,"
헤일론 성에서 피오나의 대우는 단순히 귀한 병사라기엔 매우 좋다.,fiona is treated much better than a simple soldier at heylon manor.,fiona is treated far too well at heylon manor to be considered just a valuable soldier.
으음~ 맛있어!,"hmm, this is delicious!",Hmm~ Tasty!
아가씨. 좋아하시는 책들 가져왔어요.,"miss fiona, I brought the books you like.","Miss Fiona, I brought your favorite books."
…공작이 아무런 이유 없이 그럴 남자가 아닌데.,but the duke isn’t the type of man to do that without a reason.,…But the duke isn’t the kind of man to do something like that for no reason.
