hangle,first_translate,second_translate
황태자 전하의 청혼서를 받으셨다면서요?,I heard you received a marriage proposal from the crown prince!,"I heard you received a proposal from His Highness, the Crown Prince!"
너무 축하드려요~,congratulations!,Congratulations!
전하께서 많이 이야기하고 다니셔요.,his highness has been telling everyone about it.,His Highness has been talking about it everywhere.
리비아 영애를 얼마나 깊게 맘에 두셨으면~,he must be so in love with you!,He must have deep feelings for Lady Livia!
"아, 네에.","ah, yes.","Ah, yes."
감사합니다.,thank you.,Thank you.
아직 답을 주지 않았는데도 제멋대로 떠들고 다녀?,he’s been telling everyone even though I haven’t given him an answer yet?,He's been spreading it around even though I haven't even given him an answer yet?
사사건건 진짜…,he’s so annoying...,He meddles in everything...
"리비아 영애, 괜찮아요?","lady livia, are you all right?","Lady Livia, are you all right?"
괜찮지는… 않죠.,no... I’m not.,I'm not okay... not at all.
그러실 수밖에 없겠죠…,of course you wouldn’t be...,"Of course, that’s only natural..."
피오나 영애.,lady fiona.,Lady Fiona.
상대를 나락에 빠뜨리려면 어떻게 해야 할까요?,how do you bring someone to ruin?,How can I bring someone to ruin?
"누, 누구를요?",w-who are you talking about?,W-Who do you mean?
누구인지야 뻔하죠.,it’s obvious who I’m talking about.,It's obvious who it is.
깜짝 놀래라.,she scared me.,That scared me.
원작대로 유니스를 괴롭히려는 줄.,I thought she was going to bully eunice like in the original story.,I thought she was going to torment Eunice like in the original story.
"하지만 상대가 유니스가 아니라 황태자라면,","but if she’s talking about the crown prince and not eunice,","But if the opponent is the crown prince instead of Eunice,"
"그, 있기는 해요.",th-there is a way.,"There is a way, actually."
황태자 전하를 나락으로 떨어트릴 방법.,a way to bring the crown prince down to rock bottom.,A way to bring the crown prince to ruin.
불법 투기장 사건.,the illegal arena incident.,The illegal gambling arena incident.
원작에선 시그렌과 유니스가 해결하는 사건이다.,"in the original story, siegren and eunice solve the case.","In the original story, Siegren and Eunice are the ones who resolve the case."
"원래대로라면 두 사람이 조사 끝에 투기장을 발견하게 되고,","originally, the two of them find the arena after investigating,","Originally, the two of them would discover the arena after conducting an investigation."
사건을 호쾌하게 해결해서 명성을 높여야 한다.,and they gain fame by solving the case.,They must solve the case in a spectacular manner to gain fame.
하지만 급한 건 황태자를 제지하는 일이니,"but right now, the important thing is to stop the crown prince,","But right now, the urgent matter is stopping the crown prince."
중간 과정은 생략하고 내가 나서야겠어.,so I’ll skip the middle part and take care of it myself.,I'll skip the intermediate steps and handle it myself.
마물을 생포를 의뢰한 사람들은 투기장의 운영자였을 거야.,the people who requested the capture of the monsters must have been the ones running the arena.,The ones who requested the capture of the monsters were probably the arena's operators.
마물끼리 싸움을 붙이고 돈내기를 한단 말이야?,they’re making monsters fight each other and betting on them?,They're making monsters fight each other and placing bets on them?
"맞아, 경마장이랑 비슷하지.","yes, it’s similar to a horse racing track.","Yes, it's similar to horse racing."
멍청한 짓이야.,how foolish.,What a foolish thing to do.
그 운영자들이 언제까지 마물을 잘 관리할 수 있을지도 의문이군.,I wonder how long the people running it will be able to control the monsters.,I wonder how long those organizers can keep the monsters under control.
동감이야.,I agree.,I agree.
투기장도 빨리 쓸어버려야 해.,we need to get rid of the arena as soon as possible.,We need to take down the arena as soon as possible.
"그런데, 피오나.","but fiona,","But Fiona,"
불법 투기장에 관한 건 어떻게 안 거야?,how did you find out about the illegal arena?,How did you find out about the illegal gambling arena?
그건,well...,That is...
으악.,ack.,Ack.
얼굴이 너무 가까워.,he’s too close.,His face is too close.
우리 둘이 정보를 수집하는 경로는 꽤 겹친다고 생각하는데.,I thought we gathered information from the same sources.,I think our sources of information overlap quite a bit.
…지금 나 의심받는 거야?,are you suspicious of me right now?,…Are you suspecting me right now?
그럴 리가.,of course not.,Of course not.
내가 널 어떻게 의심하겠어.,how could I be suspicious of you?,How could I ever suspect you?
가끔…,it’s just that...,Sometimes...
넌 다른 사람보다 훨씬 더 많은 걸 파악할 때가 있으니까.,...sometimes you know a lot more than other people.,"Sometimes, you grasp things far more than others."
"그, 그래.",r-right.,R-Right.
선견지명이라고 할까.,I guess you could call it foresight.,I guess you could call it foresight.
맞아.,yes.,Yes.
아벨도 네 그런 점을 높게 평가했으니까.,abel also thought highly of that ability of yours.,Abel also thought highly of that trait of yours.
역시 좀 부자연스럽게 보였을까.,I guess I seemed a bit unnatural.,I guess I did come across as a bit unnatural.
앞으로는 주의해야지.,I’ll have to be more careful from now on.,I should be more careful from now on.
"원작을 아는 내게는 당연한 일이라도,","it’s obvious to me because I know the original story,","It may be obvious to me since I know the original story,"
