hangle,first_translate,second_translate
"오늘도 예뻐, 피오나.","you look beautiful as always, fiona.","you look beautiful as always, fiona."
이번에도 머리를 내렸네.,you let your hair down again.,You let your hair down again.
잘 어울려.,it suits you.,It looks good on you.
너 때문에 머리를 내린 거 알고 있지?,"you know I did it because of you, right?","You know I let my hair down because of you, right?"
나?,me?,Me?
그래!,yes!,Yes!
내 담당 하녀가 아직 어리고 순진한 걸 다행으로 알아.,you should be glad my maid is young and naive.,Consider yourself lucky that my maid is still young and naive.
…다음부터는 조심할게.,I’ll be more careful next time.,I’ll be careful next time.
안 한다는 말은 안 하는구나.,so you’re not saying you won’t do it again.,So you're not saying you won't do it.
아무튼! 앞으로는 조심해줘.,anyway! just be careful from now on.,Anyway! Just be careful from now on.
"그래, ‘앞으로’는.","yes, from now on.","Yeah, 'from now on.'"
"시그렌, 왜 웃는 거야?","why are you smiling, siegren?","Siegren, why are you smiling?"
후후.,hehe.,Hehe.
"황자 전하, 피오나 영애.","your highness, lady fiona.","Your Highness, Lady Fiona."
초대에 응해 주셔서 감사합니다.,thank you for accepting my invitation.,Thank you for accepting the invitation.
리비아 영애.,lady livia.,Lady Livia.
저야말로 초대해 주셔서 감사합니다.,thank you for inviting us.,The pleasure is mine. Thank you for inviting me.
"두 분,",how about...,"You two,"
한 잔씩 어떠신가요?,...a drink?,Would you each like a drink?
"저도 즐겨 마시는 복숭아 칵테일인데,",it’s a peach cocktail that I enjoy.,It's a peach cocktail that I personally enjoy.
달콤하고 맛있답니다.,it’s sweet and delicious.,It’s sweet and tasty.
"와, 감사합니다.","wow, thank you.","Wow, thank you!"
너…,you...,You... what?
…나는 무알콜로 바꾸지.,I’ll have a non-alcoholic one.,I'll switch to a non-alcoholic one.
전하는 술을 즐기지 않으시나요?,"do you not enjoy alcohol, your highness?","Do you not enjoy drinking, Your Highness?"
"그건 아니지만, 오늘은 안 마시는 게 나을 것 같아서.","it’s not that, but I think it’s better not to drink today.","It’s not that, but I think it’d be better not to drink today."
"호의만 고맙게 받지, 영애.","thank you for your kindness, my lady.","I'll accept your kindness, but nothing more, my lady."
과연…,I see...,I see...
"그렇다면,",then...,"Then,"
잠시 전하의 파트너와 한잔해도 괜찮을까요?,...may I have a drink with your partner for a moment?,Would it be alright if I had a drink with His Highness's partner for a moment?
와~ 진짜 이쁘다~,"wow, it’s so pretty!",Wow~ It's really pretty~
잠깐이라면.,if it’s just for a moment.,If it's just for a moment.
제게 할 말이라도 있으신가요?,is there something you want to say to me?,Do you have something to say to me?
영애는 의외로 단도직입적이시네요?,you’re more straightforward than I expected.,"You're more direct than I expected, my lady."
아~…,oh...,Ah...
사교계식 화법을 깜빡했어.,I forgot how to speak like a socialite.,I forgot to use the high society way of speaking.
전투할 때는 직설적으로 말하다 보니.,I’m used to being direct in battle.,I'm used to speaking directly in battle.
"혹시,",do you...,"Maybe,"
예전에 했던 약속은 기억하시나요?,...remember the promise you made to me?,Do you remember the promise we made before?
“절 도우면 영애가 사교계에서 입지를 다질 수 있도록 도와줄게요.”,"“if you help me, I’ll help you establish yourself in high society.”","""If you help me, I'll help you establish yourself in the socialite circles."""
물론이죠.,of course.,Of course.
영애가 괜찮으시다면…,"if it’s all right with you,",If you’re okay with it…
"그 계약, 갱신할 수 있을까요?",may I renew that contract?,Can we renew that contract?
갱신이요?,renew?,Renew the contract?
요즘… 황후 폐하가 눈치를 과하게 주신답니다.,these days... her majesty has been giving me a hard time.,These days... Her Majesty the Empress has been pressuring me too much.
황후가 대체 뭐라고 했길래?,what did the empress say to her?,what did the empress say?
지금의 저는 황태자 전하를 쫓아낼 수 없는데요?,I can’t get rid of the crown prince right now.,I can't drive out the crown prince at the moment.
물론 사람이 없는 장소에서 이미 한 대 때리기는 했지만.,"of course, I did hit him once when no one was around.","Of course, I already took a swing at him when no one was around."
나중에 제대로 복수도 할 거긴 하지만.,I’ll get my revenge later.,I'll make sure to get my revenge later.
그렇다고 리비아에게 도움이 되는 수준인지는…,but I’m not sure if that will be enough to help livia...,But I'm not sure if that would be enough to actually help Livia...
알아요.,I know.,I know.
이번 경우에는 제가 영애의 가능성에 기대를 건다는 것에 가깝겠네요.,"in this case, I’m betting on your potential.","In this case, it's more like I'm placing my hopes on your potential."
저보다는 시그렌 전하에게 거는 게 낫지 않겠어요?,wouldn’t it be better to bet on prince siegren instead of me?,Wouldn't it be better to place your hopes on Prince Siegren rather than me?
전 강한 사람이 좋거든요.,I like strong people.,I like strong people.
황자 전하도 강하실 테지만…,"I’m sure the crown prince is strong too,",I'm sure His Highness the Prince is strong too...
"제 두 눈으로 똑똑히 확인한 건 전하 쪽이 아니라,","but I’ve seen your skills with my own eyes,","But what I’ve clearly seen with my own eyes wasn’t His Highness, but you."
영애의 솜씨니까요.,not his.,It was your skill that I saw with my own eyes.
그것도 두 번이나 확인했고요.,"I’ve seen it twice, in fact.",I've even confirmed it twice.
"실은,","honestly,","Actually,"
황자 전하를 나쁘게 생각하진 않아요.,I don’t think badly of the crown prince.,I don’t have a bad opinion of the prince.
하지만.,but...,But.
하지만?,but?,But?
"제 얼굴을 기억 못 하고,",I don’t like people who don’t remember my face...,I don’t like it when someone doesn’t remember my face.
하물며 다른 여자과 연관시켜서 떠올리는 분은 싫거든요.,...and associate me with another woman.,I don't like someone who can't even remember my face and instead associates me with another woman.
"전에 시그렌 전하와 부딪힌 적이 있는데,","I ran into his highness before,","I ran into Prince Siegren before,"
제 얼굴을 보시곤…,"and when he saw me, he said...","And when he saw my face, he said..."
아. 피오나와 친분이 있는…,"oh, you’re the one who’s close to fiona.",Oh. Someone acquainted with Fiona...
라는 이야기부터 하시는 거예요.,that’s what he said.,That was the first thing he said.
이제껏 저를 한 번 보고 나서,there’s never been a man...,There's never been a man who saw me once and didn't remember me first.
첫 번째로 떠올리지 못한 남자는 없었는데!,...who couldn’t remember me after seeing me once!,There has never been a man who didn’t think of me first after seeing me once!
"저런 이야기를 하는데도 밉게 보이지가 않다니, 이것도 능력이야…",she doesn’t seem mean even when she says things like that. that’s a talent in itself...,"Even saying things like that, she doesn’t come across as unpleasant… That’s a skill in itself."
"아무튼,","anyway,","Anyway,"
제 미래의 ‘가능성’에 기대를 걸고 도움을 주겠다는 뜻이죠?,"you’re saying you’ll help me because you’re betting on my potential, right?","So, you’re saying you’ll help me because you’re betting on my future potential, right?"
아쉽게도 프리실라 가문이 아닌 리비아의 도움이지만요.,"it’s unfortunate that it’s not the priscilla family’s help, but livia’s.","Unfortunately, it's Livia's help, not the Priscilla family's."
