hangle,first_translate,second_translate
싫으면 안 할게.,I won’t do it if you don’t like it.,I won’t do it if you don’t want me to.
미안.,sorry.,Sorry.
그런 거 아니야.,it’s not that.,It's not like that.
어라…,huh...,Huh...?
얘가 나한테 이렇게 약했나?,was I always this weak when it came to him?,was I this weak when it came to him?
마음이 약해지는 내가 싫다…,I hate how I’m becoming so soft...,I hate that I'm becoming weak-hearted...
이러다가 시그렌을 보내줘야 할 때 못 보내주면 어떡해?,what if I can’t let him go when it’s time for him to leave?,What if I can't let Siegren go when the time comes?
시그렌을 향한 마음이 커지는 게 무서워.,I’m scared of how much I’m starting to care for him.,I'm scared of how much my feelings for Siegren are growing.
시그렌.,siegren.,Siegren.
어쩌면 너하고 끝까지 가는 건 어려울지도 몰라.,it might be hard for me to stay with you until the end.,It might be difficult to stay with you until the end.
이따 봐.,see you later.,See you later.
"아, 정말.","ugh, seriously.","Ugh, seriously."
내가 생각해도 너무 제멋대로야.,I’m so selfish.,I'm being too willful.
시그렌도 나한테 질렸을까?,I wonder if siegren is sick of me.,I wonder if Siegren is tired of me.
차라리 지금 질리면 나도 마음이 편할 텐데.,it would be better for me if he was sick of me now.,It would be easier for me if he got tired of me now.
시그렌?,siegren?,Siegren?
"이거,","oh,","this,"
피오나 영애 아니신가.,lady fiona.,"Lady Fiona, isn't it?"
황태자잖아.,it’s the crown prince.,It's the Crown Prince.
황태자 전하를 뵙습니다.,"greetings, your highness.","Greetings, Your Highness."
오랜만에 보는군.,it’s been a while.,It's been a while since I last saw you.
아… 죄송합니다.,oh... I’m sorry.,Oh... I'm sorry.
제가 전하와 만난 적이 있었던가요?,have we met before?,Have I had the honor of meeting Your Highness before?
만난 적 있으면서!,we have!,We've met before!
"그건 일단 넘어가고, 아벨이 없는 지금이 대화할 기회다.",I’ll let that go for now. this is my chance to talk to you since abel isn’t here.,I'll let that slide for now. This is my chance to talk while Abel isn't here.
그렇다니 유감이야.,that’s too bad.,That's unfortunate.
내가 영애에게 선물까지 보냈는데.,I even sent you a gift.,"I even sent you a gift, my lady."
선물?,a gift?,A gift?
난 황실에서 무언가를 받은 적이 없는데?,I don’t remember receiving anything from the imperial family.,I've never received anything from the imperial family.
"아, 잠깐.","oh, wait.","Oh, wait a second."
‘의뢰주는 헤일론보다 위.’,“the client is above the law.”,"""The client is above Heilron."""
저 미친놈이 의뢰주였구나!,so this crazy bastard was the client!,So this crazy bastard was the client!
제가… 전하께 실례를 저지른 일이라도 있던가요?,"have I... done something to offend you, your highness?","Have I... done something to offend you, Your Highness?"
있지.,you have.,"Yes, you have."
하지만 그보다는 시그렌 그놈이 문제였어.,but that bastard siegren is more of a problem.,"But the bigger problem was that bastard, Siegren."
"놈이라니, 호칭 똑바로 해라.",watch your language.,Watch how you address him.
"아무튼, 내 나름 깜짝 선물이었는데.","anyway, I wanted to surprise you with a gift,","Anyway, I had planned it as a surprise gift."
원하는 결과가 나오지 않아서 아쉽군.,but it’s too bad it didn’t work out.,It's a shame that things didn't turn out as I wanted.
그래도 내가 영애는 아벨 공작과 달리…,"however, unlike duke abel,","however, I see you differently from Duke Abel."
괜찮게 보고 있어.,I think you’re all right.,I think you're not so bad.
그러니 얌전히만 있으면…,so if you behave--,So as long as you stay quiet...
"아, 실례했습니다.","oh, I’m sorry.","Oh, my apologies."
벌레가 앉아있어서.,there was a bug on your shoulder.,There was a bug on you.
"감히, 무례하게!",you dare act so rudely?!,How dare you be so rude?!
아벨 공작이 좀 아낀다고 기고만장해선!!,you think you’re all that because duke abel cares for you?!,"Just because Duke Abel cares for you, you think you can act all high and mighty?!"
주변에 아무도 없어서 다행이다.,I’m glad no one is around.,It's a relief that no one is around.
"아니면,",or...,Or...
시그렌 녀석이 여차하면 널 지켜줄 거라 믿는 건가?,...do you think that bastard siegren will protect you?,Do you think that bastard Siegren will protect you if something happens?
제 몸은 제가 지킵니다.,I can protect myself.,I can take care of myself.
"흥, 그래봤자 사생아 새끼들끼리 붙어먹은 주제에…","hmph, you’re just a bastard who’s leeching off of him...","Hmph, you bastards are just clinging to each other..."
"아니면, 설마 아벨 공작도 그 몸으로 꼬셔낸 건가?",or did you seduce duke abel with your body?,Or could it be that you seduced Duke Abel using your body?
진짜 혈육도 아닌데 아끼는 모습이 수상하다 싶더니.,I thought it was strange how he cared for you when you’re not even blood-related.,I did find it suspicious how he cared for you despite not being real blood relatives.
끄아악!!,aaah!!,Aaah!!
아파아앗!!,it hurts!!,"Aaah, it hurts!!"
"뭐… 제가 이해하겠습니다, 전하.","well... I understand, your highness.","Well... I understand, Your Highness."
세상에는 입으로 말이 아닌 쓰레기를 내뱉는 자들이 있는 법이니까요.,there are people in this world who only spew garbage instead of words.,There are people in this world who spew garbage instead of words.
이게 보자 보자 하니까!!,"I’ve been holding back, but this is too much!!","I've been holding back, but this is the last straw!!"
어? 어어?,huh? what?,Huh? Huhhh?
보시는 대로 피했답니다.,"as you can see, I dodged it.","As you can see, I dodged it."
제 반사 신경이 그렇게 나쁜 편이 아니라서요.,my reflexes aren’t that bad.,My reflexes aren't that slow.
황족을 이렇게 건드리고 멀쩡할 것 같아?!,do you think you’ll be fine after hitting a member of the imperial family?!,Do you think you can get away with laying a hand on a member of the imperial family?!
널 반드시 처벌 받게…,I’ll make sure you get punished--,I'll make sure you face punishment--
"어머, 얼마든지 떠드세요.","oh, please go ahead.","Oh my, talk as much as you want."
"사람들에게 가서, 본인 입으로 직접 말하세요.",go tell everyone yourself.,Go and tell everyone yourself.
