hangle,first_translate,second_translate
키에에엑-!!,graaah!,Graaah!
후우.,whew.,Whew.
놀랍군.,amazing.,Impressive.
꺅?!,eek!,Eek?!
마치 신이 내리는 천벌 같구나.,it’s like divine retribution.,It's like divine retribution.
이런 솜씨의 마법사는 처음이다.,I’ve never seen a mage with such skills.,I've never seen a mage with skills like this before.
넌 사람의 아이가 맞느냐?,are you sure you’re human?,Are you truly a human child?
당연하죠.,of course I am.,Of course.
굳이 말하자면 미래의 최종 보스랍니다.,"if you must know, I’m the final boss of the future.","If you must know, I’m a future final boss."
그렇겠지.,I see.,That makes sense.
몇 발짝만 나가면 추락하겠어.,"one more step, and I’ll fall.","A few more steps, and I’ll fall off."
설마 이 정도로는 부족하다고 여기서 던지려는 건 아니지?!,"you’re not going to throw me off the cliff because you think this isn’t enough, are you?!","You’re not going to throw me off just because you think this isn’t enough, are you?!"
