hangle,first_translate,second_translate
피오나에게,to fiona,To Fiona
"어라… 저번 편지를 받은 지 얼마 안 됐는데,","huh... it hasn’t been long since I received the last letter,","Huh... It hasn't been long since I received the last letter,"
이렇게 금방 또 편지를 보내다니.,but she sent another one already.,She sent another letter so soon.
"피오나, 너는 이번 일을…","fiona, have you...","fiona, have you finished this task?"
아직도,...not finished...,Still not finished?
다 안 끝냈냐?,...the task yet?,Haven't you finished everything yet?
"아니,","hey,","no,"
귀족 가문 하나 무너트리는 게 쉬운 줄 아세요?,do you think it’s easy to bring down a noble family?,Do you think bringing down a noble family is easy?
나도 열심히 하고 있다고.,I’m doing my best.,I'm doing my best too.
"오늘, 황궁의 재무 부서로 익명의 투서를 보냈다.","today, I sent an anonymous letter to the finance department of the imperial palace.","Today, I sent an anonymous report to the finance department of the imperial palace."
그린 가문의 불법적인 사업을 고발하는 내용으로.,it was about house green’s illegal business.,It was about the illegal business of the Green family.
"투서의 내용이 사실로 확인되면,","if the contents of the letter are confirmed to be true,","If the allegations in the letter are confirmed to be true,"
그린 가문의 재산은 압류당할 것이다.,house green’s assets will be seized.,House Green's assets will be confiscated.
"이러니저러니 해도 그린 가의 재산은 상당하니,","despite everything, house green has a lot of wealth,","Despite everything, House Green still possesses considerable wealth,"
황궁도 국고를 채울 좋은 기회라고 생각하지 않을까?,so the imperial palace will probably see this as a good opportunity to fill the national treasury.,Wouldn't the imperial palace see this as a good opportunity to fill the national treasury?
그리고 이틀 뒤-,and two days later...,And two days later—
"젠 오빠,","zen,","Zen,"
가주가 되신 것 축하드려요.,congratulations on becoming the head of the family.,Congratulations on becoming the head of the family.
아직 임시이긴 하지만 말이다.,"it’s only temporary, though.","It’s only temporary, though."
"그래도,","still,","Still,"
작은오빠가 아니면 누가 가주 자리에 오르겠어요?,who else would take the position if not you?,Who else would become the head of the family if not you?
뭐…,well...,Well...
그렇기도 하지.,that’s true.,That’s true.
그리고 이건 전에 말했던 서류예요.,"also, this is the document I mentioned before.","Also, this is the document I mentioned earlier."
여기에 인장을 찍어주시면 전 호적에서 정리되어요.,"if you stamp this, I’ll be removed from the family register.","If you put your seal here, I'll be removed from the family register."
"아, 그래…","ah, I see...","Ah, right..."
이제 나가 보거라.,you may leave now.,You may leave now.
해야 할 일이 산더미구나.,I have a mountain of work to do.,I have a mountain of work to do.
…정말 그래 보이시네요.,you really do seem busy.,You really do look that way.
그런데 젠 오빠…,"zen,","By the way, Zen…"
마지막으로 말해 드릴 게 있어요.,there’s one last thing I want to tell you.,There's one last thing I need to tell you.
있죠…,"you know,",You know...
도박 중독에는 답도 없답니다.,there’s no cure for gambling addiction.,There’s no cure for a gambling addiction.
빚까지 졌다면 더더욱이요.,especially if you’re in debt.,Especially if you've fallen into debt.
"그,",h-how do you know that?!,H-How do you know that?!
그 사실을 네가 어떻게?!,h-how do you know that?!,How do you know that?!
그럼 안녕히 계세요.,"goodbye, zen.","Then, farewell."
피오나아-!!,fiona!!,Fionaaa!!
흠흠~,hmm!,Hmph~
이렇게 기분이 좋을 줄이야~,I didn’t think I’d feel this good!,I didn't expect to feel this good!
피오나,"fiona,",fiona.
아직도 이곳에 남아 있던 거니?!,are you still here?!,are you still here?!
뻔뻔한 것.,you shameless girl.,how shameless.
네 오라비의 등골 빼먹을 생각 말고 썩 나가거라.,stop leeching off your brother and get out of here.,Stop leeching off your brother and get out at once.
"재촉하지 않아도 그럴 겁니다,","I will, even if you don’t tell me to,","I'll be leaving even without your urging,"
