hangle,first_translate,second_translate
…피오나.,fiona...,...Fiona.
…응.,yeah...,...Yeah.
너무,she’s so...,So
사랑스러워…,...adorable...,...adorable...
"거기에 있는거 다 알고 있다, 시그렌.","I know you’re there, siegren.","I know you're there, Siegren."
당장 튀어나와라.,come out right now.,Come out right now.
다섯 세마.,I’ll count to five.,Counting to five.
아벨!,abel!,Abel!
"하나,","one,",One.
둘…,two...,Two...
이럴 때만 보호자 노릇을 똑똑히 한다니까!,he only acts like a guardian at times like this!,He only acts like a guardian when it suits him!
그렇게 됐으니,"well, I guess...",Since it turned out that way.
이건 다음 기회에.,...we’ll have to do this next time.,We'll do this next time.
…알겠어.,okay...,...Alright.
그래.,all right.,Yeah.
"까짓것 해보지,",why not give it a try?,Why not give it a try?
연애.,"romance, that is.","Romance, huh."
다섯 다 셌다.,I counted to five.,I've counted to five.
문짝 뜯어져요!!,the door is going to be torn off!!,The door is going to be ripped off!!
여기가 소문의 황자궁인가.,so this is the palace of the infamous prince.,So this is the rumored prince's palace.
"에레즈 후작가 장남, 케인 에레즈.","cain ereze, the eldest son of marquis ereze.","Cain Ereze, the eldest son of Marquis Ereze."
아버지께서 분명…,father told me...,Father definitely...
케인. 곧 부상이 완치되어 복귀한다지.,"cain, I heard you’ll be returning to work soon.","Cain, I heard you’ll be returning to work soon now that your injury has healed."
복귀 후엔 황자궁에서 제 2황자를 감시해라.,"once you return, I want you to keep an eye on the second prince.","Once you return, keep an eye on the second prince while you're in the prince's palace."
예…?,pardon...?,What...?
저는 1황녀 전하의 궁전에서 근무합니다만.,but I work at the palace of the first princess.,But I serve at the palace of the First Princess.
네가 쉬는 동안 근무처를 바꿔놓았다.,I changed your post while you were on leave.,I changed your post while you were on break.
그런…!,what...?!,What the...?!
"잘 감시해서, 이상한 건 바로 보고하거라.",keep a close eye on him and report anything suspicious.,Keep a close watch on him and report anything unusual immediately.
이건 가문을 위해 아주 중요한 일이다.,this is a very important task for our family.,This is a matter of great importance for our family.
괜한 짓을 하고 싶진 않은데…,"I don’t want to do anything unnecessary, but...","I don't want to get involved in this, but..."
이 지긋지긋한 정쟁은 아버지 대에서 끝내야 돼.,...this never-ending political strife must end with my father’s generation.,This never-ending political strife must end with my father's generation.
성가신 일에 휩쓸렸어…,I got caught up in a troublesome matter...,Got caught up in a troublesome matter...
아이고…,oh no...,Oh dear...
아이고오…,oh no...,ugh...
엥?,huh?,Huh?
이게 대체 무슨 일이지…?,what in the world is going on...?,What in the world is happening...?
아이고오 . . .,oh no...,Oh no...
흐어 어 . . .,ugh...,Ugh...
"여 , 케인 . . .","hey, cain...","Hey, Cain..."
여기로 복귀한다고 하더니 진짜구나 . . .,so you really are returning to this place...,So you really are coming back here...
다들 왜 이러고 있는 거야?,why is everyone like this?,Why is everyone acting like this?
훈련이 너무 힘들어서…,the training is too hard...,Training is too exhausting...
기사가 훈련이 힘들다고 하면 어떻게 해?,how can a knight say that training is hard?,How can a knight complain that training is hard?
네가 아직 이곳을 못 겪어 봐서 그래!!,that’s because you haven’t experienced this place yet!!,That’s because you haven’t been through this place yet!!
"에이, 달라봤자지.","oh, how different could it be?","Oh, it can't be that different."
다들 왜 누워 있는 건가?,why is everyone lying down?,Why is everyone lying down?
흠?,hm?,Huh?
너는 누구지?,who are you?,Who are you?
아.,oh.,Oh.
실례했습니다.,forgive me.,My apologies.
"케인 에레즈, 시그렌 황자 전하를 처음으로 뵙습니다.","I am cain ereze. it is an honor to meet you, your highness.","I am Cain Ereze. It is an honor to meet you for the first time, Prince Siegren."
폐하의 지고한 명에 따라,"by the emperor’s command,","By the supreme command of His Majesty,"
오늘부터 황자 전하의 궁을 지키는 임무를 수행하게 됐습니다.,I have been assigned to guard your palace starting today.,"Starting today, I have been assigned to guard Your Highness's palace."
