hangle,first_translate,second_translate
마차에 여자가 있다!,there's a woman in the carriage!,There's a woman in the carriage!
당장 사로잡아!,capture her at once!,Capture her at once!
젠장!,damn it!,damn it!
포위하고 있었나!,we're surrounded!,Were we surrounded?
"이자크 경, 리안더 경.","sir isaac, sir lyander.","Sir Isaac, Sir Lyander."
아가씨!?,my lady?!,My lady?!
나오시면 안된다니까요!!,you mustn't come out!!,You mustn't come out!!
우리 그냥 평소대로 할까요?,should we just do what we normally do?,Should we just handle this like we usually do?
어?,huh?,Huh?
땅에서 웬 빛이…,what's that light coming from the ground...?,What's that light coming from the ground...?
으아악!!,aaah!!,Aaah!!
와악!!,agh!!,Agh!!
아하하…,ahaha...,Ahaha...
아가씨의 마법은 참 언제 봐도…,your magic is always so...,Your magic is always so...
"이자크 경, 리안더 경.","sir isaac, sir lyander.","Sir Isaac, Sir Lyander."
호위를 부탁드릴게요.,please escort me.,Please escort me.
제가 선두에 나설 테니까요!,I'll take the lead!,I'll take the lead!
보자.,let's see.,Let's see.
다른 놈들은 전부 기절했고.,"the rest of them have all fainted,",The rest of them have all fainted.
남은 건 이 녀석뿐이네요.,so this is the only one left.,This is the only one left.
제길.,damn it.,Damn it.
크악!!,agh!!,Agh!!
누가 사주했어?,who ordered you to do this?,Who put you up to this?
우리는 그냥…,we were just...,We were just...
"귀, 귀족인지도 모르고.",we didn’t even know she was a noble.,We… we didn’t even know she was a noble.
부잣집 아가씨 한 명 납치해 달라는 의뢰를 받아서…,we were just hired to kidnap a rich lady...,We were hired to kidnap a rich young lady...
의뢰인은 누군데?,who hired you?,Who is the client?
"모, 모릅니다.",I-I don't know.,I-I don't know.
좋아.,all right.,Alright.
손가락 몇 개가 날아가면 배후를 말하겠어?,"if a few fingers fly off, will you reveal who's behind this?","If I cut off a few of your fingers, will you tell me who's behind this?"
"정, 정말 모릅니다!",I-I really don't know!,I-I really don't know!
아가씨에게서 주인님이 보여…,I can see his grace in her ladyship...,I can see my master in her ladyship...
리안더 경.,sir lyander.,Sir Lyander.
예.,"yes, my lady.",yes.
저들이 어디 길드 인간인지만 알아낸 뒤에 적당히 처리해요.,find out which guild they belong to and deal with them accordingly.,"Find out which guild they belong to, then take care of them as you see fit."
이미 이쪽은 사망자가 나왔으니 봐줄 필요 없어요.,"we've already suffered casualties, so there's no need to go easy on them.","We've already suffered casualties, so there's no need to show them mercy."
"마음이 물러지면 당하고, 약하면 죽는다.","if your heart softens, you'll be taken advantage of. if you're weak, you die.","If your heart softens, you'll be taken advantage of; if you're weak, you die."
