hangle,first_translate,second_translate
어쩌면 어렴풋이 알고 있었는지도 모른다.,maybe I already knew.,Maybe I had vaguely known.
"피오나가 나를 받아준 건,",fiona accepted me...,Fiona accepted me...
어렸을 때 봐왔던 정 때문이었단 걸.,...because of the affection we had for each other when we were young.,...because of the affection she had for me from when we were young.
"나를 잃고 싶지 않아서,",she didn’t want to lose me...,She didn't want to lose me.
반짝였던 우리의 어린 시절을 소중히 이어 나가고 싶었기 때문이었다는 것을.,...and wanted to continue our childhood that shone brightly.,...and wanted to cherish and continue our childhood that shone brightly.
지금까지는,"until now,","Until now,"
"네 옆에 있고 싶었기 때문에,","I wanted to stay by her side,","I wanted to stay by your side,"
애써 생각을 피해 왔지만,so I tried not to think about it.,I deliberately avoided thinking about it.
"내가 네게 부담이라면,",but if I’m a burden to her...,"If I’m a burden to you,"
"상처를 준다면,","...and hurt her,","If I hurt you,"
"지금이라도,","even if it’s now,","Even now,"
이제라도—,I should--,Even now—
헤어지자고… 하는거야?,are you... breaking up with me?,Are you... saying we should break up?
…왜?,why...?,...Why?
이유는 네가 더 잘 알잖아.,you know the reason better than I do.,You know the reason better than anyone.
그러면 시그렌과 만나는 관계가 부담스러운 건가?,then is he saying that being with me is burdensome?,"Then, is being in a relationship with Siegren burdensome?"
그런 편이네….,I guess so...,I suppose so...
시그렌이 권터와의 대화를 들었구나.,siegren must have heard my conversation with gunter.,siegren must have heard his conversation with gunter.
그래서 나한테 헤어지자고 하는 거야.,that’s why he’s breaking up with me.,That’s why he is breaking up with me.
"침착하게 생각하면,","if I think about it calmly,","If I think about it calmly,"
이건 내가 원하던 상황이다.,this is what I wanted.,This is the situation I wanted.
"원래의 나는 시그렌을 그저 내가 쓴 소설의 남자주인공으로만 생각했고,","I originally thought of siegren as the male protagonist of the novel I wrote,","I originally saw Siegren as merely the male protagonist of the novel I had written,"
"연인이 된 건 일시적인 것이며,",and becoming lovers was only temporary.,Becoming lovers was only temporary.
언젠간 원작대로 돌아갈 것이라고 되뇌고 있었어.,I kept telling myself that we would return to the original story one day.,I kept telling myself that things would eventually go back to the original story.
