hangle,first_translate,second_translate
항상 시그렌의 편이 되어 줘야지.,I have to be on siegren’s side no matter what.,I should always be on Siegren’s side.
그것이 내가 할 수 있는 최대한의 사과.,that’s the best apology I can give him.,That’s the best apology I can offer.
"시그렌, 미안해.","I’m sorry, siegren.","I'm sorry, Siegren."
설마….,wait...,No way...
옷 벗긴 것에 대한 사과는 아니겠지.,"she’s not apologizing for taking my clothes off, is she?","She's not apologizing for taking my clothes off, is she?"
아냐!,no!,No!
그게 아니라….,that’s not what I meant...,That's not it...
울지 마.,don’t cry.,Don't cry.
네 일도 아닌데 대체 왜 우는 거야.,why are you crying when it’s not even your problem?,Why are you crying when this has nothing to do with you?
툴툴거려도 손길은 부드럽다.,"grumbles, but has a gentle touch","Grumbles, but has a gentle touch."
시그렌은 역시 다정한 아이다.,siegren is a kind kid after all.,Siegren really is a kind kid.
-시그렌.,siegren.,Siegren.
또 왜….,what now...?,What now...?
"주문을 걸듯, 그에게 말해주자.",I’ll tell him as if I’m casting a spell.,"I'll tell him, as if casting a spell."
난 네게 상처 주지 않을 거야.,I’m not going to hurt you.,I won’t hurt you.
아마 여주인공이 나타날 때까지,the scars on his heart...,Until the heroine appears...
시그렌이 가진 마음의 상처는 낫지 않을 것이다.,...probably won’t heal until the female lead appears.,Siegren’s emotional wounds probably won’t heal until the female lead appears.
그래도 그전까지는 그를 지켜주고 싶다.,"but until then, I want to protect him.","But until then, I want to protect him."
더 이상 나를 경계하지 않았으면 좋겠다.,I don’t want him to be on guard around me anymore.,I hope he stops being wary of me.
그런 작은 소망을 담아서.,I’ll put that small wish into my words.,With that small wish in my heart.
"그러니까, 우리 친하게 지내자.",so let’s be friends.,"So, let's get along."
"혼자서 울다가, 웃다가 이제는 또….","you were crying, then laughing, and now...","First you were crying, then laughing, and now..."
"하여간 제멋대로구나, 너.",you’re so unpredictable.,You're so self-willed.
마냥 싫어 보이지는… 않지?,he doesn’t seem to hate the idea...,It doesn’t seem like he completely hates it.
"응, 좋은 친구가 되어 줘야지.","yeah, I’ll be a good friend to you.","Yeah, I should be a good friend to you."
-그 후.,"after that,","After that,"
시그렌과는 다소 가까워졌다.,siegren and I became a bit closer.,Siegren and I grew a bit closer.
같이 과자 먹어야지.,we should eat cookies together.,We should eat snacks together.
