hangle,first_translate,second_translate
참내….,geez...,Geez...
용병 다루는 법 같은 걸 왜 물어보는 거야?,why are you asking about how to deal with mercenaries?,Why are you asking about how to handle mercenaries?
응?,huh?,Huh?
"아, 공작님이 시키신 일 때문에.","oh, because duke walsh ordered me to.","oh, because the duke gave me a task."
난 용병 쪽은 잘 모르니까 물어본 거야.,"I don’t know much about mercenaries, so I wanted to ask.","I don’t know much about mercenaries, so I asked."
"아니,","wait,","No,"
그러니까 공작이 뭘 시켰다는….,what do you mean the duke ordered you to--,"What do you mean, the duke gave you an order--"
윽!,ugh!,Ugh!
이 마차는 왜 갑자기 서는 거야.,why did the carriage suddenly stop?,Why did the carriage stop so suddenly?
"시그렌, 이거 봐봐!","siegren, look at this!","Siegren, look at this!"
도착했어.,we’re here.,We've arrived.
제4 성벽이야.,this is the fourth wall.,This is the Fourth Fortress Wall.
바로 아벨이 시킨 일을 하러 가야겠어!,I should go and get started on what abel ordered me to do!,I should get started right away on what Abel ordered me to do!
"응? 무슨 일이야, 시그렌.","huh? what’s wrong, siegren?","Huh? What's wrong, Siegren?"
이 마차는 높이가 높은 편이야.,this carriage is pretty high up.,This carriage is quite tall.
그렇게 내려갔다간 넘어진다.,you’ll fall if you get off like that.,You'll fall if you get off that way.
"잡고, 조심해서 내려와.",hold my hand and get down carefully.,Hold on and come down carefully.
아하하.,ahaha...,Ahaha.
왜 웃는 거야.,why are you laughing?,Why are you laughing?
미안.,sorry.,Sorry.
피오나 그린은,fiona green...,Fiona Green...
나 같은 낯선 소년에게도 잘해주는 이상한 여자애다.,...is a strange girl who’s nice to a stranger like me.,Fiona Green is a strange girl who is kind even to a stranger like me.
아직도 그 상냥함과 다정함은 못 믿겠지만,"I still can’t believe her kindness and warmth,","I still can't fully trust her kindness and warmth,"
피오나에게 보답하고 싶다는 마음 정도는 있다.,but I do want to repay her.,I do have at least some desire to repay Fiona.
"잡아줘서 고마워,","thanks for helping me,","Thanks for catching me,"
시그렌.,siegren.,siegren.
"아주 조금씩, 이런 사소한 행동이라도 하면","if I do little things like this for her,","If I keep doing small things like this,"
언젠가 갚을 수 있지 않을까.,I might be able to repay her someday.,"Maybe one day, I’ll be able to repay her."
"…문득, 그런 생각이 들었다.",I suddenly thought...,A sudden thought crossed my mind.
더 상냥한 사람이 되고 싶다.,...that I wanted to become a kinder person.,I want to become a kinder person.
라고-,...that...,...that...
…이게 정말인가?,is this real?,…Is this for real?
그럼요.,of course.,Of course.
공작가의 인장이 찍혀 있을 텐데요.,it should have the walsh family seal on it.,It should have the duke's family seal on it.
그렇지만 너흰 어린애잖아.,but you’re just a kid.,but you’re just kids.
말도 안 되는 일이군.,this is ridiculous.,This is absurd.
"꼬마야, 헛소리 말고 집으로 돌아가!","kid, stop talking nonsense and go home!","Kid, stop spouting nonsense and go home!"
4 성벽에는 날 아는 사람이 없으니까 이럴 만도 하지.,"there’s no one here who knows me, so it’s understandable.","There's no one at the Fourth Wall who knows me, so this reaction makes sense."
저기요.,excuse me.,Excuse me.
"믿든 안 믿든 자유인데,","you’re free to believe what you want,","Believe it or not, it's up to you."
당연히 뒷감당은 하실 수 있죠?,"but you’ll be able to take responsibility for it, right?","Of course, you can take responsibility for it, right?"
으음…. 일단 읽어보니,"um... after reading this,","Hmm... after reading this,"
이건 분명히 진짜…군요.,it seems to be real...,This is definitely real...
갑자기 존댓말은.,why is he suddenly being polite?,Why the sudden formality?
피오나 그린이라 합니다.,my name is fiona green.,My name is Fiona Green.
4 성벽의 불미스러운 일을 처리하라는 명을 받고 왔습니다.,I’ve come to deal with the unfortunate incident that happened at the fourth wall.,I was ordered to handle the unpleasant matters at the Fourth Defensive Wall.
네…그…. 피오나님?,yes... um... miss fiona?,uh... um... lady fiona?
혹시 이게 어떤 불미스러운 일인지는 아는 건지…?,do you know what the unfortunate incident is...?,Do you know what this unfortunate incident is...?
당연하죠. 그 서류에 있는 내용은 모두 숙지했어요.,of course. I’ve memorized everything in that document.,Of course. I've reviewed everything in that document.
정 못 믿겠다면 거기 있는 내용을 전부 읊을 수도-,"if you don’t believe me, I can recite everything in it--","If you really can't believe me, I can recite everything in it--"
"아, 아니요!",n-no!,"Ah, no!"
아니요!,no!,No!
제가 무엇을 도와드려야 하는지 알려주십시오.,please tell me what I can do to help.,Please tell me how I can assist you.
"우선, 병사들이 범죄자를 연행하게 해주세요.","first, please have the soldiers arrest the criminals.","First, please have the soldiers take the criminals into custody."
두 번째로 마을 광장에 사람들을 모아 주세요.,"second, please gather the people in the town square.","Second, please gather the people in the town square."
그리고 세 번째로….,and third...,And third...
"시그렌, 용병들이 주로 어디에서 모이는지 알아?","siegren, do you know where the mercenaries usually gather?","siegren, do you know where mercenaries usually gather?"
알아.,I do.,I know.
성벽 근처에 있는 주점에 항상 모여 있어.,they’re always at the pub near the wall.,They’re always gathered at the pub near the wall.
들으셨죠? 주점에서….,did you hear that? the pub...,"You heard that, right? The pub..."
이걸로 준비는 됐고….,that should be enough preparation...,That should be enough preparation...
어린애라고 무시해도. 일은 잘해주겠지?,"you’ll do a good job even if they look down on you, right?","Even if they underestimate you for being a kid, you'll still do a good job, right?"
…공작이 네게 뭘 시킨 거야?,what did the duke order you to do?,What did the duke tell you to do?
"으음, 구체적인 계획이나 용병들의 앞날은…","um, the specific plan for the mercenaries’ future...","Hmm, the specific plan or what lies ahead for the mercenaries..."
나도 봐줄 생각 없는 데다 아벨의 제스처로 판단하면,"I don’t plan on going easy on them, and judging by abel’s gestures,","I don’t plan on going easy on them, and judging by abel’s actions,"
뭔가 신체 일부가 잘리는 형벌이 될 가능성이 큰데….,there’s a high chance that they’ll be punished by having a body part cut off...,There's a high chance that the punishment will involve cutting off a body part...
아…. 음….,oh... um...,Oh... um...
시그렌은 아직 열네 살이다.,siegren is only 14 years old.,siegren is still only 14 years old.
아직은 말하지 말자….,I shouldn’t tell him yet...,I shouldn't tell him just yet...
…별거 아냐.,it’s nothing...,It's nothing special.
공명정대한 판단을 내리고 오라던데.,he just told me to make a fair and just decision.,He just told me to make a fair and impartial judgment.
어차피 안 따라올 거니까 적당히 둘러대자.,"he’s not going to come with me anyway, so I’ll just make something up.","He’s not going to follow me anyway, so I’ll just make something up."
어쨌든 같이는 안 갈 거지?,"you’re not going to come with me, right?","You're not going to come with me anyway, right?"
같이 갈래.,I want to come with you.,I'll go with you.
응?!,huh?!,Huh?!
같이 간다고.,I said I’ll come with you.,I'm coming with you.
내가 따라가면 안 되는 일인 거야?,is it something I can’t see?,Is it something I can't come along for?
그건…. 아니지만.,it’s not that...,"It's not, but..."
애들이 보기엔 쪼오끔 잔인할 수도 있어.,but it might be a little cruel for kids to see.,It might be a bit too cruel for kids to watch.
너 내가 전쟁터에서 구르다 온 놈이란 거 잊고 있지?,did you forget that I’m a kid who’s been through hardships in war?,Did you forget that I’m someone who’s been through hardships in war?
"…네가 보았던 흉터도 다 예전 거고, 최근에 당한 건 아냐.",the scars you saw are all from the past. they’re not recent.,The scars you saw are all from the past; none of them are recent.
