hangle,first_translate,second_translate
"그런데,",but...,"By the way,"
차라리 어둠의 존재 자체를 없앨 방법은 없는 건가요?,...isn’t there a way to get rid of the darkness entirely?,Isn't there a way to eliminate the very existence of darkness?
"오, 클로비스 후작님과 똑같은 말씀을 하시는군요.","oh, that’s exactly what marquess clovis said.","Oh, that’s exactly what Marquess Clovis said."
후작님을 아시나요?,do you know the marquess?,Do you know the Marquess?
언덕이 가파르네요.,this hill is steep.,This hill is steep.
그럼요.,of course.,Of course.
아카데미에 가장 많은 연구비를 후원해 주시는 분이죠.,he’s the one who provides the most research funds to the academy.,He’s the biggest financial supporter of the academy’s research.
연구의 중요성을 알아주시는 분이에요.,he’s someone who understands the importance of research.,He is someone who recognizes the importance of research.
저희 입장에선 참 감사하죠.,we’re very grateful to him.,We're truly grateful from our perspective.
"그리고,",and...,And...
"그 부분을 제외하고서도, 정말 멋지시고요~","...even without that, he’s a very impressive person.","…even aside from that, he’s a really amazing person."
네에…,I see...,I see...
이미지 좋네.,he has a good reputation.,He has a good image.
그나저나,"anyway,","By the way,"
"꾸준히 독자적인 노력을 하고 있었다니,",I didn’t know he was making independent efforts like this.,I didn't know he had been making consistent independent efforts.
역시 아렌트는 의심스럽긴 해도 대단한 인물이긴 해.,"arendt may be suspicious, but he’s still an impressive person.","Arendt may be suspicious, but he's undoubtedly an impressive person."
"사실은,","to be honest,","Actually,"
저희도 어둠을 없애는 걸 목표로 연구를 진행 중 입니다만…,"we’re also conducting research with the goal of eliminating the darkness,","We’re also conducting research with the goal of eliminating darkness,"
좀처럼 큰 소득이 없어요.,but we haven’t made much progress.,We haven't made much progress.
"마력과 어둠, 성녀님이 지니신 신성력이","we did find out that magic, darkness, and the divine power the saint has...","We did find out that magic, darkness, and the divine power possessed by the Saint..."
전부 유기적인 관계가 있다는 걸 알아내기는 했지만요.,...are all organically related.,We've discovered that they are all organically connected.
신성력은 마력과 완전히 상반되는 힘이에요.,"divine power is a force that’s completely opposite to magic,",Divine power is a force that is completely opposite to magic.
그리고 마력은 근본적으로 어둠과 유사한 성질.,and magic is fundamentally similar to darkness.,And magic is fundamentally similar in nature to darkness.
또한 마력과 마력석은 서로 상호작용을 하죠.,magic and magic stones also interact with each other.,Magic and magic stones also interact with each other.
그러니 그쪽을 연구하면 뭔가 답이 나올지도 몰라요.,"so if we study that, we might find an answer.","So if we research that area, we might find some answers."
…잘 알고 계시네요.,you’re very knowledgeable.,…You’re quite knowledgeable.
관심 분야가 비슷한 분을 만나게 되어 기뻐요.,I’m glad to meet someone with similar interests.,I'm glad to meet someone who shares my interests.
제인이라 합니다. 편하게 이름으로 불러주세요.,my name is jane. please feel free to call me by my name.,My name is Jane. Please feel free to call me Jane.
피오나 헤일론이에요.,I’m fiona heylon.,I'm Fiona Heylon.
헤일론은 마물의 습격이 잦아 자연히 이쪽에 관심이 생겼답니다. 잘 부탁드려요.,"there are frequent attacks by demons in heylon, so I naturally became interested in this field. it’s nice to meet you.","There are frequent monster attacks in Heylon, so I naturally became interested in this field. I look forward to working with you."
"헤일론 영애, 이걸 안 물을 수가 없는데요.","lady fiona, I have to ask you this.","Lady Heylon, I can't not ask this."
영애께서는 어둠이 최근에 활발해진 이유가 뭐라고 생각하시나요?,what do you think is the reason for the recent increase in darkness?,What do you think is the reason the darkness has become more active recently?
음,hm...,Hmm...
…어려운 질문이네요.,that’s a difficult question.,…That's a tough question.
실은 나도 그게 궁금하단 말이지…,"to be honest, I’m curious about that too...","To be honest, I'm curious about that too..."
이 세계의 사람들은 어둠을 자연재해와 비슷하게 생각한다.,people in this world think of darkness as a natural disaster.,People in this world regard darkness as something akin to a natural disaster.
"일 년에 한두 번 강한 태풍이 오면 일대가 엉망이 되어버리지만,","when a strong storm hits once or twice a year, it wreaks havoc on the area,","When a strong typhoon hits once or twice a year, it wreaks havoc on the area,"
죽은 땅도 긴 시간이 지나면 어느 정도 회복된다.,but even dead land recovers to some extent over time.,Even dead land recovers to some extent over time.
