hangle,first_translate,second_translate
이런 조그마한 애가 지키지 않으면 안 되는 상황이냐고!,why does a little girl like you have to protect them?!,Why does this little kid have to be the one protecting others?!
그건….,well...,Well...
"으악, 그러다가 제론이 널 쫓아내면 어쩌려고!","ack, what if jeron kicks you out?!",Ahh! What if Jeron kicks you out?!
시그렌!,siegren!,Siegren!
시그렌이 왜 화가 났는지는 알겠다.,I think I know why siegren is mad.,I understand why Siegren is angry.
시그렌은 (내 설정상) 정의감을 갖춘 성품이니…,"siegren has a strong sense of justice,",Siegren has a strong sense of justice (according to my setting)...
작은 나를 전장에 보내는 게 거부감이 드는 거겠지.,so he probably doesn’t like the idea of sending a child to the battlefield.,He probably feels uncomfortable sending someone as small as me to the battlefield.
…왜 불러.,what?,…Why did you call me?
"나는 괜찮으니까,","I’m fine,","I’m fine, so"
신경 쓰지 마.,so don’t worry about me.,Don't worry about it.
뭐라고?!,what?!,What?!
넌 무섭지도 않아?,aren’t you scared?,Aren't you scared at all?
그렇지만….,but...,But...
난 여기가 아니면 갈 데가 없어.,...I have nowhere else to go.,I have nowhere else to go but here.
"나는 있을 곳이 필요했고,","I needed a place to stay,",I needed a place to belong.
헤일론 영지에는 마법사가 필요했지.,and house haylon needed a mage.,And House Haylon needed a mage.
서로 필요했을 뿐인 관곈데 왜 화가 나겠어?,we just need each other. there’s no reason for me to be mad.,"It was just a relationship of mutual necessity, so why would anyone be angry?"
그렇다.,yeah.,That's right.
애초에 이곳에 남기로 한 건 내 결정이었다.,I was the one who decided to stay here.,I was the one who chose to stay here in the first place.
"날 전장에 보낸다고 화낼 이유도, 비판할 필요도 없다.",there’s no reason for me to be mad or criticize them for sending me to the battlefield.,There’s no reason to be mad or feel the need to criticize for being sent to the battlefield.
"나는 적당한 나이가 될 때까지 있을 곳이 필요했고,","I needed a place to stay until I became an adult,","I needed a place to stay until I reached a suitable age,"
헤일론은 강한 마법사가 필요했다.,and house haylon needed a strong mage.,And House Haylon needed a powerful mage.
중요한 건 오직 그 사실관계 뿐이다.,that’s the only thing that matters.,The only thing that matters is the fact itself.
"그럼, 네 가족은?",then what about your family?,"Then, what about your family?"
난 사생아야.,I’m an illegitimate child.,I'm a bastard.
아버지와 형제들이 날 여기로 보냈지.,my father and brothers sent me here...,My father and my brothers sent me here.
다시는 집으로 돌아오지 못하길 바라며 말이야.,...because they didn’t want me to come back home.,...because they never wanted me to return home.
시그렌도 비슷한 경험을 했으니 이제 알겠지.,siegren should know by now.,"Siegren should understand by now, having gone through a similar experience."
"세상엔 아이라는 이유로 자신을 보호해 줄 사람은 없고,",no one will protect you just because you’re a child.,No one in this world will protect you just because you're a child.
스스로 몸을 지키려면 대가를 치러야 하는걸.,you have to pay a price to protect yourself.,You have to pay a price to protect yourself.
세상에 이유 없는 호의는 없다는 걸.,there’s no such thing as kindness without a reason.,There's no such thing as kindness without a price.
…죽을 수도 있다고.,you could die...,...You could die.
안 무서워?,aren’t you scared?,Aren't you afraid?
만약 죽는다면…,"if I die,",If I die...
내가 살아남을 수 없을 만큼 무능하다는 뜻이겠지.,it just means I wasn’t strong enough to survive.,It just means I was too incompetent to survive.
어쨌든 내 선택으로 여기 있는 거야.,"anyway, I’m here because I chose to be.","Anyway, I'm here because it was my choice."
너도 신경 쓰지 마.,so don’t worry about me.,So you don’t need to worry about me either.
난 아무렇지도 않으니까.,I’m fine.,I'm perfectly fine.
그럼 갔다 올게.,I’ll be back.,"Then, I’ll be going."
상처 덧나지 않게 조심해.,be careful not to reopen your wound.,Be careful not to aggravate your wound.
밥도 잘 먹고.,eat well too.,"Eat well, too."
뭐?!,what?!,What?!
너….,you...,You...
이렇게 선을 그으면서도 날 걱정하는 이유가 뭐야?,why are you worrying about me when you’re keeping a distance?,Why do you worry about me even while keeping a distance?
다쳤으니까 걱정하는 게 당연하잖아?,"it’s normal to worry about someone who’s hurt, right?","It's only natural to worry when someone gets hurt, right?"
아….,oh...,Ah...
…빨리 돌아와.,come back soon...,...Come back soon.
시그렌…?,siegren...?,Siegren...?
아차!,"oh, right!","Oh, right!"
"늦어서 미안해요, 제론….","I’m sorry I’m late, jeron...","I'm sorry for being late, Jeron..."
아벨도 있었어?!,abel was here too?!,Abel was here too?!
대화 내용 들었겠네.,he must have heard everything.,He must have heard the conversation.
저 표정은… 화난 걸까?!,is he... mad?!,Is he... angry?!
서둘러야 하는데 남자애랑 말씨름이나 하고 있었으니 그럴 만도 해!,"I was arguing with a boy when I should have been hurrying, so he has every right to be mad!","I was arguing with a boy when I should have been hurrying, so it's understandable."
늦어서 죄송해요.,I’m sorry I’m late.,I'm sorry for being late.
너는….,you...,You...
…아니다.,never mind.,"...No, never mind."
지금 말할 건 아니군.,it’s not the right time to talk about it.,It's not the right time to say it.
피오나.,fiona.,Fiona.
네.,yes?,Yes.
전장에 도착하고 내 곁에서 떨어지면 안 된다.,you must stay by my side when we get to the battlefield.,You must not leave my side when we arrive at the battlefield.
"어차피 원래부터 전장에선 날 끼고 다녔으면서,",he always keeps me by his side on the battlefield.,He always keeps me close on the battlefield anyway.
굳이 왜 확인을 하지?,why is he confirming it?,Why bother confirming it?
알겠습니다.,okay.,Understood.
