hangle,first_translate,second_translate
"피오나, 있어?","fiona, are you there?","Fiona, are you there?"
시그렌?!,siegren?!,Siegren?!
생각보다 빠른 방문이지만…,he came sooner than I thought...,His visit was sooner than I expected...
"좋아. 쇠뿔도 단김에 빼는 거다, 피오나.","all right. strike while the iron is hot, fiona.","All right. Strike while the iron is hot, Fiona."
순식간에 시그렌을 차버리자!,I’ll break things off with him right away!,I'll dump Siegren in an instant!
시그렌의 호감은 그냥 각인 효과 같은 걸 거야.,siegren’s affection is probably just an imprint effect.,Siegren’s affection is probably just the result of an imprinting effect.
"어린 시절, 낯선 여자애에게 처음으로 받은 호의에 설렌 거겠지.",he must have been excited to receive kindness from a stranger when he was young.,He must have been excited by the first kindness he received from a strange girl in his childhood.
솔직히 내가 시그렌 앞에서 얼마나 많이 추태를 부렸는데.,"honestly, I’ve made a fool of myself in front of him so many times.","Honestly, I've embarrassed myself in front of Siegren so many times."
추억 보정이란 실로 무섭구나…,rose-tinted memories are scary...,Rose-tinted memories are truly frightening...
들어와.,come in.,Come in.
…좋은 아침.,good morning...,...Good morning.
무슨 일이야?,what brings you here?,What's going on?
"냉정하게, 냉정하게.","stay calm, stay calm.","Stay calm, stay calm."
"지, 지금 방문을 잠근 거야?",d-did you just lock the door?,Did you... just lock the door?
잠갔지.,"yes, I did.","Yes, I did."
오해하지 마.,don’t get me wrong.,Don't misunderstand.
아벨이 와서 대화를 방해할까 봐 그런 거니까.,I just didn’t want abel to come in and interrupt us.,I locked it because I was worried Abel might come and interrupt our conversation.
"그, 그렇구나.",I-I see.,"O-oh, I see."
그래도 정 불안하면 그냥 여기 있을게.,"if you’re still uncomfortable, I’ll just stay here.","If you're really feeling uneasy, I'll just stay here."
"그래,",right.,Yeah.
상대는 시그렌이야.,this is siegren we’re talking about.,This is Siegren we're dealing with.
새삼스럽게 고백 하나 받았다고 낯선 사람으로 여길 필요는 없는데.,there’s no need to treat him like a stranger just because he confessed his feelings to me.,There’s no need to treat him like a stranger just because he confessed.
피오나.,fiona.,Fiona.
그렇게 멀찍이 서 있으면 대화하기 힘든데.,it’s hard to talk to you when you’re standing so far away.,It’s hard to have a conversation when you’re standing so far away.
…알겠어.,all right...,...All right.
