hangle,first_translate,second_translate
여기까지 왔으니 괜찮겠네요.,we should be safe here.,We should be fine now that we've made it this far.
네.,yes.,Yes.
황태자 전하께서도 사람이 많으니 어쩌지 못하실 거예요.,his highness won’t be able to do anything with so many people around.,His Highness won’t be able to do anything with so many people around.
그럼―,then...,Then—
늦은 자기소개를 할게요.,...I’ll introduce myself properly.,I'll give you a belated introduction.
리비아 프리실라라고 합니다.,my name is livia priscilla.,My name is Livia Priscilla.
앗.,oh.,Oh.
피오나 헤일론이라고 합니다.,I’m fiona heylon.,I'm Fiona Heylon.
사교계에서 피오나 영애를 뵙는 건 처음이네요.,this is the first time I’ve seen you in high society.,This is the first time I've seen Lady Fiona in high society.
"줄곧 헤일론에만 있었던 터라,","I’ve been living in heylon all this time,","I've always been in Heylon,"
수도의 무도회에 온건 처음이거든요.,so this is my first time attending a ball in the capital.,This is my first time attending a ball in the capital.
헤일론이라…,heylon...,"Heylon, huh..."
정말 많은 분들의 호기심을 자극하는 곳이죠.,it’s a place that piques the curiosity of many.,It's a place that sparks the curiosity of many.
그런가요…,is that so?,Is that so...
어쨌든 도움을 받았으니 보답을 하고 싶네요.,"anyway, I’d like to repay you for your help.","Anyway, since you've helped me, I'd like to return the favor."
"아,","oh,","Oh,"
"조만간 가문에서 작은 티 파티를 열 예정인데,",I’m planning to hold a small tea party soon.,Our family is planning to hold a small tea party soon.
거기에 영애를 초대해도 괜찮을까요?,would it be all right if I invited you?,Would it be all right if I invited you to that?
네? 티 파티요?,what? a tea party?,Huh? A tea party?
리비아가 주최하는 티 파티?!,a tea party hosted by livia?!,A tea party hosted by Livia?!
무릇 귀족 영애라면 초대받고 싶어 선망한다는 그곳?!,the event that all noble ladies wish to be invited to?!,The event that all noble ladies long to be invited to?!
"보답이라고 하기에는 그렇지만,","it’s not much of a repayment,","It might not be much of a repayment,"
피오나 영애가 하루빨리 사교계에 적응하는 데 도움이 될 거예요.,but it will help you adjust to high society.,But it will help you adjust to the socialite circles more quickly.
그렇게까지 이야기해주신다면…,"if you put it that way,",If you put it that way...
초대는 감사히 받겠습니다.,I’d be happy to accept your invitation.,I gratefully accept the invitation.
저야말로 고마워요.,thank you.,I should be the one thanking you.
후에 헤일론 저택으로 정식 초대장을 보낼게요.,I’ll send an official invitation to the heylon estate.,I'll send a formal invitation to the Heylon estate later.
네에…,all right.,"Uh, okay…"
앗!,oh!,Oh!
어쩌다 보니 리비아랑 친분을 쌓게 되었네.,I somehow ended up becoming friends with livia.,"Somehow, I ended up building a connection with Livia."
"이거 또 원작이랑 달라지는 것 같은데, 괜찮을까…",things are changing from the original story again. is that okay?,Things seem to be diverging from the original story again... Is that okay?
하나같이 전부 건방지긴!,they’re all so arrogant!,They’re all so arrogant!
리비아 프리실라.,livia priscilla.,livia priscilla.
아름다운 외모에 가문도 든든해서 마음에 들었다.,"she’s beautiful and comes from a good family, so I like her.","She's beautiful and comes from a strong family, which makes her appealing to me."
내 옆자리에 있을 여자로 완벽하지 않은가.,she’s perfect to be the woman by my side.,She’s perfect to be the woman by my side.
"줄곧 중립을 지켰던 프리실라 가문이 내 편이 되면,","if the priscilla family, who has always been neutral, becomes my ally,","If the Priscilla family, who has always remained neutral, takes my side,"
내 위치도 더욱 확고해질 게 분명하고!,it will surely strengthen my position!,It will surely solidify my position even further!
"황태자비가 될 수 있으니 저에게도 나쁜 조건이 아닌데,","it’s not a bad deal for her either, since she’ll become the crown princess.","It’s not a bad deal for me either, since I could become the crown princess."
감히 나를 계속 거절해?,how dare she keep rejecting me?,How dare she keep refusing me?
제국에서 아버지를 제외하곤 내가 가장 고귀한 사람이건만!,"I’m the most noble person in the empire, aside from my father!","I'm the most noble person in the Empire, second only to my father!"
"흥,",hmph.,Hmph.
다시 쫓아가면 그만…,I’ll just go after her again--,I'll just chase after her again.
호오.,oh.,Oh?
피오나 헤일론이라고 했나.,did she say her name was fiona heylon?,is her name fiona heylon?
지금보니 꽤 예쁜 얼굴이군.,she’s quite pretty.,"Now that I see her up close, she’s quite pretty."
"수도에서는 보기 드문 은발에, 선명한 붉은 색 눈동자도 좋고.","she has silver hair, which is rare in the capital, and I like her vivid red eyes.","Silver hair is rare in the capital, and her vivid red eyes are nice as well."
체구가 가늘어서 보호 본능을 자극해.,she’s so small that she makes me want to protect her.,Her slender frame triggers a protective instinct.
"게다가, 헤일론 공작이 결혼한 기억은 없으니…","also, I don’t remember duke heylon getting married,","Also, I don’t recall Duke Heylon ever getting married."
저건 분명 사생아다.,so she must be an illegitimate child.,She must be an illegitimate child.
그렇다면 다소 가지고 놀아도 큰 뒤탈은 없겠지!!,that means I can play around with her a little!,That means I can play around with her a little without any serious consequences!
피오나 헤일론이라…,fiona heylon...,"Fiona Heylon, huh..."
황태자의 망상,the crown prince’s delusion,The Crown Prince’s Delusion
제발 절 버리고 가지 마세요!,please don’t leave me!,Please don’t abandon me!
