hangle,first_translate,second_translate
어니스트 공작님네 기사들이네.,those are duke ernest’s knights.,Those are Duke Ernest’s knights.
"저렇게 서둘러 이동하다니,",they’re moving so quickly.,They're moving in such a hurry.
무슨 일이지…,I wonder what’s going on...,I wonder what’s happening…
후후.,haha.,Hehe.
저는 무슨 일인지 알 것도 같습니다.,I think I know what’s going on.,I believe I know what’s happening.
영애에게 지지 않기 위해 큰 한 방이라도 노리는 거겠지요.,"they’re probably trying to make a big move so they don’t lose to you, lady fiona.","they’re probably aiming for a big move so they don’t lose to you, my lady."
클로비스 후작님.,marquess clovis.,marquess clovis.
영애께서도 자리를 이동해서 마저 사냥을 하실 건가요?,"are you going to move to another location to continue hunting, lady fiona?","Are you also going to relocate and continue hunting, Lady Fiona?"
아뇨.,no.,No.
체력 문제가 있어서 잠시 쉬려고요.,I’m going to rest for a bit because I’m a little tired.,I'm going to rest for a bit because of fatigue.
그렇군요.,I see.,That makes sense.
피오나 영애는 헤일론에서 오랫동안 마물을 상대했죠.,"you’ve fought against monsters in heylon for a long time, lady fiona.","Lady Fiona, you've been fighting monsters in Heylon for a long time, haven't you?"
개인적으로 마물에 관해 영애의 의견을 듣고 싶습니다만.,I’d like to hear your opinion on monsters.,"Personally, I’d like to hear your thoughts on monsters."
제가 답변해 드릴 수 있는 거라면요.,I’ll answer if I can.,"If it's something I can answer, I will."
영애는 혹시 ‘어둠’에 대해 들어본 적 있습니까?,have you ever heard of “darkness”?,Have you ever heard of 'the Darkness'?
어느 정도 예상했던 질문이다.,I expected him to ask me about that.,I had somewhat expected that question.
"아렌트가 말한 ‘어둠’은, 통상적인 의미로 쓰이는 단어가 아니다.",arendt isn’t using the word “darkness” in its usual sense.,"Arendt isn't using the word ""darkness"" in its usual sense."
"네, 들어 본 적 있어요.","yes, I’ve heard of it.","Yes, I've heard of it."
작중 피오나가 최종 보스가 된 가장 큰 이유가 이 ‘어둠’을 다루려고 하다가 실패한 거니까.,the reason fiona became the final boss in the original story was because she failed to control the darkness.,The biggest reason Fiona became the final boss in the original story was that she tried to control the darkness and failed.
"어둠은 일정한 형체가 없는 존재로,","darkness doesn’t have a fixed form,","Darkness is an entity without a fixed form,"
보통 전조도 없이 등장하기에 피할 방법도 없다.,"and it usually appears without any warning, so there’s no way to avoid it.","It usually appears without any warning, making it impossible to avoid."
"다만 그것이 나타나면 땅은 메말랐고, 주변 마물은 흉포해졌다.","however, when it appears, the land dries up, and the monsters in the area become more violent.","However, when it appears, the land dries up, and the surrounding monsters become more ferocious."
어둠이란 현상이 나타난 지역의 마물은 더욱 광폭하고 강해진다고 하죠.,I heard that the monsters in the area where darkness appears become more violent and stronger.,"The monsters in areas where the phenomenon known as ""darkness"" appears are said to become more ferocious and powerful."
"예, 맞습니다.","yes, that’s right.","Yes, that's correct."
‘어둠’이란 단어자체는 아카데미 학자들이 처음 그 현상을 파악했을 때 명명됐지만…,"the word “darkness” was coined by the academy scholars when they first discovered the phenomenon,","The word ""darkness"" was coined by academy scholars when they first identified the phenomenon,"
학자들도 어둠에 대한 건 어느 것 하나 확언을 못하죠.,but even they can’t say anything for certain about it.,But even scholars can't say anything for certain about the Darkness.
"왜냐하면 어둠을 직접적으로 목격한……,",that’s because there are no survivors...,That’s because no one has ever directly witnessed the Darkness...
생존자가 없기 때문이죠.,...who have seen the darkness directly.,Because there are no survivors who have seen the darkness directly.
"네, 맞습니다.","yes, that’s right.","Yes, that's right."
알고 계시는군요.,you know a lot about it.,So you know about it.
보통 어둠과 닿은 사람은 모두가 죽었다.,"usually, everyone who comes into contact with the darkness dies.","Usually, anyone who comes into contact with the darkness dies."
"그 현상을 직접 목격한 자가 한 명도 없으니, 자연히 정보의 양 자체가 매우 적다.","no one has witnessed the phenomenon directly, so there is very little information about it.","Since no one has witnessed the phenomenon directly, the amount of information available is extremely limited."
"그러나 실은 단 한 명,","however, there is one person...","However, there is one person."
어둠과 닿고도 생존한 사람이 있다.,...who came into contact with the darkness and survived.,Someone came into contact with the darkness and survived.
바로 눈 앞에 있는 아렌트 클로비스.,"it’s arendt clovis, who’s sitting right in front of me.","It’s Arendt Clovis, right in front of me."
"어릴 적, 그는 어둠이 나타난 순간을 목격하고도 살아남았다.","when he was young, he witnessed the darkness and survived.","When he was young, he witnessed the moment the darkness appeared and survived."
"…비록, 커다란 후유증이 남아","however, he suffered from severe aftereffects,","…However, he was left with severe aftereffects."
어둠에 의한 후유증을 최대한 늦춰 주는,so he always carries around a processed magic stone...,a magic stone that delays the aftereffects of the darkness as much as possible...
가공한 마석을 늘 지니고 다니게 되었지만.,...that delays the effects of the darkness.,...but he always carries a refined magic stone that delays the effects of the darkness.
"그렇게 유예 시간을 얻은 그는 자신의 몸을 침식하는 후유증과,","with the time he bought himself, he’s been looking for a way to cure himself...","With the time he bought himself, he has been searching for a way to stop the aftereffects that are eroding his body..."
그 ‘어둠’이란 존재를 없앨 방법을 찾고 있다.,...and get rid of the darkness.,...and find a way to eliminate the darkness.
…이건 아렌트가 유니스를 좋아하게 되면서 털어 놓는 이야기니,"he tells eunice about this after he falls in love with her,",He only shares this story after he falls in love with Eunice.
내가 아는척 할 수는 없지만….,so I can’t act like I know about it...,So I can't pretend to know about it...
헤일론에서도 어둠에 관해서 신경쓰고 있어요.,"we’re also keeping an eye on the darkness in heylon,",we're also keeping an eye on the darkness in Heylon.
다만 어둠이 출현한 적은 없어 정보가 무척 적답니다.,"but it hasn’t appeared yet, so we don’t have much information about it.","But the Darkness has never appeared here, so we have very little information about it."
그렇군요.,I see.,I see.
아렌트는 한가지 가설을 세운 상태다.,arendt has a hypothesis about the darkness.,Arendt has formulated a hypothesis.
이건 단순한 보석이 아니라…,this isn’t just a jewel...,This isn’t just a gemstone...
마석이니까요.,it’s a magic stone.,Because it's a magic stone.
마석은 그 자체로 어둠의 후유증을 지체시킨다.,magic stones delay the aftereffects of the darkness.,Magic stones themselves delay the aftereffects of the darkness.
그리고 마석은 마력에 영향을 받는다.,they are also affected by magic powers.,And magic stones are also influenced by magical energy.
