hangle,first_translate,second_translate
생각보다 좀 걸리네.,it's taking longer than I thought.,It's taking longer than I expected.
붕대 가는 건 별로 안 걸릴 것 같았는데.,I didn't think it would take so long to change the bandages.,I thought changing the bandages wouldn't take long.
‘세상 물정 모르는 아가씨’라고 말하는 눈,he's looking at me like I'm a naive girl who doesn't know anything.,He's looking at me like I'm a clueless girl who doesn't understand the ways of the world.
아까 말하려다 못한 이야기를 하려고 했건만.,I was going to tell him what I couldn't say earlier.,I was going to say what I couldn't earlier.
나도 나름 열심히 일을 하고 있다구.,I'm trying my best here.,I'm doing my best too.
시그렌은 대체 왜 날 싫어하는 걸까?,why does siegren hate me so much?,why does siegren hate me?
사실 유년 시절의 시그렌의 성격에 대해서는 생각해 본 적이 없다.,I never thought about what siegren's personality was like when he was young.,I've never really thought about what Siegren was like as a child.
그래서 통 감이 안 잡힌단 말이야.,that's why I can't get a grasp of it.,That's why I can't get a grasp of it.
애초에 소설은 여주인 유니스의 시점으로 진행 되었고…,the novel was written from eunice's perspective...,The novel was originally told from Eunice's perspective...
그 이야기 속에서 시그렌에게 부여된 역할은 간단했다.,and siegren's role in the story was simple.,Siegren's role in the story was simple.
"잘생기고, 헌신적이고, 다정하고.","he was handsome, devoted, and kind.","He was handsome, devoted, and kind."
오직 유니스에게만 사랑을 주는 완벽한 연인.,he was the perfect lover who only loved eunice.,He was the perfect lover who gave his love only to Eunice.
누구나 한 번쯤은 비현실적인 사랑을 받는걸 꿈꾸지 않는가?,doesn't everyone dream of having a love like that at least once in their life?,Doesn't everyone dream of experiencing an unrealistic love at least once?
"항상 날 신뢰하고, 내 편으로 있어 줄 사람을.",someone who always trusts me and is on my side.,Someone who always trusts me and stands by my side.
"그런 시그렌의 성격만 상상했으니까,","I only imagined siegren as that kind of person,","Since I had only imagined Siegren with that kind of personality,"
지금 어떻게 다뤄야 할지 모르겠어.,so I don't know how to deal with him now.,I don't know how to handle him now.
의도가 살짝 불순해서 그런가.,maybe it's because my intentions are a bit impure.,Maybe it's because my intentions aren't entirely pure.
"난 미안함과 애정, 계산적인 마음이 섞여서 가까워지고 싶은 건데.","I want to get closer to him because I feel sorry for him, I like him, and I have a calculative mind.","I want to get closer to him out of guilt, affection, and a bit of calculation."
그는 그걸 이유 없는 호의로 여겨 경계하는 모양이다.,but he thinks I'm being nice to him for no reason and is wary of me.,He sees it as baseless kindness and remains cautious of me.
섣불리 다가갔다가 날 더 싫어하게 되면 미래가 불안해지는데.,"if I approach him recklessly and he ends up hating me more, the future will be uncertain.","If I approach him recklessly and he ends up hating me even more, it will make the future uncertain."
아가씨.,my lady.,My lady.
끝났나요?,are you done?,Are you done?
그렇긴 합니다만….,"yes, but...","Yes, but..."
문제가 생겼나요?,did something happen?,Is there a problem?
"아뇨, 부상의 회복은 무척 순조롭습니다.","no, his injury is healing very well.","No, his injury is healing very well."
다만…….,however...,However...
무슨 일이 생긴 건가요?,did something happen?,Has something happened?
"그 아이, 용병단 출신이라고 들었습니다.",I heard that boy is from a group of mercenaries.,I heard that he's from a mercenary group.
하지만 다 나아도 돌아가게 해도 될지 의문이 드는군요.,but I'm not sure if we should send him back even after he recovers.,"But even if he recovers, I'm not sure if we should send him back."
"본인은 입을 열지 않지만,","he won't say anything,","He refuses to speak,"
온몸에 빼곡히 오래된 흉터가….,but his body is covered with old scars...,But his entire body is densely covered with old scars...
시그렌!,siegren!,Siegren!
말도 안 돼.,no way.,No way.
설마 이 정도일 줄은 몰랐다고!,I didn't think it would be this bad!,I never imagined it would be this bad!
내가 무슨 짓을 한 거지?,what have I done?,What have I done?
무슨 일이야?,what's wrong?,What's going on?
시그렌.,siegren.,siegren.
"뭐, 뭐야?!",wh-what?!,Wh-what?!
미안해. 잠깐 옷 좀 올릴게.,I'm sorry. I just need to lift your shirt for a second.,I'm sorry. I just need to lift your clothes for a moment.
뭐?!,what?!,What?!
갑자기 무슨 소리야?!,what are you talking about?!,What are you suddenly talking about?!
실례하겠습니다!!,excuse me!!,Excuse me!!
실례인 걸 알면 하지 말라고!,"if you know it's rude, then don't do it!","If you know it's rude, then don't do it!"
잠깐이면 되니까….,it'll only take a second...,It’ll only take a moment…
오돌토돌한 촉감이 느껴져….,I can feel the rough scars...,I can feel the bumpy texture...
군데군데 움푹 파여있고.,there are deep scars here and there.,There are indentations here and there.
정말로 흉터가…!,he really has scars...!,There really are scars...!
이렇게 엉망진창이라니!,he's a complete mess!,His body is in such a terrible state!
어떻게 이런 일이….,how could this happen...?,How could this have happened...?
하지 말라고!,I said don't do it!,"I said, stop it!"
아….,oh...,Oh...
이러려고 했던 게 아닌데!,this isn't what I intended!,This isn't what I meant to do!
