hangle,first_translate,second_translate
세숫물로 걸레 빤 물을 주다니…….,they gave me water that was used to mop the floors...,they gave me water that was used to rinse a mop...
진심인가 이 사람들?,are they serious?,Are they serious?
이렇게 노골적으로 저급하고 유치하게 나온다고?,they’re being so obvious about it.,They’re being so blatantly crude and childish about it.
그래도 가문을 대표해서 전쟁터에서 5년을 산 사람한테… 정말로?,I can’t believe they’re treating someone who fought for their family like this...,I can’t believe they’re treating someone who fought on behalf of their family and survived on the battlefield for five years like this...
…풋!,pfft!,pfft!
푸흣… 큭…,haha... heh...,Pfft... Hngh...
잘 웃네…….,she’s laughing...,She sure laughs a lot.
"…그런데 저 하녀,",but that maid...,...But that maid...
어디서 본 적이 있는 것 같은데…….,I think I’ve seen her before...,I think I've seen her somewhere before...
…아!,oh!,...Ah!
5년 전에도 본 얼굴이야.,I saw her five years ago.,I've seen that face before—five years ago.
보면 볼수록 태생이 보인다니까.,I can see where she gets her attitude from.,"The more I look, the more her origins show."
사생아라고 피오나를 끝없이 괴롭힌 백작부인의 하녀!,she’s the countess’ maid who bullied fiona because she was an illegitimate child!,She's the countess's maid who relentlessly tormented Fiona for being an illegitimate child!
그럼 그렇지…….,I should’ve known...,I should've known...
방 하나 좀 제대로 줬다고 좀 방심하다니…,I let my guard down because they gave me a nice room...,I let my guard down a little just because they gave me a decent room...
"이런 행동이 여전히 묵인되어 이루어진다는 건,",the fact that they’re still allowing this to happen...,The fact that this kind of behavior is still being tolerated...
이 가문이 여전히 날 쓸모도 가치도 없는 사생아로 보고 있다는 뜻.,...means that they still see me as a useless illegitimate child.,...means that this family still sees me as a worthless and insignificant illegitimate child.
아무래도 이 집안 사람들은,it seems like the people in this house...,It seems like the people in this household...
아직도 착각에 빠져 있는 모양이다.,...are still mistaken.,They still seem to be under an illusion.
"나를 여전히 돈도,",they still think I’m a 13-year-old illegitimate child...,They still think I have no money and that I’m just a 13-year-old illegitimate child...
"갈 곳도,","...with no money,","...with no money, nowhere to go,"
아무런 힘도 없는 반쪽짜리 핏줄만 가진 열 세 살 사생아로 여기고 있어.,"no place to go, and no power.",a powerless thirteen-year-old illegitimate child with no place to go.
이런 식으로 환대해 주니 복수심이 다시 타오를 것 같네.,the way they’re treating me is making me want to get revenge.,The way they're treating me is reigniting my desire for revenge.
나야 그렇다치고 내내 고통 받았을 ‘피오나’를 생각하면 더……,thinking about how fiona must have suffered...,Thinking about how Fiona must have suffered all this time makes it even worse...
이대로 두는 건 아닌 것 같아.,I can’t just let this go.,I can't just let this slide.
"당신,",you.,You there.
이름이 뭐였지?,what’s your name?,What's your name again?
메이입니다.,it’s mae.,It's May.
"좋아, 메이.","alright, mae.","Alright, May."
예전에도 본 기억이 있는 얼굴이야.,I remember seeing you before.,I've seen this face before.
