hangle,first_translate,second_translate
광폭화된 마물이라.,so this is a berserk demon...,So this is a berserk monster...
이런 게 풀려났다면 많은 사상자를 냈겠지.,"if this thing had been released, it would have caused many casualties.","If something like this had been released, it would have caused many casualties."
작전을 서두른 피오나의 판단이 옳았어.,fiona was right to rush the operation.,Fiona was right to hasten the operation.
"저, 전하!!!",y-your highness!!!,Y-Your Highness!!!
다수의 마물이 몰려오고 있습니다!,a large number of demons are approaching!,A large number of monsters are approaching!
상황을 보러 오길 잘했어.,I’m glad I came to check on the situation.,I'm glad I came to assess the situation.
누군가가 마물을 풀었구나.,someone must have released them.,someone released them.
다들 무기를 들어라!,"everyone, take up your weapons!","Everyone, take up your weapons!"
하나도 남겨두지 말고 모두 해치워!,kill them all and leave none alive!,Kill them all and leave no one alive!
"이 자식,","you bastard,","You bastard,"
살아있었나!,you’re still alive!,You're still alive?!
시그렌!,siegren!,Siegren!
마무리를 부탁해!!,please finish it off!!,Finish it off!!
역시 겨울의 수호자…!,he truly is the guardian of winter...!,He truly is the Guardian of Winter...!
이건 확실하게 목을 잘라야 하는 마물인가 보네.,I guess this is a demon that needs to have its head cut off.,Looks like this is a monster that definitely needs to be beheaded.
다른 마물 소탕도 도와줄까?,should I help with the other demons too?,Should I help take care of the other monsters too?
기사들이랑 내가 할게.,I’ll handle it with the knights.,The knights and I will handle it.
같이 처리하는 게 좋을 것 같은데.,I think it would be better if we handled it together.,I think it would be better to take care of it together.
정 걱정되면 입맞춤이라도 해줘.,"if you’re worried, you can give me a kiss.","If you're that worried, you could at least give me a kiss."
…너 요즘 아주 인생이 즐겁지?,"you’re really enjoying life these days, aren’t you?","…You’re having a lot of fun these days, aren’t you?"
빨리 다녀오기나 해.,hurry and come back.,Just go quickly and come back.
아가씨!,my lady!,My lady!
바로 오셔야겠습니다.,you must come at once.,You must come immediately.
드디어 잡혔어요.,we finally caught him.,We finally caught them.
투기장의 주인이요!,the owner of the arena!,The owner of the arena!
이렇게 작은 여자가 이 일의 책임자라고?,this small woman is the one responsible for all this?,This tiny woman is the one in charge of all this?
"안녕하세요, 크루스 씨.","hello, mr. cruz.","Hello, Mr. Cruz."
아무래도 드디어 말이 통할 만한 상대가 온 것 같군요…,it seems like I’ve finally met someone I can reason with...,It seems like I've finally met someone I can communicate with...
"…아름다운 아가씨,","my beautiful lady,","…Beautiful lady,"
제게 이런 식으로 굴면 후에 틀림없이 후회하실 겁니다.,"if you treat me like this, you will surely regret it later.","If you treat me this way, you will surely regret it later."
왜요?,why?,Why?
순진하긴.,how naive.,How naive.
겁이나 좀 줘야겠다.,I’ll have to scare her a little.,I'll have to scare him a little.
아가씨께만 특별히 알려드리는 겁니다.,I’m telling you this as a special favor.,I'm telling you this exclusively for you.
제 뒤에는 매우 무서운 분들이 있거든요.,there are very powerful people behind me.,There are very dangerous people backing me.
"데런 남작님과 오헬 자작님,","baron daren, viscount ohel,","Baron Daren and Viscount Ohel,"
아이작 백작님 에다가…,and count isaac...,And Count Isaac as well...
오호.,oh my.,oh ho.
전부 징집 대상이군요.,they’re all eligible for conscription.,They're all subject to conscription.
덕분에 올해 적자는 면하겠어요.,"thanks to them, we won’t be in the red this year.","Thanks to them, we won’t have a deficit this year."
전부 털리겠네.,they’ll all be stripped of their titles.,They’ll be completely stripped of everything.
게다가!,"on top of that,",On top of that!
제가 감히 입에 올릴 수 없이 고귀한 분도 계시죠!,there’s also someone so noble that I dare not even mention their name!,There is also someone so noble that I wouldn't even dare to mention their name!
절 풀어주시면 이번 일은 전부 없던 걸로 해 드리죠.,"if you let me go, I’ll forget this ever happened.","If you let me go, I’ll act like this never happened."
현명한 선택을 하시길…,make the wise choice...,Make a wise choice...
윽!,ugh!,ugh!
쿠당탕,wham,wham
이거 놔!,let me go!,Let go of me!
내가 누군지 아느냐?,do you know who I am?,Do you know who I am?
버둥,struggle,struggle
황태자.,crown prince.,crown prince.
한 명 더 있었습니다.,there was one more.,There was one more person.
경기장 안쪽에서 발견했죠.,we found him inside the arena.,He was found inside the arena.
놔라!,let go!,Let go!
나는 이 제국의…,I am the crown prince of this empire...,I am this empire's...
제국의 뭐요?,the crown prince of what?,"Of the empire, what?"
"네, 네년이 알 필요는 없어!",i-it’s none of your business!,"Y-you don’t need to know, you wretch!"
그럼 현재 당신은 방금 무례를 저지른 한낱 범죄자군요.,"then right now, you’re just a criminal who has been rude to me.","Then right now, you’re nothing more than a criminal who has just been rude."
무릎을 꿇리세요.,make him kneel.,Make him kneel.
으악!,ack!,Ack!
이쪽 상황도 대충 정리된 모양이군.,it looks like things have been settled here too.,It looks like things are mostly settled here too.
"이,",y-you...,Y-you...
이 괴물 같은 사생아 놈…!!,you monstrous bastard...!!,you illegitimate monstrous bastard...!!
반드시 죽여버리겠어…!,I’ll kill you...!,I'll definitely kill you...!
호오.,oh?,Oh?
"날 아나, 범죄자?","do you know me, criminal?","Do you know who I am, criminal?"
이 자시익!!,you bastard!!,You bastard!!
황자에게 악을 쓰면 되나.,how dare you shout at the crown prince.,How dare you raise your voice at the crown prince?
"누구길래 이렇게 간이 부었는지 궁금해지는데,",I’m curious to know who you are to have such nerve.,I'm curious to know who has the audacity to act this way.
신원 미상의 범죄자 얼굴 좀 볼까?,let’s see the face of this unidentified criminal.,Let's take a look at the face of this unidentified criminal.
안돼…,no...,No...
안돼안돼안돼안돼!!,"no, no, no!!","No, no, no, no!!"
"이, 이거 풀어!!",l-let me go!!,Untie me!!
이 미친놈들아!!,you crazy bastards!!,You crazy lunatics!!
"이런, 전혀 몰라뵈었네요.","oh my, I didn’t recognize you at all.","Oh my, I completely failed to recognize you."
"어째서 이런 곳에 계시는 겁니까, 형님?","what are you doing in a place like this, brother?","Why are you in a place like this, brother?"
난…,I’m...,I'm...
이제 끝장이다…,...finished now...,It's over now.
