hangle,first_translate,second_translate
추워!,it’s so cold!,It's so cold!
"피,피오나 님! 경계에 집중해주세요!",m-miss fiona! please focus on your surroundings!,M-Miss Fiona! Please stay alert!
그러다가 마물이라도 오면 어쩌시려고요!,what if a monster comes out of nowhere?!,what if a monster shows up?!
아..,oh...,Ah...
오늘 처음 출전한 병사였지?,"he’s a new soldier, right?","He's a soldier on his first deployment today, right?"
이름이 알렌이던가.,I think his name was allen.,Was his name Allen?
걱정 마세요. 저는…,don’t worry. I’m...,Don't worry. I...
충분히 집중하는 중이에요.,...focusing plenty.,I'm fully focused.
"하, 하아...",ha... haha...,Ha... Haa...
내가 발견하지 않았으면 큰일 났을 거예요.,you would have been in big trouble if I hadn’t noticed it.,"If I hadn't noticed it, things could have gone really bad."
난 신경 쓰지 말고.,don’t mind me.,Don't worry about me.
우선 차분히 주변을 둘러보도록 해요.,just focus on your surroundings.,"First, take a calm look around your surroundings."
한눈팔면 마물의 저녁밥이 될 테니까요.,"if you lose focus, you’ll become monster food.","If you lose focus, you'll become a monster's dinner."
...우...,uh...,...Uh...
우으...,ugh...,Ugh...
"…앗, 생각보다 많이 겁먹었네.","oh, he’s more scared than I thought.","Oh, he's more frightened than I expected."
좀 달래줄까.,maybe I should comfort him.,Should I comfort him a little?
겁먹지 말아요.,don’t be scared.,Don't be afraid.
그런 일이 없도록 지켜 주기 위해서,I’m here with you...,I'm here to protect you so that won't happen.
제가 함께 온 걸요.,...to make sure that doesn’t happen.,That's why I'm here with you.
그럼 같이 힘내봐요.,so let’s do our best.,Then let's do our best together.
피…,miss...,F...
피...,miss...,Fi...
피오나 님…!!,miss fiona...!!,Fiona...!!
"히,",ee...,Ee...
히이이익?!,eeek?!,Eeek?!
마물의 머리다앗!!!,it’s a monster’s head!!!,It's a monster's head!!!
"....하아, 정말.",haa... really.,Haa... seriously.
이러면 달래준 보람이 없는데.,there was no point in comforting him.,Comforting him feels pointless now.
아직 어린 신병이니까,you know you have to pay more attention...,He's still a young recruit.
좀 더 신경을 써줘야 하는 거 알잖아.,...to the younger soldiers.,You know you need to pay more attention to the younger soldiers.
흥.,hmph.,Hmph.
멍하니 있지 말고 피했으면 될 일이야.,he should have just dodged it instead of standing there.,He shouldn't have just stood there; he could have just dodged it.
시그렌… 예전엔 예쁘장한 느낌이 남아 있었는데.,"siegren... he used to have a pretty face,",Siegren... He used to have a somewhat pretty look.
"이제는 이런 잔혹한 풍경에 서 있는데도,","but now, even when he’s standing in front of a gruesome scene,","But now, even as he stands amidst such a gruesome scene,"
"음… 뭔가 무섭다기보다도,",hm... it’s not scary.,Rather than being scary...
어쩐지 어울리는―,it just suits him somehow.,"Somehow, it just suits him."
…시그렌.,siegren...,...Siegren.
날카로운 미남이 됐단 말이야.,"he’s become a sharp, handsome man.",He's turned into a sharp and handsome man.
왜.,what?,Why?
얘가 아직도 사춘기인가.,is he still going through puberty?,Is he still in his rebellious phase?
