hangle,first_translate,second_translate
"저기 봐, 저기 온다.","look, there she is.","Look, there they come."
저 애가 공작님의 대리?,that kid is the duke’s proxy?,Is that kid the duke’s proxy?
사기꾼 아니야?,she’s probably a fraud.,Isn't that person a fraud?
정말 당황스럽군….,this is so embarrassing...,this is so bewildering...
역시 어린애의 몸은 불편해.,it’s so inconvenient being in a child’s body.,It’s really uncomfortable being in a child’s body.
이 정도로 노골적인 반응이 나올 줄이야….,I didn’t think they’d be so obvious about it...,I didn't expect such a blatant reaction...
날 의심하고 있었다면서 나한테 영주의 권한을 빌려주다니.,"he was suspicious of me, but he still gave me the authority of a feudal lord.","He was suspicious of me, yet he still entrusted me with the authority of a feudal lord."
아벨은 왜 내게 이 일을 맡겼을까?,why did abel give me this job?,Why did Abel entrust me with this task?
나보다 어른인 제론이 나았을 텐데~,jeron would’ve been better since he’s older than me.,Jeron would’ve been a better choice since he's older than me.
"뭐, 그건 천천히 고민해 보고….","well, I’ll think about that later...","Well, I’ll think about that later."
난 주어진 일만 처리하면 되겠지.,I just need to do what I was told.,I just need to take care of the task given to me.
"일단, 용병들을 어떻게 처벌할지가 문제야.","first, I need to figure out how to punish the mercenaries.","First, the issue is how to punish the mercenaries."
"사실 사건을 일으킨 용병을 벌하는 것만큼,","it’s important to punish the mercenaries who caused the incident,","In fact, just as punishing the mercenaries who caused the incident is important,"
이 처벌이 가지는 의의도 중요해.,but it’s also important to think about what the punishment means.,But it's also important to consider the significance of this punishment.
말 그대로 본보기.,it’s a warning.,It's meant to be an example.
똑같은 짓을 저지르면 너 역시 이 꼴이 된다는 경고.,it’s a warning to others that they’ll end up the same way if they do the same thing.,"It's a warning that if they commit the same act, they'll end up like this too."
"이번 일이 잘되면 마을의 치안에 도움이 되겠지만,","if this goes well, it’ll help the town’s public order,","If this goes well, it’ll help maintain order in the town,"
처벌이 약하면 역효과가 날 것이다.,"but if the punishment is too weak, it’ll have the opposite effect.","But if the punishment is too lenient, it could backfire."
약한 벌로 끝나면,"if the punishment is weak,","If the punishment is too lenient,"
나도 해도 되지 않을까?,"people will think, “I can do that too.”","People might think, ""I could do that too."""
-라고 생각하는 게 사람 심리니까.,that’s just human nature.,That’s just human nature.
북부에 어울리는 처벌 방법이 뭐가 있을까….,what kind of punishment would be fitting for the north...?,What kind of punishment would be appropriate for the North...?
음…. 도둑질을 하면 손목을 자르기까지 하니까….,hmm... they cut off the hands of thieves...,Hmm... They even cut off the hands of thieves...
아녀자를 희롱했으니,"they harassed a woman,","Since they harassed a woman,"
역시 중요 부위를 자를 수밖에 없나….,so maybe I should cut off their important parts...,Guess that means I have no choice but to cut off their important parts...
"뭘, 뭘 잘라…?",c-cut off what...?,W-what are you cutting off...?
"아냐, 아무것도.","oh, nothing.","Oh, it's nothing."
역시 시그렌은 돌아가라고 할 걸.,I should’ve told siegren to go back.,I should've just told Siegren to go back.
