hangle,first_translate,second_translate
"이제 네가 가고 싶은 곳이 있다면 떠나도 좋다,","you can go wherever you want now,",You can leave for wherever you want now.
피오나.,fiona.,fiona.
너는 이제 막 성인이 되었다.,you’ve just become an adult.,You have just come of age.
원하는 게 있다면 자유롭게 할 수 있어.,you can do whatever you want.,You’re free to do whatever you want.
네 마법 실력이라면 수도에서 부귀영화를 누릴 수도 있을 테고.,"with your magic skills, you could live a life of luxury in the capital.","With your magic skills, you could enjoy wealth and luxury in the capital."
…사생아인 게 신경쓰이면 헤일론의 이름으로 후견인을 해 주마.,"if you’re worried about being an illegitimate child, I can be your guardian under the name of house hylon.","If you're concerned about being an illegitimate child, I can act as your guardian under the name of House Hylon."
그러면 수도에서도 널 함부로 대하지는 못할 거다.,then no one will be able to look down on you in the capital.,Then no one in the capital will be able to treat you carelessly.
어… 정말 의외네요.,oh... that’s unexpected.,Oh... that’s really unexpected.
뭐가.,what is?,What?
공작님이 이런 친절한 제안을 해 주시다니…,I didn’t think you’d make such a kind offer...,I didn’t expect the Duke to make such a kind offer...
나는 그저 네게 마땅한 대가를 지불할 뿐이다만.,I’m just giving you what you deserve.,I'm simply offering you the compensation you deserve.
그동안의 보수는 그 대가가 아니었나요?,wasn’t my pay for that?,Hasn't my pay already covered that?
날 뭐로 보고.,what do you take me for?,What do you take me for?
그건 단순히 네 노동에 대한 값에 불과해.,that was just for your labor.,That was merely compensation for your labor.
그거랑 이건 엄연히 별개의 일이다.,this is a completely different matter.,This is an entirely separate matter.
아벨이 이런 상냥한 생각을 하고 있었다니…,I didn’t know abel could be so kind...,I didn't expect Abel to have such kind thoughts...
그동안 피도 눈물도 없다고 욕해서 미안!,I’m sorry for calling you heartless!,I'm sorry for badmouthing you as cold-hearted all this time!
"그리고... 자,",also... here.,And... here.
받아라.,take this.,Take it.
네 본가에서 날아온 편지다.,it’s a letter from your family.,It's a letter from your family home.
본가라면…,my family...?,My family home...?
그린 백작가!,house green!,Count Green's family!
"아버지, 기특하게도 우리 막내가 지원하겠다는군요.","father, our youngest has volunteered.","Father, our youngest has admirably decided to enlist."
수줍어서 크게 말은 못 하는 것 같지만.,"she’s too shy to say it out loud, though.","She seems too shy to say it out loud, though."
어린 나를 억지로 전쟁터로 등 떠민 장본인들.,the people who pushed me into the war when I was young.,The ones who forced me onto the battlefield when I was just a child.
그러니까 …전…,so... I...,So... I...
5년간 편지 한 통 보낸 적이 없더니…,they haven’t sent a single letter in five years...,They haven't sent me a single letter in five years...
그동안 소식도 없었는데…,they haven’t contacted me at all...,They haven't contacted me all this time...
왜 보낸 걸까요?,why did they send this?,Why did they send it?
"글쎄, 나도 뜯어 보지는 않아서 모르지.",I don’t know. I didn’t open it.,I don't know. I haven't opened it.
...참. 피오나 네가 원한다면…,"oh, right. fiona, if you want,","Oh, right. Fiona, if you want..."
널 이곳으로 떠민 본가를 부수는 일도 해 주마.,I can destroy the family that pushed you out of here.,"If you want, I can destroy the family that pushed you out of here."
그동안 캐 놓은 약점이 꽤 많거든.,I’ve found a lot of dirt on them over the years.,I've gathered quite a few of their weaknesses over the years.
이게… 아벨 나름의 서비스 정신…?,is this... abel’s way of being nice...?,Is this... Abel's idea of good customer service...?
"그, 그 정도로 복수심에 불타지는 않아요.",I-I’m not that vengeful.,I-I'm not that consumed by revenge.
솔직히 신경도 안 쓰고 있었고.,I honestly haven’t thought about them at all.,"Honestly, I haven’t even given them a second thought."
"뭐, 네 성격이라면 그렇겠지.","well, that’s just like you.","Well, that does sound like you."
나라면 힘이 생긴 즉시 먼지 한 톨 남기지 않고 없애버렸겠지만.,"if it were me, I would’ve wiped them out completely as soon as I had the power to do so.","If it were me, I would have wiped them out completely the moment I gained power."
아무튼…,anyway...,Anyway...
확실히 이제 곧 원작이 시작될 시점이구나.,it’s almost time for the original story to begin.,It’s definitely almost time for the original story to begin.
여주인공도 나올 시기인데,it’s also time for the female lead to appear.,It's also about time for the female lead to make her appearance.
