hangle,first_translate,second_translate
너희를 이대로 보내면 내가 공작한테 더러운 꼴을 당해서.,"if I let you go, I’ll suffer humiliation at the hands of the duke.","If I let you go like this, I'll suffer humiliation at the hands of the duke."
"어이, 고용주님.","hey, employer.","Hey, boss."
"이놈들,",these bastards...,These guys...
가랑이에 달린걸 잘라 버릴까?,should I castrate them?,Should I castrate them?
음…,um...,Hmm...
"아니, 그건 좀.","no, that’s a bit much.","No, that's a bit much."
"아가씨, 감사합니다.","thank you, my lady.","Thank you, my lady."
다시는 경거망동하지 않겠습니다요.,we won’t act recklessly again.,We will never act recklessly again.
용서해주셔서 어찌나 다행인지…,we’re so glad you forgave us...,It’s such a relief that you forgave us...
누가 용서를 했는데?,who said I forgave you?,Who said I forgave you?
으아아악!,aack!,Aaaah!
"영애, 눈을 감는 게 좋겠어요.","my lady, you should close your eyes.","My lady, it would be best if you closed your eyes."
귀는 제가 가려드릴 테니까요.,I’ll cover your ears.,I'll cover your ears for you.
예?,huh?,Huh?
예에…,okay...,Okay...
"자, 됐어.",there you go.,"There, all done."
"자르진 말고, 한 대씩 세게 두들겨 줘.",don’t cut them off. just give them each a good whack.,"Don't cut them off. Just give each of them a good, hard beating."
그래.,sure.,Sure.
흐갹…,ugh...,Ugh...
"그리고 그 전에,","and before you do,","And before that,"
내 얼굴 잘 보렴.,take a good look at my face.,Take a good look at my face.
"의뢰를 수행할 때, 물지 말아야 할 상대가 누군지는 기억해야지.",you should remember who not to bite when you’re carrying out a job.,You should remember who you must never bite when carrying out a job.
네에…,yes...,Yes...
죄송합니다…,we’re sorry...,I'm sorry...
잊을 수 있겠냐고.,do you think you can remember?,Do you think you can forget?
설교는 이제 끝난 것 같고.,I think that’s enough lecturing.,I think that’s enough of a lecture.
이젠…,now...,Now...
집행이군!,it’s time for the execution!,It's time for the punishment!
꺄아아아아악!!,aaah!!,Aaaah!!
다음.,next.,Next.
커어억!!,kegh!!,Kegh!!
"이곳이,",is this...,Is this place...
어둠에 삼켜진 곳인가.,...the place that was swallowed by darkness?,Is this a place swallowed by darkness?
시신 수습도 못 하겠네요…,we can’t even recover the bodies...,We can't even retrieve the bodies...
"전하, 앞으로 어떻게 하실 건가요?","your highness, what will you do now?","Your Highness, what do you plan to do next?"
"이쪽을 거점으로 잡고,",we’ll use this as a base...,We’ll establish this as our base...
본격적으로 숲에 있는 마물을 토벌해야겠지.,...and start hunting the monsters in the forest.,...and begin a full-scale hunt for the monsters in the forest.
피오나 영애는 아카데미의 연구원들과 있는 게 낫지 않을까.,wouldn’t it be better for lady fiona to stay with the academy researchers?,Wouldn't it be better for Lady Fiona to stay with the academy researchers?
제법 일이 많아 보이더군.,they seem to have a lot of work to do.,There seems to be quite a lot of work to do.
음…,hm...,Hm...
"위험한 곳에는 안 내보내겠다, 이거지?","he doesn’t want to send me somewhere dangerous, huh?","So, he doesn't want to send me somewhere dangerous, huh?"
전하.,"your highness,","your highness,"
사적인 일과 공적인 일은 구분해야죠.,we should keep our personal and public lives separate.,We should distinguish between personal matters and official duties.
내가 있을 곳은 이곳이 아니야.,this isn’t where I belong.,This isn't where I should be.
알잖아?,"you know that, right?","You know, don't you?"
발그레…,blush,Blushing...
"미인계, 통했다.",the beauty trap worked.,The beauty trap worked.
일단 황제 폐하께 칙령도 받은 몸이니 열심히 일하죠.,let’s work hard since we’ve received an imperial edict from his majesty.,"For now, I’ll work hard since I’ve also received an imperial edict from His Majesty."
초반만 아주 잠깐 나갔다 와.,just go out for a little while at the beginning.,Just step out briefly at the start.
와아.,wow.,Wow.
…아벨이 빨리 돌아와서 네 대타가 되어야 하는데.,abel needs to hurry back so he can take your place.,…Abel needs to hurry back so he can take over for you.
스승님을 부려 먹을 생각뿐이구나.,you’re just trying to make your master do all the work.,You're just thinking about making your master do all the work.
여전히 사이가 좋으시네요.,you two are still close.,You two are still close.
…대체 어딜 봐서요?,how can you tell...?,…From what angle does it look that way?
"이런, 어딜 봐도 어린 시절처럼 다정하신데요.","oh my, you’re as close as you were when you were young.","Oh my, no matter how you look at it, you're just as close as you were in your childhood."
겉모습이야 두 분 다 콩나물처럼 쑥쑥 자라셨지만.,"you’ve both grown rapidly like bean sprouts, though.","You've both shot up like bean sprouts, though."
어.,oh.,Oh.
"경, 이거 떨어뜨렸어요.","sir, you dropped this.","Sir, you dropped this."
아. 고맙습니다.,"oh, thank you.","Oh, thank you."
경의 물건인가요?,is this yours?,"Is this yours, Sir?"
네. 좀 보실래요?,yes. would you like to see?,Yes. Would you like to take a look?
집에 두고 온 아내예요.,"it’s my wife, who I left at home.","She's my wife, whom I left at home."
떠나기 전에 듣자 하니 임신했다더군요.,I heard she was pregnant before I left.,I heard she was pregnant before I left.
와악!,ack!,Wah!
그런 건 빨리 좀 말해요!,you should have told me that!,You should've told me that sooner!
제 옆이 아니라 부인 곁에 있어야 되잖아요?!,"you should be with your wife, not me!","You should be by your wife's side, not mine!"
"어쩔 수 없죠, 임무니까.",I have no choice. it’s my duty.,I have no choice. It's my mission.
그래도 주군께서 예정일 전에 돌아가게 해 준다고 하셨으니까요.,"still, my master said he’d let me go back before the due date.","Still, my lord said he’d allow me to return before the due date."
"아벨, 사람 부려 먹는 게 너무 독해!","abel, you’re too harsh when it comes to making people work!","Abel, you're too ruthless when it comes to making people work!"
"좋아요,",all right.,All right.
제가 더 빨리 헤일론으로 돌아갈 수 있도록 해줄게요.,I’ll help you get back to hylon even faster.,I'll make sure you can return to Hylon even sooner.
감사합니다!,thank you!,Thank you!
너 말이지.,you.,"You know,"
아무리 서두르는 이유가 있다고 해도,"I know you have a reason to be in a hurry,","I know you have a reason to rush,"
숲에 번개를 난사하면 아군이 겁을 먹는단 말이다.,"but if you shoot lightning in the forest, you’ll scare your allies.","If you recklessly fire lightning in the forest, you'll end up scaring your allies."
아하하…,ahaha...,Ahaha...
그래도 덕분에 일찍 끝났는걸.,"still, it helped us finish early.","Still, thanks to that, we finished early."
어.,oh.,Oh.
유니스 영애!,lady eunice!,Lady Eunice!
피오나 영애!,lady fiona!,Lady Fiona!
영애의 힘으로 이 죽은 땅을 복구시킬 수 있을 것 같나요?,do you think you can restore this dead land with your power?,"Do you think you can restore this dead land with your power, my lady?"
"일부는 가능할 것도 같지만,","I think I can do some of it,","Some of it might be possible,"
이렇게 넓은 범위의 죽은 땅은 저도 처음이라…,but I’ve never seen such a large area of dead land before...,But this is my first time seeing such a vast expanse of dead land...
제 힘이 부족한 탓이에요.,it’s because I’m not strong enough.,It's because my power is insufficient.
영애…,my lady...,My lady...
그렇지 않아요.,that’s not true.,That's not true.
"성녀님은 한 분이고, 죽은 땅은 여러 개인데…","there’s only one saint, but there are many dead lands...","There is only one saint, but many dead lands..."
애초에 혼자 부담하시는 건 무리입니다.,it’s too much for you to handle on your own.,It's unreasonable to bear this burden alone from the start.
"맞아요, 유니스 영애가 부족한 게 아니에요",that’s right. it’s not because you’re not strong enough.,"That's right, Lady Eunice. You're not the problem."
조바심 내지 말고 차근차근해봐요.,don’t be impatient. take your time.,Don't rush. Take it step by step.
그래요. 저희도 뭐든 도울게요.,"yes, we’ll help you in any way we can.","Yes, we'll help in any way we can."
"어려운 부분이 있으면 혼자 앓지 말아요, 영애.","don’t suffer alone if there’s something difficult, my lady.","Don't bear the burden alone if something is difficult, my lady."
여러분…,everyone...,Everyone...
다들 이렇게 응원해주시는데,"everyone is cheering me on,","Everyone is cheering me on like this,"
혼자 약한 소리를 할 수는 없어.,so I can’t complain.,I can't be the only one to complain.
걱정끼쳐 죄송해요.,I’m sorry for worrying you.,I'm sorry for making you worry.
저 힘낼게요…!,I’ll do my best...!,I'll do my best...!
"와, 기세 좋은데요.","wow, she’s really motivated.","Wow, such great energy."
이러다가 너무 금방 끝내버리는 건 아닌지 몰라.,we might finish too quickly at this rate.,"At this rate, we might end up finishing too soon."
"그, 그건 아무래도…","w-well, that’s...","W-Well, that's..."
농담이에요.,I’m just kidding.,I'm just joking.
