hangle,first_translate,second_translate
영애.,my lady.,My lady.
만약 영애의 아버지가 억지로 시킨 거라면 방으로 돌아가.,"if your father forced you to do this, you should go back to your room.","If your father forced you into this, go back to your room."
아뇨.,no.,no.
"모든 건 제 의지예요, 전하.","I’m doing this of my own volition, your highness.","Everything is my own will, Your Highness."
그리고요…,and...,And...
"제 입으로 말씀드리긴 조금 그렇지만,","it’s a bit embarrassing to say this myself,","It's a bit awkward to say this myself,"
"저, 꽤 괜찮지 않나요?","but I’m quite attractive, don’t you think?","I'm pretty decent, aren't I?"
여태 어디서 거절당한 경험이 한 번도 없답니다.,I’ve never been rejected before.,I've never been turned down before.
…아니.,no...,...No.
"나에겐,","to me,","To me,"
피오나 외의 여자는 아무런 의미도 없어.,there’s no other woman besides fiona.,No other woman matters to me except Fiona.
머리가 아프군.,this is giving me a headache.,My head hurts.
차라리 암살자였으면 두 동강을 냈을 텐데.,"if she were an assassin, I would have cut her in half.","If she were an assassin, I would have completely destroyed her."
게다가 피오나가 잔소리 한 것도 있고…,but fiona also nagged me about this...,"Besides, Fiona also lectured me about it..."
"시그렌,","siegren,","siegren,"
영애들에게 친절하게 굴어야지!,you should be kind to the ladies!,You should be kind to young ladies!
쯧.,tsk.,Tsk.
영애가 안 나가면 내가 나가지.,"if you’re not going to leave, I will.","If you won’t leave, then I will."
"잠깐만요,","wait,","Wait a moment,"
전하!,your highness!,Your Highness!
전하…!,your highness...!,your highness...!
뭐?,what?,What?
몸으로 널 유혹하려고 했다고?!,she tried to seduce you with her body?!,She tried to seduce you physically?!
아하하하…,ahaha...,Ahahaha...
"세상에, 우리 황자님이 출세를 하긴 했나 보네!","wow, it looks like our crown prince has made a name for himself!","Wow, it looks like our prince has really made a name for himself!"
이럴 줄 알았어…,I knew this would happen...,I knew it...
왜에?,what’s wrong?,Why?
웃어서 삐졌어?,are you upset because I laughed?,Are you sulking because I laughed?
그래도 그 영애 용기가 대단하네.,"still, that lady was quite brave.","Still, that lady was quite courageous."
시그렌이 어지간히 좋았나 봐.,she must have really liked you.,She must have been really into you.
그런 대범한 짓을 하다니~,to do something so bold!,Pulling off something so bold!
"시그렌, 너 진짜 옴므파탈이다!","siegren, you’re a real lady-killer!","siegren, you’re truly irresistible!"
아하하!,ahaha!,Ahaha!
…그렇게 재밌어?,is it that funny?,…Is it really that funny?
당연하지!,of course!,Of course!
그 조그맣던 애가 이렇게 될 줄 누가…,who would have thought that little boy would grow up to be--,Who would have thought that little kid would turn out like this--
딸꾹!,hic!,Hic!
어?,huh?,Huh?
"너무 웃어서,",I laughed too much.,I laughed too much.
벌 받았나…,is this karma...?,Did I just get punished...?
그런가 보다.,maybe.,I guess so.
자.,here.,Here.
천천히 마셔.,take your time.,Drink slowly.
"고마, 워…",thank... you...,Tha...nk you...
"…으,","ugh,","…Ugh,"
그래도 안 멈추네.,it’s not stopping.,It still won’t stop.
"딸꾹질은, 놀라면 낫는데…",hiccups go away when you’re surprised...,Hiccups go away when you're startled...
"나, 좀 놀래켜 봐, 시그렌…","surprise me, siegren...","Siegren, surprise me..."
정말로?,really?,Really?
뭐든 해도 괜찮나?,can I do anything?,Is anything okay?
응… 얼른!,yeah... hurry!,Yeah... hurry up!
"그럼,","then,","Then,"
이런 건 어때.,how about this?,How about this?
괜찮으니,"it’s fine,","It’s fine,"
"시간 안 끌어도 돼, 시그렌.","you don’t have to stall, siegren.","You don’t have to drag it out, Siegren."
사귀는 사이에 키스 정도로 이러는 것도 좀…,it’s weird to be like this over a kiss when we’re dating...,It's a bit strange to react this way over just a kiss when we're in a relationship...
이상한…,how strange...,Weird...
시그렌…,siegren...,Siegren...
잠깐!,wait!,Wait!
으응…,mmph...,Mmph...
숨쉬기 힘들어…,I can’t breathe...,It's hard to breathe...
미안.,sorry.,Sorry.
뭐야…,what was that...?,What was that...?
꼭 내가 사냥감이 된 기분이 드는데…,I feel like I’ve become prey...,I feel like prey...
키스만 하려 했는데 나도 모르게.,"I only meant to kiss you, but I lost control.","I only intended to kiss you, but I lost control."
…읏.,ugh...,…ngh.
더 하면 때릴 거야.,"if you do it again, I’ll hit you.","If you go any further, I'll hit you."
나도 이 이상은 참기 힘들어서 안 할 거야.,I won’t do it again because I don’t think I can hold back anymore.,I won't do anything more because I don't think I can hold back.
시그렌…!,siegren...!,Siegren...!
딸꾹질도 멈췄으니까 갈게.,"your hiccups are gone, so I’ll get going.","Now that your hiccups are gone, I'll be going."
"잘 자, 피오나.","good night, fiona.","Good night, Fiona."
어쩌지.,oh no.,What should I do?
나…,I think...,I...
이다음을 바라게 될 것만 같아.,...I’m going to want more.,I feel like I'm going to want more.
오늘 온실에서 티파티가 열리는구나.,there’s a tea party in the greenhouse today.,There’s going to be a tea party in the greenhouse today.
티파티에서는 만나 뵐 수 있을까?,"will I see you there,",Will I see you at the tea party?
피오나 헤일론 영애…,lady fiona heylon...?,lady fiona heylon...?
