hangle,first_translate,second_translate
정말-,he really...,Really...
괜히 북쪽 산맥의 마물들을 지배하는 놈이 아니야.,...isn’t called the ruler of the northern mountains for nothing.,He's not called the ruler of the northern mountains for nothing.
여태 상대한 놈 중 가장 성가셨어…,he’s the most troublesome opponent I’ve ever faced...,He's the most troublesome foe I've ever fought...
죽기 직전만큼 힘들군.,that was as hard as I thought it would be.,That was as hard as being on the verge of death.
시그렌.,siegren.,Siegren.
네 공이 컸다.,you did well.,You played a major role.
마물의 수장 중 하나를 죽인 기분이 어떠냐.,how does it feel to kill one of the leaders of the demons?,How does it feel to have killed one of the leaders of the monsters?
…그냥 그렇습니다.,it’s all right.,…It’s nothing special.
"수도로 돌아가려면, 정식적인 황자로 임명받아야 한다.","in order to return to the capital, I must be officially appointed as a prince.","In order to return to the capital, I must be officially appointed as a prince."
그러기 위해 필요한 건 그럴듯한 공적.,"and for that, I need to have a plausible achievement.","And for that, I need a credible achievement."
그렇기에 죽였을 뿐이다.,that’s the only reason I killed it.,That’s the only reason I killed it.
특별한 성취감이나 만족감은 없어.,I don’t feel any particular sense of accomplishment or satisfaction.,I don’t feel any particular sense of accomplishment or satisfaction.
그렇지만 이제 돌아갈 수 있다.,"but now, I can go back...","But now, I can return."
어머니를 죽인 자들이 있는 고향으로.,...to the place where the people who killed my mother are.,"...to my homeland, where the ones who killed my mother reside."
"그리고,",and...,"And,"
피오나가 있는 곳으로-,...to where fiona is.,...to where Fiona is.
그 녀석이 아직도 수도에 붙어있는지 모르겠군요.,I wonder if she’s still in the capital.,I wonder if she’s still sticking around in the capital.
남의 속도 모르고 관광이나 해야겠다고 종알거렸는데.,she was talking about wanting to go sightseeing without understanding how I felt.,She was babbling about wanting to go sightseeing without considering my feelings.
그건 걱정하지 않아도 괜찮다.,you don’t have to worry about that.,You don't need to worry about that.
내가 불쌍한 제자 녀석을 위해,I prepared the ultimate weapon...,I set up the ultimate weapon for my poor disciple...
저택에 최종 병기를 마련해 놨지.,...at the manor for my poor student.,I’ve prepared the ultimate weapon at the manor for my poor student.
그러면 나는 병사들을 살펴보러 가겠다.,I’ll go check on the soldiers now.,"Then, I will go check on the soldiers."
…뭐야?,what...?,...What?
대체 어떻게 피오나를 붙잡아 놓는다는 걸까.,how does he plan to keep fiona there?,How exactly does he intend to keep Fiona there?
그…,she’s...,That...
바람 같은 녀석을.,...as elusive as the wind.,A guy as elusive as the wind.
시그렌.,siegren.,siegren.
난 너에게 상처 주지 않을 거야.,I’m not going to hurt you.,I won’t hurt you.
그리고 너는 언젠가…,"and one day,","And one day, you will..."
분명 아주 많은 것을 가지게 될 거야.,you’re going to have so many things.,You'll surely have so many things.
그렇게 말해놓고서 떠나버리다니.,how could she leave after saying that?,She said that and then just left...
피오나.,fiona.,fiona.
내가 지금까지 가지고 싶다고 생각한 건,there’s only one thing...,There's only one thing I've ever wanted.
단 하나야.,...I’ve ever wanted.,Just one thing.
그 한 가지를 위해서 아주 많은 것들이 필요하게 되었지만.,and I’ve come to need many things to get that one thing.,"But in order to obtain that one thing, I ended up needing so many other things."
드래곤의 심장이라면,the dragon’s heart...,A dragon’s heart would...
많은 영예를 가져다 주겠지.,...will bring me many honors.,It will bring me great honor.
"기다려,","wait for me,",Wait.
피오나.,fiona.,fiona.
와아…,wow...,Wow...
