hangle,first_translate,second_translate,label
저기다!,over there!,There it is!,over there!
아가씨가 사라진 곳!,that’s where lady fiona disappeared!,this is where the lady disappeared!,that's where her lady fiona disappeared!
이럴 수가…,my goodness...,I can't believe this...,this can't be happening...
역시 거대한 악의가 느껴져요.,I can feel a great evil.,"I can feel a great evil, just as expected.",I can sense a great evil.
바라보기조차 두려울 정도의…!,it’s so terrifying that I can’t even look at it...!,It's so terrifying that even looking at it is frightening...!,I'm afraid to even look at it...!
그래도 피오나를 구할 수 있는 방법은 하나뿐이야.,"still, there’s only one way to save fiona.","Even so, there's only one way to save Fiona.","still, there's only one way to save fiona."
저 어둠을 돌파하겠다.,I will break through the darkness.,I will break through that darkness.,I must go into the darkness.
"전하,","your highness,","your highness,","your highness,"
너무 위험해요!,it’s too dangerous!,This is too dangerous!,that's too dangerous.
"목숨이 아깝지도 않나, 시그렌.","don’t you value your life, siegren?","Don't you care about your life, Siegren?","don't you fear for your life, siegren?"
그런 건 아무래도 상관없어.,I don’t care about that.,I don’t care about that.,I don't care about anything else.
유니스 영애.,lady eunice.,Lady Eunice.,"lady eunice,"
저 어둠에 잠시 틈을 내는 것 정도는 할 수 있겠지?,"you can create a small opening in that darkness, right?","You can at least make a temporary opening in that darkness, right?",do you think you could create an opening in the darkness?
… …아마도요.,maybe...,...Maybe.,I think so...
그거면 됐어!,that’s enough!,That will do!,that's all I need!
"지금이다, 길을 열어!",now! open a path!,Now! Clear a path!,do it now! open the way!
"네, 네!!",y-yes!!,"Yes, yes!!",o-okay!!
집중해서…,I’ll focus...,Focus...,I must focus...
어둠에 틈을 만든다!,...and create an opening in the darkness!,Create an opening in the darkness!,...and create an opening!
보인다!,I can see her!,I can see!,I can see her!
피오나!,fiona!,Fiona!,fiona!
목소리?,a voice?,A voice?,a voice?
누구?,who?,Who?,who could it be?
아가씨!,lady fiona!,My lady!,lady fiona!
눈이 떠지지 않아…,I can’t open my eyes...,I can’t open my eyes...,I can't open my eyes...
어라…,huh...?,Huh...?,what...?
여긴 어디지?,where am I?,Where am I?,where am I?
가슴…?,a chest...?,My chest...?,a chest...?
누구?,who?,Who?,who is this?
어?,huh?,Huh?,huh?
시그렌?,siegren?,Siegren?,siegren?
"이 상황,",this situation...,This situation...,this situation...
이 차림은…,...and this outfit...,...This outfit...,this gown...
설마 사고 친 건가!,did I get into trouble?!,Don't tell me I got into trouble!,did we...?!
꺄약-!,aaah!,Aaah!,aah!
피오나?!,fiona?!,fiona?!,fiona?!
정신이 들어?,are you awake?,are you back to your senses?,are you awake?
들다마다…!,"yeah, I’m awake...!",Of course I am!,how could I not be...?!
어쩌다 이렇게 된 거지?,how did this happen?,how did this happen?,what happened?
분명 어둠에 있던 무언가를 상대하고 있었던 것 같은데.,I was fighting something in the darkness.,I think I was dealing with something in the darkness.,I was clearly facing something in the darkness.
왜 정신을 차리니 옷 벗은 너랑 누워 있는 거야.,why am I lying in bed with you when I wake up?,Why am I lying here with you undressed when I come to my senses?,"when I came to, I found myself lying here next to you half-naked."
죽어서 천국에 왔나? 했네.,I thought I died and went to heaven.,I almost thought I had died and gone to heaven.,I thought I had died and gone to heaven.
너는…!,you...!,You...!,fiona...!
"사람 그렇게 걱정시켜 놓고,",you made me worry so much.,You made everyone worry so much.,how could you say that...
그게 할 말이야…?!,how could you say that...?!,That's what you have to say?!,...after worrying me half to death...?!
…미안.,I’m sorry...,...Sorry.,sorry...
"그런데, 여기는 어디야?",but where are we?,But where is this place?,but where are we?
숲에 친 임시 막사.,an emergency tent in the forest.,A temporary camp set up in the forest.,inside a makeshift shelter in the forest.
본부 쪽은 어둠이 와서 초토화가 되었으니까.,the darkness came and destroyed the base.,The base was completely devastated when the darkness came.,darkness descended upon our base and destroyed it.
"네 몸이 너무 안 좋아서, 당장 영주의 성으로 이동할 수가 없었어.",you were in such bad shape that we couldn’t move you to the lord’s castle.,You were in such bad shape that moving you to the lord’s castle wasn’t an option.,we couldn't take you to a feudal castle because you seemed to be in critical condition.
다른 사람들은 모두 무사하니까 걱정하지 마.,don’t worry. everyone else is safe.,don’t worry. everyone else is safe.,"everyone else is fine, so don't worry."
그렇구나.,I see.,I see.,I see.
"…뭐해, 누워서 더 쉬어.",what are you doing? lie down and rest.,What are you doing? Just lie down and rest.,what are you doing? you should lie back down.
"날 구하기 위해서 다른 사람들이 얼마나 고생했을지,",I want to find out how much trouble everyone went through to save me...,I want to understand how much effort everyone went through to save me...,"I need to see how everyone is after trying to save me,"
내가 어둠 속에서 본 게 뭔지…,...and what I saw in the darkness.,...what exactly I saw in the darkness.,and I need to find out about what I saw in the darkness.
당장이라도 알아보고 다니고 싶어서.,I want to go and find out right now.,I want to go around and find out right away.,I have a lot of questions that need to be answered.
안돼.,no.,No way.,no.
지금은 절대안정이야.,you need to rest right now.,You must remain in complete rest right now.,"right now, you need to get some rest."
