hangle,first_translate,second_translate,label
어쩌면 어렴풋이 알고 있었는지도 모른다.,maybe I already knew.,Maybe I vaguely knew.,perhaps I had always known...
"피오나가 나를 받아준 건,",fiona accepted me...,fiona accepted me because...,...that fiona accepted me...
어렸을 때 봐왔던 정 때문이었단 걸.,...because of the time we spent together when we were young.,...because of the bond we formed when we were young.,...only because of the affection we've shared since childhood.
"나를 잃고 싶지 않아서,",she didn’t want to lose me...,"Because she didn’t want to lose me,","she didn't want to lose me,"
반짝였던 우리의 어린 시절을 소중히 이어 나가고 싶었기 때문이었다는 것을.,...and wanted to continue the precious relationship we had.,...and wanted to cherish and continue our bright and precious childhood.,and she may have wanted to continue cherishing our bright childhood friendship.
지금까지는,I’ve been avoiding thinking about it...,Until now.,"up to now,"
"네 옆에 있고 싶었기 때문에,",...because I wanted to stay by your side.,...because I wanted to be with you.,I tried to avoid thinking about this...
애써 생각을 피해 왔지만,I’ve been avoiding thinking about it...,I’ve been deliberately avoiding thinking about it...,"...because I wanted to stay by your side,"
"내가 네게 부담이라면,",but if I’m a burden to you...,If I’m a burden to you...,"but if you find it too overwhelming to be with me,"
"상처를 준다면,","...and if I’m hurting you,","If I hurt you,","and if it causes you pain,"
"지금이라도,","even if it’s now,","Even now,",it's not too late...
이제라도—,even if it’s late...,Even now—,...to end it now...
헤어지자고… 하는거야?,are you... breaking up with me?,Are you... breaking up with me?,are you... breaking up with me?
…왜?,why...?,…Why?,but why?
이유는 네가 더 잘 알잖아.,you know the reason better than I do.,you know the reason better than I do.,you would know more about that than I do.
그러면 시그렌과 만나는 관계가 부담스러운 건가?,then is being in a relationship with siegren too much for you?,"Then, is being involved with Siegren burdensome for you?",then do you feel like being with him is a bit too much?
그런 편이네….,I think so...,It seems that way...,I guess... you could put it that way.
시그렌이 권터와의 대화를 들었구나.,siegren heard my conversation with gunter.,Siegren overheard the conversation between Gunter and me.,siegren must have overheard my conversation with gunter.
그래서 나한테 헤어지자고 하는 거야.,that’s why he’s breaking up with me.,So you're breaking up with me.,and that's why he's breaking up with me.
"침착하게 생각하면,","if I think about it calmly,","If I think about it calmly,","if I think about this carefully,"
이건 내가 원하던 상황이다.,this is what I wanted.,This is the situation I wanted.,this is exactly the situation I wanted.
"원래의 나는 시그렌을 그저 내가 쓴 소설의 남자주인공으로만 생각했고,","I only thought of siegren as the male protagonist of my novel,","I originally only thought of Siegren as the male protagonist of the novel I wrote,","at first, I thought of siegren as nothing more than the male protagonist of my novel,"
"연인이 된 건 일시적인 것이며,",and I told myself that being his lover was temporary...,Being lovers was only temporary.,and our becoming a couple was only going to be a temporary development.
언젠간 원작대로 돌아갈 것이라고 되뇌고 있었어.,...and that I would return to the original story someday.,...and that I kept telling myself I would return to the original story someday.,"I've been telling myself that things will go back to how the original novel was,"
그러니까 이게 맞는 거잖아.,so this is the right thing.,So this is how it should be.,so this should happen.
내심 정해왔던 끝이 마침내 왔을 뿐.,the ending I had secretly expected has finally come.,The ending I had secretly anticipated has finally come.,our relationship is finally going to end.
…하지만,but...,...but,but...
정말 지금도 시그렌은 내게 원작의 남자 주인공 뿐인 걸까?,...is siegren really just the male protagonist of the original story to me?,Is Siegren really still just the male protagonist of the original story to me?,...is siegren still nothing more than just the male protagonist of my novel?
피오나,fiona.,fiona.,fiona.
"내 존재가 네게 부담이라면,","if my existence is a burden to you,","If my existence is a burden to you,","if being with me is too overwhelming for you,"
그만할게. 전부.,I’ll stop everything.,I'll put an end to everything.,I'll stop everything.
…그렇구나.,I see...,I see...,I see...
내가 시그렌에게 상처를 받은 것처럼,"just like how I was hurt by siegren,","Just like how I was hurt by Siegren, Siegren was also hurt by me.","just as siegren hurt me,"
시그렌도 나에게 상처를 받은 거야.,he was also hurt by me.,Siegren was also hurt by me.,I had hurt siegren too.
이미 정해져 있는 대답을 내가 괜히 물은 걸까.,maybe I shouldn’t have asked when I already knew the answer.,Maybe I was foolish to ask when the answer was already decided.,why am I asking you when I already know the answer?
…그럼.,then...,Alright.,then...
"…안녕,","goodbye,",…Goodbye.,"goodbye,"
피오나.,fiona.,fiona.,fiona.
가지마.,don’t go.,don’t go.,don’t go.
가지마 시그렌.,"don’t go, siegren.","don’t go, Siegren.","don't leave me, siegren."
너를 상처입히려던 건 아니었어.,I didn’t mean to hurt you.,I didn’t mean to hurt you.,I wasn't trying to hurt you.
"나를 걱정해서, 나를 좋아하기 때문에 그런 말을 한 걸 알아.",I know you said that because you were worried about me and because you love me.,I know you said that because you care about me and like me.,"I know you're only saying that because you like me so much, and you’re worried."
하지만 내가 써 내린 세계에 대한 책임이 있으니 네 걱정을 모른 척했어.,but I ignored your worries because I felt responsible for the world I created.,But I ignored your worries because I felt responsible for the world I wrote.,"I ignored your concerns because I’m responsible for the world I created,"
"사실 난 그저. 겁이 난 것뿐일지도 몰라,","honestly, I was just scared.",Maybe... I was just scared.,"but to tell you the truth, I think I was just afraid."
네가 한없이 좋아지는데,"I was falling for you more and more,",I was falling for you endlessly.,"I was hopelessly falling for you,"
"난 언젠가 널 놓아줘야 하고,",but I knew I had to let you go someday.,I knew I would have to let you go someday.,"I have to let go of you at some point,"
너의 행복을 위한 길은 원작대로 돌아가게 만드는 것이라고 생각하고 또 생각했어.,I kept thinking that the only way for you to be happy was to return to the original story.,I kept thinking over and over that the path to your happiness was to return to the original story.,and I kept telling myself that turning things back to the way they were in the novel was for your happiness.
하지만,but...,"However,",but...
"정말,","...really,","Really,",...will I really...
내가 너를 떠나보내도 괜찮은 걸까?,will I be okay if I let you go?,Will it really be okay if I let you go?,...be okay after letting you go like this?
어떻게 괜찮을 수가 있어.,how could I be okay...,how could I be okay...,of course not. how could I be okay?
내가 바라왔던 엔딩이,...when I realized...,The ending I had wished for,I thought that the ending I had wanted...
내게 아무것도 아니지 않았다는 걸 알았는데.,...that the ending I wanted wasn’t meaningless to me?,I realized that the ending I wished for wasn’t nothing to me.,...wouldn’t hurt me so much.
네 옆에 있고 싶어.,I want to stay by your side.,I want to stay by your side.,I want to be with you.
"시그렌, 가지마.","don’t go, siegren.","don’t go, siegren.","siegren, don't go."
헤어지기 싫어.,I don’t want to break up.,I don’t want to part ways.,I don't want us to break up.
왜…,why...?,Why...,why...
나 때문에 울 정도로 고민하지 마.,don’t worry about me so much that you cry.,Don't agonize over me to the point of tears.,"...are you crying over me,"
피오나.,fiona.,fiona.,fiona?
…괜찮을 리가 없잖아.,how could I be okay...?,how could I be okay...?,there's no way I'd be okay...
괜찮지 않아.,I’m not okay.,I'm not okay.,...because it's not okay.
왜 날 붙잡는 거야?,why are you stopping me?,Why are you holding me back?,why are you holding onto me?
네가 부담스러운 게 아니야.,you’re not a burden to me.,It’s not that you’re a burden to me.,because  being with you isn’t overwhelming.
"갈수록 너를 계속 원하는데,","I want you more and more,",I want you more and more.,"I find myself wanting you more and more,"
네가 이 마음을 알면 부담스러워 할 것 같았어.,but I thought you’d be burdened if you knew how I felt.,I thought you might feel burdened if you knew how I felt.,and I thought you'd feel too pressured if you knew how I felt.
…그럴 리 없잖아.,how could I be...?,There's no way.,you know I'd never feel that way about you.
그렇다면,then...,In that case...,"if that's true,"
"…내게,",please...,"...To me,",I want you...
너를 줘.,...give yourself to me.,…be mine.,...to give yourself to me.
"시그렌, 나 겁내지 않을게","siegren, I won’t be scared.","Siegren, I won’t be afraid.","siegren, I'm not going to be afraid anymore."
나랑 계속 같이 있자.,stay with me.,"Stay with me, always.",let's be together.
내 옆에서 너를 행복하게 해줄게.,I’ll make you happy by my side.,I'll make you happy by staying with you.,I'll stay by your side and make you happy.
피오나…,fiona...,fiona...,fiona...
…하하.,haha...,...Haha.,haha...
"웃, 웃는 거야?!",a-are you laughing?!,A-Are you seriously laughing?!,w-what's so funny?!
난 진지하게─,I’m being serious--,I’m being serious--,I'm being seriou--
피오나.,fiona.,Fiona.,"fiona,"
어린 시절 네가 나를 위해 울어줬을 때부터,I’ve liked you...,I’ve liked you since the time you cried for me when we were kids.,"ever since that moment when you cried for me when we were kids,"
그때부터 좋아하고 있어.,...since you cried for me when we were young.,I've liked you since then.,I've had feelings for you.
나도 너를 좋아해,I like you too.,I like you too.,I’ve had feelings for you too.
이제 피하지 않을게,I won’t avoid you anymore.,I won’t avoid you anymore.,I'm going to stop trying to avoid this.
"걱정도 안 시키고, 네 옆에 꼭 붙어있을 거야","I won’t make you worry, and I’ll stay by your side.","I won’t make you worry, and I’ll stick close to you.","I won't make you worry, and I'll stay right by your side."
"나, 앞으로는 질투도 할 거야.",I’m going to get jealous from now on.,"From now on, I’ll be jealous.",I'm even going to get jealous from now on.
상대가 나보다 훨씬 좋은 여자라 해도 순순히 헤어져 주지 않을 거고.,I won’t break up with you even if the other woman is better than me.,"I won’t let you go so easily, even if the other woman is much better than me.",and I'm not going to let you go easily even if I'm up against a much better woman.
전부 마음대로 해.,do whatever you want.,Do as you please.,do anything you want...
난 네 것이야.,"I’m yours,",I’m yours.,...because I'm yours.
피오나.,fiona.,Fiona.,"fiona,"
너는 항상 나를 잘 가지고 있어야 해.,you have to keep me by your side.,You must always hold on to me.,you must always keep me with you.
마음속에서 차오르는 기쁨에 질식할 것 같다.,I feel like I’m suffocating from the overwhelming joy rising inside me.,I feel like I’m suffocating from the overwhelming joy rising inside me.,it feels like I'm about to drown in the happiness that’s rising from within me.
"너, 이제는 못 물러.",you can’t back out now.,you can’t back out now.,you can't take that back now.
바라던 바야.,this is what I wanted.,This is exactly what I wanted.,this is what I've always wanted.
이제는,now...,At this point...,now...
그 무엇도 되돌릴 수 없다.,...there’s no turning back.,There’s no turning back.,...nothing can make things go back.
독자님들의 사랑과 관심으로 <내 남자 주인공의 아내가 되었다> 시즌 2가 무사히 마무리되었습니다. 작가님들의 휴식과 재정비 기간을 가지고 더 아름답고 재밌는 시즌 3으로 찾아뵙겠습니다. 앞으로도 많은 기대와 사랑 부탁드립니다. 감사합니다.,"With the love and support of our readers, season 2 of ""I Became the Wife of the Male Lead"" has come to an end. After a period of rest and reorganization, we will return with a more beautiful and exciting season 3. Please continue to show us your love and support. Thank you.","With the love and support of our readers, season 2 of ""I Became the Wife of the Male Lead"" has come to an end. After a period of rest and reorganization, we will return with a more beautiful and exciting season 3. Please continue to show us your love and support. Thank you.","After our readers have shown our webtoon so much love and interest,  Season 2 of ""Author of My Own Destiny""  has come to an end.  After a period of rest and relaxation for our creators, we will be back with an even more beautiful  and exciting third season.  Please continue to show us your love and support. Thank you."
