hangle,first_translate,second_translate,label
남자친구의 생각 하나에 이렇게 흔들리기엔…,you're too good of a person...,Is it right to be shaken like this by just one thought from my boyfriend...?,it would be a shame to see a girl of your caliber get shaken...
네가 너무 아깝다.,...to be shaken up by what your boyfriend thinks.,You deserve better.,...by what your boyfriend thinks.
권터…,gunter...,gunter...,"gunter,"
"응, 고마워.","yeah, thank you.","Yeah, thanks.",thank you.
…이건 개인적인 궁금증인데.,"this is a personal question,",…This is just a personal curiosity.,"I'm just curious,"
시그렌이랑은 그냥 사귀는 건가?,but are you and siegren just dating?,Are you and Siegren just dating?,but are you and siegren just dating?
약혼이나 결혼 생각은 아직 없는 거고?,have you thought about getting engaged or married?,"You don't have any plans to get engaged or married yet, right?",are you thinking of getting engaged or married yet?
맞아. 아직은…,"yeah, not yet...","Right, not yet...","no, not yet."
그런데 갑자기 그건 왜?,why are you suddenly asking that?,Why do you ask that all of a sudden?,but why do you ask?
…그냥 시그렌과 사이가 애매해 보여서.,it's just that your relationship with siegren seems a bit ambiguous.,it's just that your relationship with Siegren seems a bit ambiguous.,it just seems like your relationship with siegren is a bit vague.
틀어지면 곤란한 사이라 적당히 사귀고 있는 건가?,I was wondering if you were dating him casually because it would be bad if you broke up.,I thought you might be dating him casually because it would be troublesome if things went wrong.,I was thinking maybe you two weren’t seeing each other seriously because...
하는 생각을 했다.,that's what I thought.,that's what I thought.,...it would be a problem if things didn’t work out.
그렇지는 않아.,it's not like that.,it's not like that.,that’s not true...
"그러면,",then...,then...,then...
부담스러운 건가?,...is it burdensome?,Is it burdensome?,...do you feel like being with him is a bit too much?
음…,um...,Um...,um...
시그렌이 부담스럽기보단,it's not that siegren is burdensome.,It's not that Siegren is overwhelming.,I wouldn’t say being with siegren is overwhelming.
차라리 화를 내!,Just get angry instead!,Just get angry instead!,just get mad at me instead!
오히려 시그렌에 대한 내 마음이 좀 그래.,it's more about how I feel about him.,"Rather, it's my feelings for Siegren that are complicated.",it’s just that my feelings for siegren are changing.
날이 갈수록 더더욱,"as time goes by,","More and more as time goes by,","with each passing day,"
시그렌을 갖고 싶다고 생각하는 내 마음이.,I find myself wanting him more and more.,I keep thinking about wanting to have Siegren.,I find myself wanting him more and more.
그러니,"so,","Therefore,",so...
"부담되냐고 묻는다면,","if you ask me if it's burdensome,","If you ask whether it's burdensome,","...when you ask me whether or not being with him is too much,"
그런… 편이네.,I guess it is...,I guess you could say that.,I guess... you could put it that way.
왜 그래?,what's wrong?,what's wrong?,what is it?
"아니,","no,","No,",it’s...
아무것도 아니야…,it's nothing...,It's nothing...,...nothing.
"며칠 뒤, 수도.","a few days later, in the capital","a few days later, in the capital",a few days later at the capital
이번에 큰 공을 세우셨다고 들었어요.,I heard you did a great job.,I heard you made a great contribution.,we heard you made quite an achievement.
그게…,well...,Well...,well...
그…,um...,uh...,uh...
존경스러워요!,you're amazing!,I admire you!,you’re so impressive!
한마디 해주세요.,please say something.,Say a few words.,please tell us about it.
네?,pardon?,Pardon?,what?
아하하…,ahaha...,Ahaha...,ahaha...
"나, 왜 갑자기 이렇게 인기가 폭발하는 거야!!",why is my popularity skyrocketing all of a sudden?!,Why is my popularity skyrocketing all of a sudden?!,why am I suddenly so popular?!
어때요.,what do you think?,How is it?,what do you think?
효과가 좋죠?,"it's effective, right?","It's working well, right?","I’m quite effective, right?"
혹시… 영애가 제가 한 일에 대해서 이야기하셨나요?,did you... tell them about what I did?,"My Lady, did you by any chance talk about what I did?",did you tell everyone about what I did?
피신 왔다.,ran away,Came here to take refuge.,she’s avoiding the crowd.
네.,yes.,Yes.,yes.
도와드리겠다고 했잖아요?,"I told you I would help you, right?","I told you I'd help, didn't I?","I told you I'd help, didn't I?"
갑자기 이런 시선을 받는 것도 부담스러운데요.,it's a bit overwhelming to suddenly receive this kind of attention.,It's a bit overwhelming to suddenly be the center of attention.,it’s quite overwhelming to suddenly be the center of attention.
"익숙해지셔야 해요, 영애.","you'll have to get used to it, my lady.","You'll have to get used to it, my lady.","you have to get used to it, lady fiona,"
앞으론 우리가 이렇게 사교계를 제패할 테니까.,we'll dominate high society.,"From now on, we'll dominate high society.",because this is how we're going to conquer high society from now on.
"잠깐만, 스케일이 갑자기 커졌는데요?","wait, this is getting too big.","Wait a second, the scale suddenly got bigger!","hang on, when did things take on such a big scale?"
기왕 태어난 거 꿈은 크게 가져야죠.,"since we're born anyway, we might as well dream big.","Since we're born anyway, we might as well dream big.","if we're going to dream, we should dream big."
피오나 영애.,lady fiona.,Lady Fiona.,lady fiona.
같이 춤출 수 있을까.,may I have this dance?,Would you dance with me?,may I have this dance?
"틀어지면 곤란한 사이라,",I was wondering if you were dating him casually...,Because it would be troublesome if things went wrong...,"is it true that we’re worried about what would happen if we break up,"
적당히 사귀고 있는 건가?,...because it would be bad if you broke up.,Are you just dating casually?,so we’re not dating seriously?
"아니면,",or...,Or is it burdensome?,or...
부담스러운 건가?,...is it burdensome?,Is it a burden?,...is it just too overwhelming?
…피오나.,fiona...,...Fiona.,"fiona,"
몸은 어때?,how are you feeling?,How's your body?,how are you feeling?
