hangle,first_translate,second_translate,label
북부 최전방 헤일론,"heylon, the northernmost region","Heylon, the northern frontline",heylonthe northern frontlines
여기가 헤일론 공작 성….,so this is the heylon estate...,so this is the duke of heylon's castle...,this must be duke heylon’s castle.
엄청난 위압감이야…,it’s so intimidating...,It’s incredibly intimidating...,what an incredibly strong presence...
나는 결국 가족에게 떠밀려 무자비한 공작이 다스린다는 북부 최전방에 왔다.,"in the end, my family sent me to the northernmost region, which is ruled by the ruthless duke heylon.","In the end, my family pushed me to the northernmost frontline, ruled by the ruthless Duke Heylon.","after being  pushed out by my  family, I finally arrived  at the northern front, which was ruled by  the ruthless duke  heylon."
딱 봐도 마왕성 같은 게 사람 엄청 굴릴 것 같다.,"just looking at this place, I can tell they’re going to work me to death.",This place looks just like a demon king’s castle… They must work people to the bone here.,this place  feels more like  the castle of an evil overlord.
내 무덤을 내가 팠지...,I brought this upon myself...,I brought this upon myself...,"ugh,  I think I dug my own grave."
이쪽으로.,this way.,This way.,this way.
문을 열어라.,open the doors.,Open the door.,open  the doors.
"문이, 엄청 커…!!",the doors are so big...!!,The door is huge...!!,they’re  so huge...!
"북부의 공작, 아벨 헤일론","duke of the north, abel heylon","duke of the north, abel heylon","abel heylon,  the duke of the north"
너 나름대로는 각오했겠지. 하지만…,"you must have prepared yourself for this, but...","You must have braced yourself in your own way, but...","I’m sure it  took courage to come here,"
너 같은 어린애는 여기에 필요 없다.,...we don’t need a child like you here.,A kid like you is not needed here.,but we don’t need children like you.
집으로 돌아가도록.,go back home.,Go back home.,go back  home.
쓸모없는 자에게 투자할 시간은 없다 이건가.,he’s saying he doesn’t have time to waste on someone useless.,"So he means he has no time to invest in someone useless, huh.",is he saying  that I’m a waste of time?
"아벨은 모르겠지만, 지금의 나는 마땅히 돌아갈 곳도 없어.","abel doesn’t know this, but I don’t have a home to go back to.","I don’t know if abel knows, but right now, I have nowhere to return to.","I’m sure abel doesn’t know this, but there’s nowhere for me to go  back to."
"원작 속의, 자신의 마법적 재능을 모르던 피오나는-","in the original story, fiona didn’t know about her magic powers.","In the original story, Fiona was unaware of her magical talent.","in the novel,  fiona wasn’t aware of her talent for magic…"
이렇게 그린 가문에서도 헤일론에서도 쫓겨난다.,she was kicked out of both the green and heylon families.,She was kicked out of both the Green and Heylon.,…and was cast  out of both house green and house heylon.
그리고 이때 세상에 버림받은 상처가,the pain of being abandoned by the world...,The wound of being abandoned by the world at this moment...,the pain of  being abandoned  by everyone in the world was…
후에 피오나가 악역이 되는 결정적인 계기가 된다.,...was what ultimately turned fiona into a villain.,This became the decisive factor that turned Fiona into a villain.,…what later sent her down the dark path of villainy.
하지만 지금의 나는 알고 있어.,but I know about my powers now.,"But now, I know.","but unlike  the original fiona,"
