hangle,first_translate,second_translate,label
대피하라!,evacuate!,Evacuate!,run!
어둠에 절대 닿으면 안된다!,don’t let the darkness touch you!,You must never touch the darkness!,you mustn't come in contact with the darkness!
성녀님은 어디 계시지?!,where is the saint?,Where is the Saint?,where's her holiness?!
오셨다!,she’s here!,She's here!,she's here!
성녀님이 돌아오셨다!,the saint has returned!,The Saint has returned!,her holiness is back!
"자, 영애.","my lady,",My lady.,"all right, eunice."
여기서부터는 기사를 따라 대피하세요.,please follow the knights and evacuate.,Please follow the knight and evacuate.,you must follow the guards from here and evacuate.
"기사들, 성녀님을 확실히 호위하도록 해!","knights, make sure to protect the saint!","Knights, ensure the saint's safe escort!","men, make sure to protect her holiness at all costs!"
알겠습니다!,"yes, sir!",Understood!,we will!
그럼 저는 이만…,then I’ll be on my way--,"Then, I’ll take my leave…","take care, then..."
잠깐만요!,wait!,Wait a moment!,wait!
"영애, 어둠이 다가오는 쪽으로 돌아갈 생각이신가요?","my lady, are you going back toward the darkness?","My lady, are you thinking of going back toward the darkness?","lady fiona, are you thinking of going toward the darkness?"
본부에 아직 남아 있는 사람이 있을지도 모르니까요.,there may still be people left at the base.,There may still be people left at the headquarters.,there may be some people left at the base.
곧 돌아올 테니 걱정 마시고…,"I’ll be back soon, so don’t worry--","I’ll be back soon, so don’t worry.","I'll be right back, so don't worry..."
무언가가 영애를 죽이려고 해요!,something is trying to kill you!,"Something is trying to kill you, my lady!","something is trying to kill you, lady fiona!"
…네?,what?,…Huh?,sorry...?
저에겐 무언가가 느껴져요.,I can feel it.,I can feel something.,I can feel it.
"무언가,",something…,"Something,",something...
어둠 속에 있어요…,…is in the darkness…,Something is in the darkness…,...is in the darkness.
피오나 헤일론 님!,lady fiona heylon!,fiona heylon!,lady fiona heylon!
도와주세요!,help!,Help me!,help us!
동료가 본부 안에 고립되어 있어요!,my partner is trapped inside the base!,A comrade is trapped inside the headquarters!,my colleague is stuck inside the base!
"미안해요, 유니스.","I’m sorry, eunice.","I'm sorry, Eunice.","I'm sorry, eunice."
이야기는 나중에 해요!,I’ll explain later!,We’ll talk later!,we'll talk later!
…아!,oh!,...Ah!,ah!
피오나 영애!,lady fiona!,lady fiona!,lady fiona!
"덕분에 살았습니다, 마법사님!","thank you for saving me, magician!","I owe you my life, magician!","thank you so much for saving my life, my lady!"
어둠과 마수가 몰려와서 꼼짝없이 죽는 줄로만 알았어요!,I thought I was going to die when the darkness and demons came!,I thought I was doomed when the darkness and monsters swarmed in!,I thought I was going to die with all those beasts rushing toward me with the darkness!
감사 인사라면 권터에게 해주세요!,please thank gunter!,"If you're going to thank someone, thank Gunter!",you can thank gunter for that!
이 위험한 곳에도 따라와 줬잖아요.,he followed me to this dangerous place.,He even came along to this dangerous place.,he's the one that came along and did all the work.
"그보다, 정말 이제 남은 사람은 없는 거죠?","by the way, are you sure there’s no one left?","More importantly, are you sure there's no one left?","more importantly, is there no one left?"
네! 제가 마지막이에요!,yes! I’m the last one!,Yes! I’m the last one!,yes! I was the last one!
다행이다.,that’s a relief.,That's a relief.,what a relief.
이제 돌아가기만 하면…,now we just have to go back--,Now we just have to go back…,now we just need to get back...
"이런,","oh no,","Oh no,",oh dear.
몬스터가!,a monster!,Monster!,it's a demonic monster!
아가씨!,my lady!,My lady!,fiona!
"빠르게 달려, 권터!","run fast, gunter!","Run quickly, Gunter!","ride faster, gunter!"
규모가 큰 마법을 쓸 거야!,I’m going to use a large-scale spell!,I'm going to use a large-scale spell!,I'm going to use some powerful magic!
괜찮나?,are you all right?,Are you all right?,are you all right?
마법사님!!,magician!,Mage!,lady fiona!!
이 정도야 뭐.,this is nothing.,This is nothing.,this is nothing.
위험하니까 어서 출발해요!,"it’s dangerous, so let’s go!","It’s dangerous, so hurry and go!","it's dangerous here, so we should get moving!"
아가씨!,my lady!,My lady!,fiona!
뒤!!,behind you!,Behind you!,behind you!!
말도 안 돼.,no way.,That’s impossible.,it can't be.
이렇게 빠르게 다가왔다고?,it came this close already?,It got this close so quickly?,how could it be this fast?
이런 어둠은 처음 봐…,I’ve never seen darkness like this before…,I've never seen darkness like this before...,I've never seen the darkness like this before...
피오나 헤일론!,fiona heylon!,fiona heylon!,fiona heylon!
마법사님!,magician!,Mage!,lady fiona!
숨을 쉴 수가 없어…,I can’t breathe…,I can't breathe...,I can't breathe...
심장을 바위가 짓누르는 것 같아.,it feels like a boulder is crushing my heart.,It feels like a boulder is crushing my heart.,it feels like my heart is being crushed by a boulder.
머리가 너무 아파.,my head hurts so much.,My head hurts so much.,I have a splitting headache.
어떡하지.,what do I do?,What should I do?,what do I do?
정신을 놓을 것 같아…,I’m going to pass out…,I feel like I'm losing consciousness…,I think I'm about to black out...
거기에 있는 거야?,are you there?,Is something there?,are you in there?
뭐?,what?,What?,what?
있는 거지?,"you’re there, right?","You're there, aren't you?",are you there?
확인해도 돼?,can I check?,Can I check?,can I check?
이건 뭐지?,what is this?,What is this?,what is going on?
만져봐도 돼?,can I touch it?,Can I touch it?,can I touch you?
사람?,a person?,A person?,is someone there?
이게 유니스가 말했던 ‘무언가’?,is this the “something” eunice was talking about?,"Is this the ""something"" Eunice was talking about?",is this the “something” that eunice was talking about?
"아, 안돼.",no…,"Oh, no.",n-no.
숨이…,I can’t breathe…,Breath...,my breathing...
"전하, 위험하오니 안쪽에서 기다리시지요?","your highness, it’s dangerous. please wait inside.","Your Highness, it is dangerous. Please wait inside.","your highness, it's dangerous there. please wait for her over here."
잠깐 다녀오겠다.,I’ll be right back.,I’ll be right back.,I'll be right back.
예? 어딜…,what? where are you going…?,Huh? Where are you going…?,"what, your highness? where are you...?"
피오나를 찾으러!!!,I’m going to find fiona!!!,I'm going to find Fiona!!!,I'm going to find fiona!!!
