hangle,first_translate,idiom_translate,label,idiom
마시자!,cheers!,let’s drink!,let’s drink!,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
황태자 때문에 너무 짜증 나서 기분 전환을 꼭 해야겠어!!,I’m so pissed at the crown prince! I need to blow off some steam!!,I’m so annoyed because of the crown prince! I need to change my mood!!,I need something  to get my mind off of that dreadful crown prince earlier!!,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
달다.,so sweet.,this is sweet.,it’s sweet.,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
"피오나, 있어?","fiona, are you in there?","fiona, are you there?","fiona,  are you there?","목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
…술 냄새.,I smell alcohol...,I smell alcohol.,it reeks  of liquor in here.,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
술 마셨어?,have you been drinking?,did you drink?,have you been drinking?,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
이제 막 목만 축인 수준이야.,I just had a sip.,I just wet my throat.,I was  just getting started.,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
본판은 지금부터 시작이라구!,I’m just getting started!,the real drinking starts now!,the real fun begins now!,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
"들어와, 오랜만에 같이 마시자.",come in. let’s have a drink together.,come in. let’s drink together. it’s been a while.,"come on, we haven’t drank together in  a while.","목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
이 녀석…,this girl...,this girl...,this girl…,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
1. 혼자 방에서,1. she’s drinking...,"1. she was drinking alone in her room,",1. she’s all alone in her room.,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
2. 술을 마시면서,"...alone in her room,","1. she was drinking alone in her room,",2. she’s been drinking.,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
3. 아무렇지도 않게 같이 마시자고 방에 들이다니,and she’s inviting me to join her...,3. and she asked me to join her without any hesitation.,3. she dragged  me into her room for a drink like it’s nothing.,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
대체 어디까지 무방비할 셈이야?,how defenseless can she be?,how defenseless is she going to be?,how can she  let herself be so vulnerable?,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
너는…,you...,you...,fiona…,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
뭐 할 말 있어?,what is it?,do you have something to say?,do you have something to say?,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
아무것도 아니야…,it’s nothing...,it’s nothing...,it’s nothing…,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
아무것도 아니긴.,"yeah, right.","it’s nothing, my ass.",I don’t think it’s nothing.,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
타이가 왜 이래?,what happened to your tie?,what’s wrong with your tie?,what happened to your tie?,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
멱살 잡고 싸움이라도 했어?,did you get into a fight or something?,did you get into a fight?,did you get  into a fight  and someone grabbed you by the collar?,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
비슷해.,something like that.,something like that.,something like that.,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
사교계 데뷔 첫날부터 멱살잡이라니!,he got into a fight on his first day in high society?!,he got into a fight on the first day of his debut in high society?,he’s already antagonizing people on the day he enters high society?!,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
얘가 그럴 애가 아닌데…,he’s not the type to do that...,he’s not the type to do that...,that’s so unlike him...,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
"아니, 맞나?",or is he?,or is he?,or is it?,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
"누, 누구랑?",w-who did you fight with?,w-who did you fight with?,w-with who?,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
별거 아냐.,it’s nothing.,it’s nothing.,don’t worry about it.,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
…피오나.,fiona...,fiona...,fiona?,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
응?,yeah?,yeah?,yeah?,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
"어두워서 잘 안 보여서 그런데,",I can’t see it very well because it’s dark.,"it’s too dark, so I can’t see.","it’s a bit dark for me to see,","목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
미안하지만 네가 좀 풀어 줘.,"I’m sorry, but can you untie it for me?","I’m sorry, but can you untie it for me?",so I’ll  need your help undoing this.,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
시그렌은 어릴 적부터 목에 뭔가 닿는 것 자체를 싫어했지.,siegren has always hated having anything around his neck.,siegren hated having anything around his neck since he was young.,"ever since  siegren was a child, he disliked the feeling of having something close to his neck.","목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
알겠어.,sure.,sure.,okay.,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
이 정도야 뭐…,this is nothing...,this is nothing...,that’s nothing…,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
어라?,huh?,huh?,huh?,"목만 축인 수준이야 : Just wet my throat
멱살 잡고 싸움 : Grabbed each other by the collar and fought
남의 속도 모르고 : Without knowing how I feel
뿌리를 내리지 못한 채 떠도는 : Drifting without putting down roots"
