원문,첫 번 째 후보군,두 번 째 후보군,bleu 기준 라벨
"그런데,","by the way,","By the way,",3
차라리 어둠의 존재 자체를 없앨 방법은 없는 건가요?,is there a way to get rid of the darkness itself?,Is there a way to erase the very existence of darkness instead?,1
"오, 클로비스 후작님과 똑같은 말씀을 하시는군요.","oh, you sound just like marquess clovis.","Oh, you sound just like Marquess Clovis.",3
후작님을 아시나요?,do you know him?,Do you know the marquis?,2
언덕이 가파르네요.,this hill is steep.,This hill is steep.,3
그럼요.,of course.,Of course.,3
아카데미에 가장 많은 연구비를 후원해 주시는 분이죠.,he’s the one who funds the most research at the academy.,He’s the one who provides the most research funding at the academy.,1
연구의 중요성을 알아주시는 분이에요.,he’s someone who understands the importance of research.,He is someone who recognizes the importance of research.,1
저희 입장에선 참 감사하죠.,we’re very grateful to him.,We’re very grateful.,1
"그리고,",and...,And...,3
"그 부분을 제외하고서도, 정말 멋지시고요~","...even without that, he’s a very wonderful person.","Even aside from that, he’s truly admirable~",1
네에…,yes...,Yeah...,1
이미지 좋네.,he has a good reputation.,He has a good image.,2
그나저나,"anyway,","Anyway,",3
"꾸준히 독자적인 노력을 하고 있었다니,",I didn’t know he was making his own efforts.,To think he had been making steady efforts on his own.,2
역시 아렌트는 의심스럽긴 해도 대단한 인물이긴 해.,"arendt is a suspicious man, but he’s still an impressive one.","Arendt may be suspicious, but he is undeniably a remarkable figure.",1
"사실은,","actually,","Actually,",3
저희도 어둠을 없애는 걸 목표로 연구를 진행 중 입니다만…,"we’re also conducting research to get rid of the darkness,",We’re also conducting research with the goal of eliminating the darkness…,1
좀처럼 큰 소득이 없어요.,but we haven’t made much progress.,But we haven’t made much progress.,3
"마력과 어둠, 성녀님이 지니신 신성력이","we did find out that magic, darkness, and the saint’s divine powers...","We did find out that magic, darkness, and the divine power possessed by the saint...",2
전부 유기적인 관계가 있다는 걸 알아내기는 했지만요.,...are all related to each other.,We've discovered that they are all organically connected.,1
신성력은 마력과 완전히 상반되는 힘이에요.,"divine power is the opposite of magic,",Divine power is completely opposite to magic.,2
그리고 마력은 근본적으로 어둠과 유사한 성질.,and magic is similar to darkness.,"And fundamentally, magic has properties similar to darkness.",2
또한 마력과 마력석은 서로 상호작용을 하죠.,magic and magic stones also interact with each other.,magic and magic stones also interact with each other.,3
그러니 그쪽을 연구하면 뭔가 답이 나올지도 몰라요.,"so if you research that, you might find an answer.","So if you research that, you might find an answer.",3
…잘 알고 계시네요.,you know a lot.,…You are quite knowledgeable.,2
관심 분야가 비슷한 분을 만나게 되어 기뻐요.,I’m glad to meet someone with similar interests.,I'm glad to meet someone with a similar field of interest.,1
제인이라 합니다. 편하게 이름으로 불러주세요.,my name is jane. please call me by my name.,My name is Jane. Please feel free to call me Jane.,2
피오나 헤일론이에요.,I’m fiona heylon.,I'm Fiona Heylon.,2
헤일론은 마물의 습격이 잦아 자연히 이쪽에 관심이 생겼답니다. 잘 부탁드려요.,"we’re often attacked by demons in heylon, so I naturally became interested in this field. it’s nice to meet you.","Heylon is frequently attacked by monsters, so I naturally took an interest in this field. I look forward to working with you.",1
"헤일론 영애, 이걸 안 물을 수가 없는데요.","lady fiona, I have to ask you this.","Lady Heylon, I can't not ask this.",1
영애께서는 어둠이 최근에 활발해진 이유가 뭐라고 생각하시나요?,why do you think the darkness has become more active recently?,"My lady, why do you think the darkness has become more active recently?",1
음,um...,Hmm...,1
