hangle,first_translate,idiom_translate,label,idiom
각하가 굳이 여기까지 온 이유라면….,if you’re wondering why his lordship came all the way here...,"if you’re wondering why his lordship came all the way here,","as to why his grace came all the way here,","성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
그야 당연히 피오나 아가씨를 걱정해서죠.,"it’s because he was worried about you, miss fiona.",it’s because he was worried about you.,"it’s because he was worried about you, lady fiona.","성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
걱정이요?,worried?,worried?,he was worried about me?,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
그걸 믿을 바에는 차라리 내일 세계가 멸망한다는 말을 신뢰하겠어요.,I’d rather believe that the world is going to end tomorrow than believe that.,I’d rather believe that the world is going to end tomorrow than believe that.,I’d sooner  believe that the world is coming to an end tomorrow.,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
뭐…. 각하께서 워낙에 성격이 배배 꼬인 분이니까요.,well... his lordship does have a very twisted personality.,well... his lordship does have a twisted personality.,"well,  his grace can be a little... twisted.","성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
그러니까요. 솔직히 성격도 좋은 편은 아니잖아요.,exactly. he’s not a nice person.,exactly. he’s not a nice person.,"he’s not a saint, that’s for sure.","성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
매우 나쁘죠. 표현하는 방법은 더더욱 꼬였고요.,he’s not. and he’s even worse at expressing himself.,he’s not. and he’s even worse at expressing himself.,"yes, and he can be quite brutal at times.","성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
그래서 여러모로 알기 힘들겠지만….,"I know it’s hard to understand him,","so it’s hard to understand him,","he may be hard to figure out,","성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
이번에는 진짜로 아가씨를 걱정해서 온 게 맞습니다.,but he really did come here because he was worried about you.,but he really did come here because he was worried about you.,but it’s true  that he came because he was concerned about you.,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
애초에 피오나 아가씨에게 집행까지 시킬 생각이 없었을걸요?,I don’t think he ever intended for you to carry out the execution.,I don’t think he ever intended for you to carry out the execution.,I don’t think  he wanted you to execute the order to begin with.,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
진짜요? 그냥 감시하러 온 게 아니라요?,really? he didn’t just come to keep an eye on me?,really? he didn’t come here to keep an eye on me?,really?  so he didn’t just come to see if I was doing a good job?,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
각하는 감시가 필요한 사람에게는 애초부터 일을 맡기지 않는답니다.,his lordship doesn’t give work to people he needs to keep an eye on.,his lordship doesn’t give work to people he needs to keep an eye on.,his grace wouldn’t  have entrusted such a task to someone he thought was incompetent.,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
"어쨌든,","anyway,","anyway,","in any case,","성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
피오나 아가씨는 좀 더 자신감을 가지셔도 괜찮습니다.,"I think you can have a little more confidence in yourself, miss fiona.","you can be more confident, miss fiona.","I think it’s okay  for you to be a little more confident,  lady fiona.","성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
…각하께서 정확히 무슨 생각이신지는 잘 모르겠지만요.,though I don’t know exactly what his lordship is thinking.,although I don’t know exactly what his lordship is thinking.,"I don’t know exactly what his grace is planning,","성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
"…뭐, 곧 알게 되겠죠.","well, I guess we’ll find out soon enough.","well, I guess we’ll find out soon enough.",but I’m sure we’ll find out soon enough.,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
"전 따뜻한 마실 거라도 사 올 테니,","I’ll go get us something warm to drink,","I’ll go buy some warm drinks,",I’ll go get  us some warm drinks.,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
마저 만들고 있으세요.,so keep working on the snowman.,so keep working on the snowman.,stay here  and finish building your snowman!,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
…네.,okay...,okay.,okay…,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
걱정…….,worried...,worried...,so he was worried…,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
으음…. 지금 깊이 생각해봤자야.,hmm... I shouldn’t think too much about it right now.,hmm... I shouldn’t think too hard about it.,"well, there’s no point in thinking about it too much.","성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
시그렌이랑 놀기나 해야지.,I should just focus on playing with siegren.,I should just play with siegren.,I guess I’ll just continue playing with siegren.,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
"시그렌,","siegren,","siegren,","siegren,","성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
머리랑 몸통이랑 합치고 싶은데 도와줄래?,I want to put the head on the body. can you help me?,I want to put the head on the body. can you help me?,I want to put  the head on the body. will you help me?,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
…그래.,sure...,sure.,sure.,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
됐지.,there.,there.,there.,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
고마워.,thanks.,thanks.,thank you.,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
매끈매끈하게 만들어줘야지~,now I’ll make it nice and smooth.,let’s make it nice and smooth!,let’s make  it nice and smooth.,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
피오나.,fiona.,fiona.,"fiona,","성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
넌 앞으로 어떻게 할 거야?,what are you going to do from now on?,what are you going to do from now on?,what are you going to do from here on out?,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
글쎄. 당분간은 지금처럼 살겠지?,I don’t know. I guess I’ll keep living like this for now.,I don’t know. I guess I’ll keep living like this for now.,I don’t know.  I’ll probably continue living like I am right now.,"성격이 배배 꼬인 : twisted personality
내가 미쳤지 : I must have been crazy
추위와 사투를 벌이다 : battling against the cold"
