hangle,first_translate,idiom_translate,label,idiom
외로웠다.,I was lonely.,I was lonely.,I was lonely.,"벌레만도 못한 목숨 : A life not even worth that of a bug
기어코 일은 터졌다 : In the end, things went wrong
인간 방패라도 되라고 : At least be a human shield
한가지 억울한 점이 있다면 : If there's one thing that feels unfair
어딘가에 빛이 있을 거라고 : There must be light somewhere
내가 누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My wretched life"
누군가 날 필요로 해주면 좋겠다고 생각했다.,I wished someone would need me.,I wished someone would need me.,I thought it  would be nice if there was at least someone in this world who  needed me.,"벌레만도 못한 목숨 : A life not even worth that of a bug
기어코 일은 터졌다 : In the end, things went wrong
인간 방패라도 되라고 : At least be a human shield
한가지 억울한 점이 있다면 : If there's one thing that feels unfair
어딘가에 빛이 있을 거라고 : There must be light somewhere
내가 누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My wretched life"
이 벌레만도 못한 목숨이라도 의미가 있을까?,would even a worthless life like mine have any meaning?,"could this life, not even worth that of a bug, have any meaning?",what  meaning does  this wretched  life of mine  have?,"벌레만도 못한 목숨 : A life not even worth that of a bug
기어코 일은 터졌다 : In the end, things went wrong
인간 방패라도 되라고 : At least be a human shield
한가지 억울한 점이 있다면 : If there's one thing that feels unfair
어딘가에 빛이 있을 거라고 : There must be light somewhere
내가 누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My wretched life"
"시간이 지나고, 용병단은 헤일론 영지의 방어를 맡게 되었다.","as time passed, the mercenary troop was put in charge of defending the lands of the barony of heylon.","as time passed, the mercenary troop was assigned to defend the territory of lord haylon.","after some  time, the karl mercenaries were hired to protect heylon.","벌레만도 못한 목숨 : A life not even worth that of a bug
기어코 일은 터졌다 : In the end, things went wrong
인간 방패라도 되라고 : At least be a human shield
한가지 억울한 점이 있다면 : If there's one thing that feels unfair
어딘가에 빛이 있을 거라고 : There must be light somewhere
내가 누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My wretched life"
"마물과의 싸움은 위험했지만, 돈이 됐다.","fighting monsters was dangerous, but it paid well.","fighting monsters was dangerous, but it paid well.","fighting demonic monsters was a dangerous task, but it paid well.","벌레만도 못한 목숨 : A life not even worth that of a bug
기어코 일은 터졌다 : In the end, things went wrong
인간 방패라도 되라고 : At least be a human shield
한가지 억울한 점이 있다면 : If there's one thing that feels unfair
어딘가에 빛이 있을 거라고 : There must be light somewhere
내가 누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My wretched life"
"나는 제대로 된 무기도 받지 못하고,","I wasn’t given a proper weapon,","I was never given a proper weapon,","I wasn’t even given a proper weapon,","벌레만도 못한 목숨 : A life not even worth that of a bug
기어코 일은 터졌다 : In the end, things went wrong
인간 방패라도 되라고 : At least be a human shield
한가지 억울한 점이 있다면 : If there's one thing that feels unfair
어딘가에 빛이 있을 거라고 : There must be light somewhere
내가 누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My wretched life"
전장에서 주운 누군가의 검으로 버텼다.,so I had to make do with a sword I found on the battlefield.,so I had to make do with a sword I found on the battlefield.,so I had  improvise  with someone else’s sword that  I picked up on the battlefield.,"벌레만도 못한 목숨 : A life not even worth that of a bug
기어코 일은 터졌다 : In the end, things went wrong
인간 방패라도 되라고 : At least be a human shield
한가지 억울한 점이 있다면 : If there's one thing that feels unfair
어딘가에 빛이 있을 거라고 : There must be light somewhere
내가 누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My wretched life"
끝도 없는 고단한 싸움의 좋은 점이 있다면,"if there was one good thing about the endless, grueling battles,","if there was one good thing about the endless, grueling battles,",the one  good thing  about being on the battlefield was…,"벌레만도 못한 목숨 : A life not even worth that of a bug
기어코 일은 터졌다 : In the end, things went wrong
인간 방패라도 되라고 : At least be a human shield
한가지 억울한 점이 있다면 : If there's one thing that feels unfair
어딘가에 빛이 있을 거라고 : There must be light somewhere
내가 누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My wretched life"
생사를 넘는 전투로 강해졌다는 것일까.,it was that I became stronger after fighting for my life.,it was that I became stronger by fighting for my life.,…that fighting for my life made me that much stronger.,"벌레만도 못한 목숨 : A life not even worth that of a bug
기어코 일은 터졌다 : In the end, things went wrong
인간 방패라도 되라고 : At least be a human shield
한가지 억울한 점이 있다면 : If there's one thing that feels unfair
어딘가에 빛이 있을 거라고 : There must be light somewhere
내가 누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My wretched life"
살아남았다.,I survived.,I survived.,I’m alive.,"벌레만도 못한 목숨 : A life not even worth that of a bug
기어코 일은 터졌다 : In the end, things went wrong
인간 방패라도 되라고 : At least be a human shield
한가지 억울한 점이 있다면 : If there's one thing that feels unfair
어딘가에 빛이 있을 거라고 : There must be light somewhere
내가 누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My wretched life"
