hangle,first_translate,idiom_translate,label,idiom
어때?,how do I look?,how do I look?,what do you think?,"분위기 깨는 데 뭐 있다 : You're really good at ruining the mood
눈 감아 주다 : Turn a blind eye
비위 맞추다 : Cater to someone's tastes
빙빙 돌려 말하다 : Beat around the bush"
어색하진 않아?,do I look awkward?,do I look awkward?,does it look... strange?,"분위기 깨는 데 뭐 있다 : You're really good at ruining the mood
눈 감아 주다 : Turn a blind eye
비위 맞추다 : Cater to someone's tastes
빙빙 돌려 말하다 : Beat around the bush"
어색하지 않아.,"no, you look fine.","no, you look fine.","no, it doesn't.","분위기 깨는 데 뭐 있다 : You're really good at ruining the mood
눈 감아 주다 : Turn a blind eye
비위 맞추다 : Cater to someone's tastes
빙빙 돌려 말하다 : Beat around the bush"
오! 그래!,"oh, yeah!","oh, that’s right!","oh, that's right!","분위기 깨는 데 뭐 있다 : You're really good at ruining the mood
눈 감아 주다 : Turn a blind eye
비위 맞추다 : Cater to someone's tastes
빙빙 돌려 말하다 : Beat around the bush"
그렇게 얼굴을 잘 감춰 둬.,keep your face covered like that.,keep your face covered like that.,you should keep your face hidden like that.,"분위기 깨는 데 뭐 있다 : You're really good at ruining the mood
눈 감아 주다 : Turn a blind eye
비위 맞추다 : Cater to someone's tastes
빙빙 돌려 말하다 : Beat around the bush"
내 머리색 보다 네 외모가 더 눈에 띌 테니까.,your face will stand out more than my hair color.,your face will stand out more than my hair.,your face stands out far more than the color of your hair.,"분위기 깨는 데 뭐 있다 : You're really good at ruining the mood
눈 감아 주다 : Turn a blind eye
비위 맞추다 : Cater to someone's tastes
빙빙 돌려 말하다 : Beat around the bush"
…너 정말 분위기 깨는 데 뭐 있다…,you really know how to ruin the mood...,you’re really good at ruining the mood...,you really have a way of spoiling the mood...,"분위기 깨는 데 뭐 있다 : You're really good at ruining the mood
눈 감아 주다 : Turn a blind eye
비위 맞추다 : Cater to someone's tastes
빙빙 돌려 말하다 : Beat around the bush"
호오.,huh.,huh.,whoa.,"분위기 깨는 데 뭐 있다 : You're really good at ruining the mood
눈 감아 주다 : Turn a blind eye
비위 맞추다 : Cater to someone's tastes
빙빙 돌려 말하다 : Beat around the bush"
생각보다 멀쩡해보이는 저택인데?,this place looks better than I thought.,this place looks better than I thought.,the manor looks a lot more intact than I expected.,"분위기 깨는 데 뭐 있다 : You're really good at ruining the mood
눈 감아 주다 : Turn a blind eye
비위 맞추다 : Cater to someone's tastes
빙빙 돌려 말하다 : Beat around the bush"
마물은 어떻게 관리하는 걸까.,I wonder how they’re managing the demons.,I wonder how they manage the monsters.,I wonder where they're keeping the beasts.,"분위기 깨는 데 뭐 있다 : You're really good at ruining the mood
눈 감아 주다 : Turn a blind eye
비위 맞추다 : Cater to someone's tastes
빙빙 돌려 말하다 : Beat around the bush"
글쎄.,I’m not sure.,I’m not sure.,good question.,"분위기 깨는 데 뭐 있다 : You're really good at ruining the mood
눈 감아 주다 : Turn a blind eye
비위 맞추다 : Cater to someone's tastes
빙빙 돌려 말하다 : Beat around the bush"
"좋아, 일어서!","all right, get up!","good, get up!","all right, get up!","분위기 깨는 데 뭐 있다 : You're really good at ruining the mood
눈 감아 주다 : Turn a blind eye
비위 맞추다 : Cater to someone's tastes
빙빙 돌려 말하다 : Beat around the bush"
"어이, 더 세게 때려!","hey, hit it harder!","hey, hit it harder!","hey, hit him harder!","분위기 깨는 데 뭐 있다 : You're really good at ruining the mood
눈 감아 주다 : Turn a blind eye
비위 맞추다 : Cater to someone's tastes
빙빙 돌려 말하다 : Beat around the bush"
"움직여,","move,","move,",move!,"분위기 깨는 데 뭐 있다 : You're really good at ruining the mood
눈 감아 주다 : Turn a blind eye
비위 맞추다 : Cater to someone's tastes
빙빙 돌려 말하다 : Beat around the bush"
