hangle,first_translate,idiom_translate,label,idiom
황태자가 불법 투기장에서 잡혔다는 소식은 순식간에 퍼져나갔다.,the news of the crown prince being caught in an illegal arena spread quickly.,the news of the crown prince being caught at an illegal gambling arena spread quickly.,rumors about the crown prince getting arrested at the illegal fighting ring spread like wildfire.,"길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
"사교계 어디에서나 황태자의 추문을 소곤거렸고,","high society was abuzz with gossip about the crown prince’s scandal,","high society was abuzz with gossip about the crown prince’s scandal,","everyone in high society began whispering malicious rumors about the crown prince,","길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
이 소식을 들은 황제는 길길이 날뛰었다.,and the emperor was furious when he heard about it.,and the emperor flew into a rage when he heard the news.,and the emperor was enraged when he heard the news.,"길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
에녹!,enoch!,enoch!,enoch!,"길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
이게 대체 무슨 망신이냐!,what kind of disgrace is this?!,what a disgrace!,what kind of travesty is this?!,"길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
네가 감히 황실의 명예를 실추시켜?!,how dare you tarnish the imperial family’s honor?!,how dare you dishonor the imperial family?!,how dare you sully the imperial family name?!,"길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
"아, 아버지!",f-father!,f-father!,f-father!,"길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
전 시그렌 그놈의 함정에 빠진 것입니다!,I was tricked by that scoundrel siegren!,I was framed by that bastard siegren!,I was only caught in siegren's trap!,"길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
듣기 싫다!,I don’t want to hear it!,I don’t want to hear it!,I don't want to hear it!,"길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
이 멍청한 녀석!,you fool!,you fool!,you fool!,"길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
황자는 황족으로서 불법 투기장을 단속했을 뿐이다.,the prince was only cracking down on the illegal arena as a member of the imperial family.,the prince was only doing his duty as a member of the imperial family by cracking down on illegal gambling arenas.,he was only cracking down on the illegal fighting ring as a member of the imperial family should.,"길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
거기다 클로비스 후작과 힘을 합쳐 국고를 채우는 데 도움까지 주었지!,"on top of that, he joined forces with marquess clovis to help fill the national treasury!",he even joined forces with marquess clovis to help fill the national treasury!,he even worked with marquess clovis to fill up the imperial treasury!,"길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
모두 황자를 얼마나 칭찬하는지 모른다!,everyone is praising the prince!,everyone is praising the prince!,everyone can't praise him enough for what he's done!,"길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
"그, 그런…",b-but...,b-but...,b-but...,"길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
꼴도 보기 싫다.,I don’t want to see you.,I can’t stand the sight of you.,I want you out of my sight.,"길길이 날뛰었다 : flew into a rage
꼴도 보기 싫다 : can't stand the sight of
문어 다리 걸친 : two-timing
똥개 : watchdog"
