원문,첫 번 째 후보군,두 번 째 후보군,bleu 기준 라벨
저기다!,over there!,There!,1
아가씨가 사라진 곳!,that’s where lady fiona disappeared!,that's where my lady disappeared!,1
이럴 수가…,oh my god...,I can't believe this...,2
역시 거대한 악의가 느껴져요.,I can feel a great evil.,I can definitely sense a great evil.,1
바라보기조차 두려울 정도의…!,it’s so terrifying that I can’t even look at it!,So terrifying that even looking at it is frightening...!,1
그래도 피오나를 구할 수 있는 방법은 하나뿐이야.,but there’s only one way to save fiona.,But there’s only one way to save Fiona.,3
저 어둠을 돌파하겠다.,I’ll have to break through the darkness.,I will break through that darkness.,1
"전하,","your highness,","your highness,",3
너무 위험해요!,it’s too dangerous!,It’s too dangerous!,3
"목숨이 아깝지도 않나, 시그렌.","aren’t you afraid of losing your life, siegren?","Don't you value your life, Siegren?",2
그런 건 아무래도 상관없어.,that doesn’t matter.,I don’t care about that at all.,2
유니스 영애.,lady eunice.,Lady Eunice.,3
저 어둠에 잠시 틈을 내는 것 정도는 할 수 있겠지?,"you can create a small opening in the darkness, right?","You can create a temporary opening in the darkness, right?",1
… …아마도요.,maybe...,...Maybe.,2
그거면 됐어!,that’s good enough!,That will do!,2
"지금이다, 길을 열어!",now! open a path!,Now! Open a path!,3
"네, 네!!",y-yes!,Y-yes!!,2
집중해서…,focus...,Focus...,3
어둠에 틈을 만든다!,create an opening in the darkness!,Create an opening in the darkness!,3
보인다!,I can see her!,I can see it!,1
피오나!,fiona!,Fiona!,3
목소리?,a voice?,A voice?,3
누구?,who is it?,who?,1
아가씨!,lady fiona!,My lady!,1
눈이 떠지지 않아…,I can’t open my eyes...,I can't open my eyes...,2
어라…,huh?,Huh…,1
여긴 어디지?,where am I?,Where is this place?,1
가슴…?,a chest...?,Chest...?,1
누구?,who is it?,Who?,1
어?,huh?,Huh?,3
시그렌?,siegren?,Siegren?,3
"이 상황,",what’s going on?,this situation…,2
이 차림은…,why are we dressed like this?,this outfit...,2
설마 사고 친 건가!,did we do something wrong?!,Did I get into trouble?!,1
꺄약-!,aah!,Eek!,1
피오나?!,fiona?!,fiona?!,3
정신이 들어?,are you awake?,Have you come to your senses?,1
들다마다…!,"yes, I am!",Of course…!,2
어쩌다 이렇게 된 거지?,what happened?,How did this happen?,1
분명 어둠에 있던 무언가를 상대하고 있었던 것 같은데.,I was fighting something in the darkness.,I think I was dealing with something in the darkness.,1
왜 정신을 차리니 옷 벗은 너랑 누워 있는 거야.,"why am I lying in bed with you, and why are you naked?","Why do I wake up to find myself lying with you, and why are you naked?",2
죽어서 천국에 왔나? 했네.,I thought I died and went to heaven.,I thought I had died and gone to heaven.,2
너는…!,you...!,You...!,3
"사람 그렇게 걱정시켜 놓고,",you had me so worried.,You made everyone worry so much.,1
그게 할 말이야…?!,how could you say that?!,Is that really what you have to say…?!,2
…미안.,I’m sorry.,…Sorry.,2
"그런데, 여기는 어디야?",but where are we?,Where is this place?,1
숲에 친 임시 막사.,an emergency tent in the forest.,A temporary camp set up in the forest.,2
