hangle,first_translate,idiom_translate,label,idiom
하아.,haa...,haa...,haa…,"욱하는 경향이 있어 : You have a short temper
한결같이 최악이야 : Consistently the worst
짜증 나는 일은 정말 몰아서 오는 법이로구나 : Troubles always come all at once
헛된 꿈은 버리고 : Give up your futile dreams
시궁창 쥐새끼처럼 : Like a sewer rat
손 쓸 것도, 생각해야 할 것도 많을 텐데 : There will be a lot to handle and think about
기왕이면 : While we're at it
제 몸처럼 아꼈다 : Cared for like his own body
등에 업고 : Backed by
어디 한번 영웅이 돼 보거라 : Go ahead and become a hero"
화내버렸다.,I got angry again.,I lost my temper.,I lost my temper.,"욱하는 경향이 있어 : You have a short temper
한결같이 최악이야 : Consistently the worst
짜증 나는 일은 정말 몰아서 오는 법이로구나 : Troubles always come all at once
헛된 꿈은 버리고 : Give up your futile dreams
시궁창 쥐새끼처럼 : Like a sewer rat
손 쓸 것도, 생각해야 할 것도 많을 텐데 : There will be a lot to handle and think about
기왕이면 : While we're at it
제 몸처럼 아꼈다 : Cared for like his own body
등에 업고 : Backed by
어디 한번 영웅이 돼 보거라 : Go ahead and become a hero"
피오나 넌 욱하는 경향이 있어.,"fiona, you have a tendency to get angry easily.","fiona, you have a short temper.","you have a temper, fiona.","욱하는 경향이 있어 : You have a short temper
한결같이 최악이야 : Consistently the worst
짜증 나는 일은 정말 몰아서 오는 법이로구나 : Troubles always come all at once
헛된 꿈은 버리고 : Give up your futile dreams
시궁창 쥐새끼처럼 : Like a sewer rat
손 쓸 것도, 생각해야 할 것도 많을 텐데 : There will be a lot to handle and think about
기왕이면 : While we're at it
제 몸처럼 아꼈다 : Cared for like his own body
등에 업고 : Backed by
어디 한번 영웅이 돼 보거라 : Go ahead and become a hero"
시그렌 말이 맞았네… 그런 것 같아.,siegren was right... I think I do.,siegren was right... I guess I do.,siegren was right.  I do have a temper.,"욱하는 경향이 있어 : You have a short temper
한결같이 최악이야 : Consistently the worst
짜증 나는 일은 정말 몰아서 오는 법이로구나 : Troubles always come all at once
헛된 꿈은 버리고 : Give up your futile dreams
시궁창 쥐새끼처럼 : Like a sewer rat
손 쓸 것도, 생각해야 할 것도 많을 텐데 : There will be a lot to handle and think about
기왕이면 : While we're at it
제 몸처럼 아꼈다 : Cared for like his own body
등에 업고 : Backed by
어디 한번 영웅이 돼 보거라 : Go ahead and become a hero"
난 그래도 내가 온건한 편이라고 생각했는데…,I thought I was a calm person...,I thought I was a calm person...,and I always thought I was reasonable…,"욱하는 경향이 있어 : You have a short temper
한결같이 최악이야 : Consistently the worst
짜증 나는 일은 정말 몰아서 오는 법이로구나 : Troubles always come all at once
헛된 꿈은 버리고 : Give up your futile dreams
시궁창 쥐새끼처럼 : Like a sewer rat
손 쓸 것도, 생각해야 할 것도 많을 텐데 : There will be a lot to handle and think about
기왕이면 : While we're at it
제 몸처럼 아꼈다 : Cared for like his own body
등에 업고 : Backed by
어디 한번 영웅이 돼 보거라 : Go ahead and become a hero"
"아냐, 애초에 이런 일을 안 저지르면 되잖아!","no, I wouldn’t have to get angry if people didn’t do things to make me angry!","no, she shouldn’t have done that in the first place!",but she started it!,"욱하는 경향이 있어 : You have a short temper
한결같이 최악이야 : Consistently the worst
짜증 나는 일은 정말 몰아서 오는 법이로구나 : Troubles always come all at once
헛된 꿈은 버리고 : Give up your futile dreams
시궁창 쥐새끼처럼 : Like a sewer rat
손 쓸 것도, 생각해야 할 것도 많을 텐데 : There will be a lot to handle and think about
기왕이면 : While we're at it
제 몸처럼 아꼈다 : Cared for like his own body
등에 업고 : Backed by
어디 한번 영웅이 돼 보거라 : Go ahead and become a hero"
사람들이 정말 발전이 없네. 한결같이 최악이야.,people never change. they’re always the worst.,people never change. they’re consistently the worst.,these people haven’t changed one bit. they’re the worst!,"욱하는 경향이 있어 : You have a short temper
한결같이 최악이야 : Consistently the worst
짜증 나는 일은 정말 몰아서 오는 법이로구나 : Troubles always come all at once
헛된 꿈은 버리고 : Give up your futile dreams
시궁창 쥐새끼처럼 : Like a sewer rat
손 쓸 것도, 생각해야 할 것도 많을 텐데 : There will be a lot to handle and think about
기왕이면 : While we're at it
제 몸처럼 아꼈다 : Cared for like his own body
등에 업고 : Backed by
어디 한번 영웅이 돼 보거라 : Go ahead and become a hero"
어딜 함부로 돌아다니는 건지 모르겠구나.,you seem to be wandering around without a care.,I don’t know why you’re walking around so freely.,I don’t know what makes her think she could freely roam these halls.,"욱하는 경향이 있어 : You have a short temper
한결같이 최악이야 : Consistently the worst
짜증 나는 일은 정말 몰아서 오는 법이로구나 : Troubles always come all at once
헛된 꿈은 버리고 : Give up your futile dreams
시궁창 쥐새끼처럼 : Like a sewer rat
손 쓸 것도, 생각해야 할 것도 많을 텐데 : There will be a lot to handle and think about
기왕이면 : While we're at it
제 몸처럼 아꼈다 : Cared for like his own body
등에 업고 : Backed by
어디 한번 영웅이 돼 보거라 : Go ahead and become a hero"
꽤 한가한 모양이야.,you must have a lot of time on your hands.,"you must have a lot of time on your hands,",she must have a lot of time on her hands.,"욱하는 경향이 있어 : You have a short temper
한결같이 최악이야 : Consistently the worst
짜증 나는 일은 정말 몰아서 오는 법이로구나 : Troubles always come all at once
헛된 꿈은 버리고 : Give up your futile dreams
시궁창 쥐새끼처럼 : Like a sewer rat
손 쓸 것도, 생각해야 할 것도 많을 텐데 : There will be a lot to handle and think about
기왕이면 : While we're at it
제 몸처럼 아꼈다 : Cared for like his own body
등에 업고 : Backed by
어디 한번 영웅이 돼 보거라 : Go ahead and become a hero"
그린 백작 부인.,countess green.,countess green.,countess green.,"욱하는 경향이 있어 : You have a short temper
한결같이 최악이야 : Consistently the worst
짜증 나는 일은 정말 몰아서 오는 법이로구나 : Troubles always come all at once
헛된 꿈은 버리고 : Give up your futile dreams
시궁창 쥐새끼처럼 : Like a sewer rat
손 쓸 것도, 생각해야 할 것도 많을 텐데 : There will be a lot to handle and think about
기왕이면 : While we're at it
제 몸처럼 아꼈다 : Cared for like his own body
등에 업고 : Backed by
어디 한번 영웅이 돼 보거라 : Go ahead and become a hero"
