hangle,first_translate,idiom_translate,label,idiom
세숫물로 걸레 빤 물을 주다니…….,she gave me water that she used to wash the mop...,she gave me water that was used to wash a rag...,they gave me a basin full of dirty mop water…,눈물을 쏙 빼다 : make someone cry their eyes out
진심인가 이 사람들?,are they serious?,are they serious?,are they being serious?,눈물을 쏙 빼다 : make someone cry their eyes out
이렇게 노골적으로 저급하고 유치하게 나온다고?,they’re really going to be this petty and childish?,they’re being so obvious about it.,how could they be so juvenile and demeaning?,눈물을 쏙 빼다 : make someone cry their eyes out
그래도 가문을 대표해서 전쟁터에서 5년을 산 사람한테… 정말로?,after I spent five years on the battlefield representing the family... really?,how could they do this to someone who spent five years on the battlefield representing their family...?,how could they do this knowing fully well that I’ve been fighting for them in the battlefield for the past five years?!,눈물을 쏙 빼다 : make someone cry their eyes out
…풋!,pfft!,pfft...!,pfft!,눈물을 쏙 빼다 : make someone cry their eyes out
푸흣… 큭…,haha... kegh...,hehe... kegh...,pff… snort…,눈물을 쏙 빼다 : make someone cry their eyes out
잘 웃네…….,she’s laughing...,she’s laughing...,she’s laughing…,눈물을 쏙 빼다 : make someone cry their eyes out
"…그런데 저 하녀,",but that maid...,that maid...,"wait, this maid…",눈물을 쏙 빼다 : make someone cry their eyes out
어디서 본 적이 있는 것 같은데…….,I think I’ve seen her before...,I think I’ve seen her before...,…looks familiar.,눈물을 쏙 빼다 : make someone cry their eyes out
…아!,oh!,oh...!,right!,눈물을 쏙 빼다 : make someone cry their eyes out
5년 전에도 본 얼굴이야.,I saw her five years ago.,she’s the same maid from five years ago.,I saw that face five years ago.,눈물을 쏙 빼다 : make someone cry their eyes out
보면 볼수록 태생이 보인다니까.,their true nature is showing.,you can tell she’s a lowly servant just by looking at her.,what a dreadful little bastard.,눈물을 쏙 빼다 : make someone cry their eyes out
