원문,첫 번 째 후보군,두 번 째 후보군,bleu 기준 라벨
"『금일 오후,","“my lady,","""This afternoon,",1
온실에서 있을 티 파티에 영애를 초대하고 싶습니다.』,I would like to invite you to a tea party in the greenhouse this afternoon.”,I would like to invite you to the tea party in the greenhouse.,1
"『시간이 나신다면 꼭 참석해 주세요,","“please attend if you have time,",Please make sure to attend if you have time.,1
헤더 아덴 자작 영애.』,lady eunice heather arden.”,Lady Heather Arden.,2
"이 사람,",isn’t this...,This person.,2
어제 시그렌이랑 일이 있었던 그 영애 아냐?,...the lady who caused trouble with siegren yesterday?,Isn't she the lady who was involved with Siegren yesterday?,1
그런 사람이 여는 티파티에 내가 가도 되는 건가?,should I really go to a tea party hosted by someone like her?,Should I really attend a tea party hosted by someone like her?,1
내가 괜히 신경 쓸 만한 이유는 없지.,"well, there’s no reason for me to be concerned.",There's no reason for me to be concerned.,2
잘못한 건 그쪽이고.,she’s the one who did something wrong.,She's the one at fault.,1
어쩌면 티파티에서 유니스를 만날 수 있을지도 모르니까.,and I might be able to see eunice at the tea party.,Maybe I'll be able to see Eunice at the tea party.,1
기쁜 마음으로 응하겠다고 전해줘.,tell her I’ll be happy to attend.,Tell her I’ll be happy to attend.,3
유니스 영애.,lady eunice.,Lady Eunice.,3
피오나 영애…!,lady fiona!,Lady Fiona...!,1
유니스 영애도 초대받은 건가요?,were you invited to the tea party too?,"Were you invited as well, Lady Eunice?",2
네.,yes.,Yes.,3
피오나 영애와는 같은 일행임에도 계속 얼굴을 볼 수가 없었네요.,"we’ve been traveling together, but I haven’t been able to see you.","Even though we were in the same group, I haven't had the chance to see you.",2
전 말을 타고 있었거든요.,I’ve been riding a horse.,I was riding a horse.,2
…그래도 마차에도 와 주세요.,please come to the carriage too.,"…Still, please come to the carriage as well.",2
혼자서는 심심해서….,it’s boring by myself...,I'm lonely by myself...,1
주변에 온통 기사랑 병사라서 쓸쓸했나 봐.,she must have felt lonely with all the knights and soldiers around her.,She must have felt lonely with all the knights and soldiers around.,2
어서 오십시오.,welcome.,Welcome.,3
이쪽이 온실입니다.,this way to the greenhouse.,This is the way to the greenhouse.,1
아가씨께서는 안쪽에서 기다리고 계십니다.,my lady is waiting inside.,My lady is waiting further inside.,2
"어머나,","oh my,","Oh my,",3
"피오나 영애,","lady fiona,","Lady Fiona,",3
유니스 영애…,lady eunice...,Lady Eunice...,3
초대에 응해주셔서 감사해요.,thank you for accepting my invitation.,Thank you for accepting my invitation.,3
기다리고 있었답니다.,I’ve been waiting for you.,I've been expecting you.,1
"와, 역시 화려한 미인이야.","wow, she really is a stunning beauty.","Wow, she really is as stunning as expected.",1
이런 사람이 시그렌에게 달려들었단 말이지.,she’s the one who threw herself at siegren.,"So, someone like her went after Siegren.",1
