hangle,first_translate,idiom_translate,label,idiom
아렌트 클로비스!,arendt clovis!,arendt clovis!,arendt clovis!,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
하필이면 이 녀석을 또 맞닥뜨리게 될 줄이야!,I can’t believe I ran into this guy again!,I can’t believe I ran into this guy again!,"of all the people that I could’ve run into, it had to be him!","머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
셀린이라고요?,celine?,celine?,"celine, was it?","머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
화난 것 같은데?,he looks angry.,he looks angry.,I think he’s mad at me.,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
나 어디로 끌려가서 심문받는 거 아냐?!,"he’s not going to take me away and interrogate me, is he?!",am I going to be dragged away and interrogated?!,is he going to drag me somewhere and have me interrogated?!,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
이렇게 되면 내가 먼저 아렌트를 제거해야…,"in that case, I’ll have to get rid of him first...",I’ll have to get rid of arendt first...,"if so, I’ll have to dispose of him first…","머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
…아무래도.,I think...,I suppose...,I think it would be best…,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
이전의 제 제안은 잊어버리시는 게 좋겠네요.,...you should forget about my previous offer.,...you should forget about my previous offer.,…for you to forget about my previous proposal.,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
어떤 것이든 헤일론 가주 자리보다 나은 게 떠오르지는 않는지라.,I can’t think of anything better than being the head of house haylon.,I can’t think of anything better than being the head of house haylon.,"whatever it may be, it won’t be any better than inheriting the name of house heylon.","머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
응? 생각보다 쉽게 포기하네.,huh? he gave up more easily than I thought.,huh? he gave up more easily than I thought.,huh? he gave up sooner than I thought.,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
좀 더 날 캐 볼 줄 알았는데.,I thought he’d try to get more information out of me.,I thought he’d try to dig for more information.,I thought he’d push a little harder.,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
"원작과 달리 내게 헤일론 가문이란 뒷배가 있는 터라,","unlike the original story, I have house haylon backing me up,","unlike the original story, I have house haylon as my support,","I guess it's because, unlike the original story, I have the support of house heylon.","머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
무리하게 접근할 생각은 없나 봐.,so he probably doesn’t want to push me too hard.,so he probably won’t try to approach me.,maybe he doesn’t want to impose?,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
나야 편하고 좋지 뭐.,that’s fine with me.,that’s good for me.,that’s fine by me.,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
"그나저나,","anyway,","by the way,","anyway,","머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
어니스트 공작님의 제안이 걱정되지는 않으십니까?,aren’t you worried about duke ernest’s proposal?,aren’t you worried about duke ernest’s proposal?,aren’t you worried about duke ernest’s proposal?,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
고민해 봤자 소용없는 일인걸요.,there’s no point in worrying about it.,there’s no use worrying about it.,worrying about it isn’t going to help.,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
담대하시군요.,you’re very bold.,you’re very bold.,you are quite the bold one.,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
하하,haha,haha,haha,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
사실 특기 분야라 걱정을 안 하는 것 뿐이지만.,I’m not worried because it’s my area of expertise.,I’m not worried because it’s my specialty.,"actually, I’m not worried because it’s my area of expertise.","머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
…그렇지.,I see.,that’s right.,right.,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
"떠나기 전, 한 가지 궁금한 점이 있습니다.","before I go, I have one question.",there’s something I’m curious about before I go.,"before I go, there’s one thing I’d like to ask.","머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
그린 가의 치부를 고하는 익명의 문서.,the anonymous letter that exposed house green’s weakness...,the anonymous letter that exposed house green’s weakness.,the letter exposing the green family...,"머리 굴렸지 : You were scheming
눈치챘나 보군 : I see you caught on
닦달해서 귀찮게 굴었을걸요 : He would have pestered and nagged
사람 보는 눈 하나는 있다니까 : I have a good eye for people
기가 죽어버리는 거야 : Losing confidence
피바다가 된다고 : It turns into a bloodbath"
