hangle,first_translate,idiom_translate,label,idiom
너희를 이대로 보내면 내가 공작한테 더러운 꼴을 당해서.,"if I let you go, I’ll have to deal with his grace.","if I let you go, you’ll go back to the duke and tell him what I did.","well, the duke will give me hell if I just let you go.","가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
"어이, 고용주님.","hey, boss.","hey, employer.","hey, boss.","가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
"이놈들,",these guys...,these bastards...,would you like me to...,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
가랑이에 달린걸 잘라 버릴까?,should I cut off their balls?,should I cut off what’s between their legs?,...cut the things dangling between their legs?,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
음…,hmm...,um...,hmm...,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
"아니, 그건 좀.","no, that’s a bit much.","no, that’s a bit much.","no, that won't be necessary.","가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
"아가씨, 감사합니다.","thank you, my lady.","thank you, my lady.","thank you, miss.","가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
다시는 경거망동하지 않겠습니다요.,we won’t act recklessly again.,we won’t act out of line again.,we'll never step out of line ever again.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
용서해주셔서 어찌나 다행인지…,we’re so glad you forgave us...,we’re so glad you forgave us...,thank you for forgiving us--,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
누가 용서를 했는데?,who said I forgave you?,who said I forgave you?,who said I forgave you?,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
으아아악!,aack!,aack!,aaack!,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
"영애, 눈을 감는 게 좋겠어요.","my lady, you should close your eyes.","my lady, you should close your eyes.","lady eunice, you should close your eyes.","가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
귀는 제가 가려드릴 테니까요.,I’ll cover your ears.,I’ll cover your ears.,I'll cover your ears.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
예?,what?,huh?,yes?,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
예에…,okay...,okay...,"ah, all right...","가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
"자, 됐어.",that’s enough.,there we go.,"all right, we're ready.","가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
"자르진 말고, 한 대씩 세게 두들겨 줘.",don’t cut them off. just give them each a good punch.,don’t cut them off. just give them a good beating.,"don't cut them off, but give them a good pounding.","가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
그래.,sure.,sure.,will do.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
흐갹…,ack...,ugh...,gaah...,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
"그리고 그 전에,","and before you do,","before you do that,","but before that,","가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
내 얼굴 잘 보렴.,take a good look at my face.,take a good look at my face.,I want you both to take a good look at my face.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
"의뢰를 수행할 때, 물지 말아야 할 상대가 누군지는 기억해야지.",you should remember who not to bite when you’re on a job.,you should remember who not to bite when you’re carrying out a request.,you dogs will have to remember who not to bite when you carry out my orders.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
네에…,yes...,yes...,yes...,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
죄송합니다…,we’re sorry...,we’re sorry...,we’re so sorry...,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
잊을 수 있겠냐고.,do you think you’ll be able to remember?,do you think you can remember?,we won’t forget...,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
설교는 이제 끝난 것 같고.,I think that’s enough lecturing.,I think that’s enough lecturing.,"I guess that's all for the sermon,","가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
이젠…,now...,now...,so...,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
집행이군!,it’s time for punishment!,it’s time for the punishment!,...it's time for the execution!,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
꺄아아아아악!!,aack!!,aaah!!,aaaaah!!,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
다음.,next.,next.,next.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
커어억!!,kegh!!,ugh!!,uuugh!!,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
"이곳이,",so this is...,is this...,this place...,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
어둠에 삼켜진 곳인가.,...the place that was swallowed by darkness.,...the place that was swallowed by darkness?,...must have been devoured by the darkness.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
시신 수습도 못 하겠네요…,we won’t even be able to recover the bodies...,we won’t be able to recover the bodies...,we can’t even bury the bodies...,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
"전하, 앞으로 어떻게 하실 건가요?","your highness, what will you do now?","your highness, what will you do now?","your highness, what will you do now?","가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
"이쪽을 거점으로 잡고,",we’ll set up a base here...,we’ll use this place as a base...,we'll have to set up base here...,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
본격적으로 숲에 있는 마물을 토벌해야겠지.,...and start hunting the monsters in the forest.,...and start hunting the monsters in the forest.,...and start hunting for demonic beasts in the forest.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
피오나 영애는 아카데미의 연구원들과 있는 게 낫지 않을까.,wouldn’t it be better for lady fiona to stay with the academy researchers?,wouldn’t it be better for lady fiona to stay with the academy researchers?,wouldn't it be better for lady fiona to stay with the researchers from the academy?,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
제법 일이 많아 보이더군.,they seem to have a lot of work to do.,they seem to have a lot of work to do.,it seems like they have a lot of work to do.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
음…,hmm...,um...,hm...,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
"위험한 곳에는 안 내보내겠다, 이거지?","he doesn’t want me to go to dangerous places, huh?","he doesn’t want me to go to dangerous places, huh?","he’s saying this because he doesn't want to put me in danger, huh?","가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
전하.,"your highness,","your highness,","your highness,","가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
사적인 일과 공적인 일은 구분해야죠.,we should keep our personal and professional lives separate.,we should separate our personal and public lives.,you shouldn’t let your private feelings get in the way of your official duties.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
내가 있을 곳은 이곳이 아니야.,this isn’t where I belong.,this isn’t where I belong.,this is not where I belong.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
알잖아?,"you know that, right?","you know that, right?",you know that.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
발그레…,blush,blush,blush,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
"미인계, 통했다.","beauty trap, successful.",my charms worked.,I see my beauty is working like a charm.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
일단 황제 폐하께 칙령도 받은 몸이니 열심히 일하죠.,let’s work hard since his majesty gave us a decree.,let’s work hard since we’ve been given an imperial order.,"since his majesty has given me direct orders, I should do my best to make myself useful.","가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
초반만 아주 잠깐 나갔다 와.,you can just go out for a little bit in the beginning.,just go out for a little bit at the beginning.,you can come along for a little bit at first.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
와아.,wow.,wow.,wow.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
…아벨이 빨리 돌아와서 네 대타가 되어야 하는데.,abel needs to come back soon and take your place.,abel needs to come back quickly and take your place...,I hope abel gets here quickly so he can replace you.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
스승님을 부려 먹을 생각뿐이구나.,you’re just trying to use your master.,you just want to work your master to the bone.,look at you trying to make your teacher do all the hard work.,"가랑이에 달린걸 잘라 버릴까? : Cut off what’s between your legs
스승님을 부려 먹을 생각뿐이구나. : You just want to work your master to the bone.
아벨, 사람 부려 먹는 게 너무 독해! : Abel, you're too harsh in working people to the bone!
어려운 부분이 있으면 혼자 앓지 말아요, 영애. : If there's something difficult, don't suffer alone, my lady."
