hangle,first_translate,idiom_translate,label,idiom
"…너에게 미움받는 게,",I’m so scared...,I’m so scared...,being hated by you...,백번 양보하다 : make a huge concession
너무 무서워.,...of you hating me.,...of you hating me.,...scares me the most.,백번 양보하다 : make a huge concession
시그렌.,siegren.,siegren.,"siegren,",백번 양보하다 : make a huge concession
잠깐 옆으로 갈게.,"hold on, let me move over.",I’m going to come over to your side for a moment.,I'm going to come closer for a second.,백번 양보하다 : make a huge concession
"저기,","hey,","hey,","um,",백번 양보하다 : make a huge concession
약간 앞으로 몸을 숙여볼래?,can you lean forward a bit?,can you lean forward a little?,can you lean forward a little?,백번 양보하다 : make a huge concession
이렇게?,like this?,like this?,like this?,백번 양보하다 : make a huge concession
"피오나,","fiona,","fiona,","fiona,",백번 양보하다 : make a huge concession
뭘 하려고―,what are you trying to do--,what are you trying to--,what are you--,백번 양보하다 : make a huge concession
이 정도면 됐겠지.,this should be good enough.,this should be good enough.,that should be enough.,백번 양보하다 : make a huge concession
너…,are you...,are you...,are you...,백번 양보하다 : make a huge concession
날 괴롭히려는 거야?,...trying to torture me?,...trying to torture me?,...trying to tease me?,백번 양보하다 : make a huge concession
"아니, 그냥 이걸로 샘샘 하자고.","no, I just want us to be even.","no, let’s just call it even now.","no, this makes us even,",백번 양보하다 : make a huge concession
너도 아까 일은 더 이상 신경 쓰지 마.,don’t worry about what happened earlier.,don’t worry about what happened earlier.,so you should stop worrying about what happened earlier.,백번 양보하다 : make a huge concession
아팠어?,did it hurt?,did it hurt?,did it hurt?,백번 양보하다 : make a huge concession
어떤 의미로는.,in a way.,in a way.,in what way?,백번 양보하다 : make a huge concession
피오나.,fiona.,fiona.,"fiona,",백번 양보하다 : make a huge concession
키스해도 돼?,can I kiss you?,can I kiss you?,may I kiss you?,백번 양보하다 : make a huge concession
아니.,no.,no.,no.,백번 양보하다 : make a huge concession
차라리 너한테 얻어맞고 싶어져.,I’d rather get punched by you.,I’d rather get punched by you.,"you might as well beat me, then.",백번 양보하다 : make a huge concession
잘 참아 봐.,hang in there.,hang in there.,try to hang in there.,백번 양보하다 : make a huge concession
"미안, 시그렌.","I’m sorry, siegren.","I’m sorry, siegren.","I'm sorry, siegren.",백번 양보하다 : make a huge concession
나 정말 못됐다.,I’m so mean.,I’m so mean.,I know I'm terrible.,백번 양보하다 : make a huge concession
너에게 마음을 다 열지 못하는 주제에,"I can’t even open up to you,","I can’t even open up to you,","I can't even fully open up my heart to you,",백번 양보하다 : make a huge concession
네가 나에게 휘둘리는 모습을 확인하니 기분이 좋다니.,but I feel good seeing you get swayed by me.,but I feel good seeing you get flustered because of me.,yet I'm enjoying the feeling of having you wrapped around my finger.,백번 양보하다 : make a huge concession
시그렌.,siegren.,siegren.,"siegren,",백번 양보하다 : make a huge concession
내가 마음 전부를 열지 못해도,"even if I can’t open up to you completely,","even if I can’t open up to you completely,","I may not be able to give you my whole heart,",백번 양보하다 : make a huge concession
나는 널 가장 아끼고 있어.,you’re still the most precious person to me.,you’re still the most precious person to me.,but there's no one I care about more than you.,백번 양보하다 : make a huge concession
그걸 항상 기억하고 있어 줘.,please remember that.,please remember that.,I want you to remember that.,백번 양보하다 : make a huge concession
이만 갈게.,I’ll get going now.,I’ll get going now.,I'm off.,백번 양보하다 : make a huge concession
피오나.,fiona.,fiona.,"fiona,",백번 양보하다 : make a huge concession
"나에 관한 거 말고, 네 행복은 뭐야?","what makes you happy, other than me?","aside from me, what makes you happy?","aside from me, what makes you happy?",백번 양보하다 : make a huge concession
나의 행복?,what makes me happy?,what makes me happy?,what makes me happy?,백번 양보하다 : make a huge concession
나의…,well...,my...,well...,백번 양보하다 : make a huge concession
글쎄.,I don’t know.,well...,I don’t...,백번 양보하다 : make a huge concession
