hangle,first_translate,second_translate,label
"저기 봐, 저기 온다.","look, there she is.","Look, there they come.","look,  here they come."
저 애가 공작님의 대리?,that’s the duke’s proxy?,Is that the duke’s proxy?,that child  is the duke’s deputy?
사기꾼 아니야?,are you sure she’s not a fraud?,Isn't she a fraud?,"this isn’t  some sorta  scam, is it?"
정말 당황스럽군….,"well, this is awkward...",This is really bewildering...,how baffling…
역시 어린애의 몸은 불편해.,I forgot how uncomfortable it is to be in a child’s body.,Being in a child's body is indeed uncomfortable.,being a child in this world isn’t easy.
이 정도로 노골적인 반응이 나올 줄이야….,I didn’t think people would be so blatantly rude...,I didn’t expect such an overt reaction...,I didn’t  think people  would express their disappointment  so openly.
날 의심하고 있었다면서 나한테 영주의 권한을 빌려주다니.,"he said he was suspicious of me, but he still gave me the authority of a feudal lord.","He was suspicious of me, yet he still entrusted me with the authority of a feudal lord.","abel is suspicious  of me, and yet he’s  given me his  authority."
아벨은 왜 내게 이 일을 맡겼을까?,why did abel give me this job?,Why did Abel entrust me with this task?,"why did he entrust me with this task, anyway?"
나보다 어른인 제론이 나았을 텐데~,jeron would’ve been a better choice since he’s an adult.,"Jeron is older than me, so he would’ve been a better choice~",he could’ve had jeron do this instead.
"뭐, 그건 천천히 고민해 보고….","well, I’ll think about that later...","Well, I’ll think about that later.","well, I’ll have to think about that later…"
난 주어진 일만 처리하면 되겠지.,"for now, I’ll just focus on the task at hand.",I’ll just handle the task given to me.,…and focus on the task at hand for now.
"일단, 용병들을 어떻게 처벌할지가 문제야.",the first problem is how to punish the mercenaries.,The first problem is how to punish the mercenaries.,"first, I have  to figure out  how to punish the  mercenaries."
"사실 사건을 일으킨 용병을 벌하는 것만큼,","actually, the significance of the punishment...","Actually, punishing the mercenaries who caused the incident is just as important as the significance of the punishment itself.",the purpose behind  their punishment is equally important...
이 처벌이 가지는 의의도 중요해.,...is just as important as the punishment itself.,The significance of this punishment is also important.,…as the  punishment  itself.
말 그대로 본보기.,it’s a warning.,It's a literal example.,that’s because...
똑같은 짓을 저지르면 너 역시 이 꼴이 된다는 경고.,it’s a way to show others that they’ll end up the same way if they do something similar.,"It's a warning that if they do the same thing, they'll end up like this.",...it must set an example  by warning others of the consequences that could occur should they commit the  same offense.
"이번 일이 잘되면 마을의 치안에 도움이 되겠지만,","if this goes well, it’ll help the town’s public safety.","If this goes well, it’ll help the town’s security.","if all goes well,  it will improve the town’s overall safety,"
