원문,첫 번 째 후보군,두 번 째 후보군,bleu 기준 라벨
"어둠에 빨려 들어가기 직전,","right before I was sucked into the darkness,","Right before I was swallowed by the darkness,",1
"잠깐이지만,","even if it was just for a moment,","Even if it was only for a moment,",2
어둠이 다가오는걸 막을 수 있었어.,I was able to stop the darkness from taking over.,I was able to stop the darkness from approaching.,1
"나는 혹시,",does that mean...,Am I perhaps...,1
어둠을 조종할 수 있는 걸까?,...I can control the darkness?,Can I control the darkness?,1
그러면 또 한가지 의문이 생긴다.,"if so, that raises another question.","If so, that raises another question.",3
원작의 피오나는 어둠을 통제할 수 없었다.,the original fiona couldn’t control the darkness.,The original Fiona couldn't control the darkness.,2
그런데 왜 나는 성공했을까?,so why was I able to?,But why was I successful?,1
"같은 육체, 같은 재능인데.",we have the same body and the same talent.,I have the same body and the same talent.,1
이것도 고민해봤자 답이 안 나오네~,I guess I won’t be able to find the answer to this either.,There's no point in worrying about this—I'll never find the answer.,1
"머리 아프다, 머리 아파.","ugh, my head hurts.","Ugh, my head hurts. It really hurts.",2
아~ 배부르다~,"ah, I’m so full!","Ah, I'm so full!",2
"렐턴 후작님, 어지간히도 고마웠나 봐.",marquess relton must have been really grateful.,Marquess Relton must have been quite grateful.,1
이렇게 맛있는 요리를 많이 내주다니.,he served us so many delicious dishes.,So many delicious dishes were served.,1
…그러게.,yeah...,I guess so.,1
으음~,hmm...,Hmm~,1
어디 안 좋은가?,does he not feel well?,Are you not feeling well?,1
아까도 많이 안 먹던데.,he didn’t eat much earlier either.,You didn’t eat much earlier either.,1
…이번에 파견단에 와 보기를 잘했어.,I’m glad I came with the envoy this time.,I'm glad I joined the envoy this time.,2
…왜?,why?,...Why?,2
소득이 있었잖아.,we gained a lot from this trip.,We gained something.,1
아카데미 사람들도 생각보다 괜찮았고.,the people at the academy were better than I expected.,"The people at the academy were quite decent, better than I thought.",1
"그 사람들, 목숨 빚을 졌다고 생각하고 있으니까…","they think they owe me their lives,",They think they owe their lives to me.,2
나중에 분명 호의적인 태도를 보일 거야.,so I’m sure they’ll be friendly to me in the future.,I'm sure they'll show a favorable attitude in the future.,2
"게다가,","on top of that,","On top of that,",3
나 생각보다 대단한 사람이었다고.,I realized I’m more amazing than I thought.,I was greater than I thought.,1
"어둠,",I was able to control the darkness...,"Darkness,",1
힘들었지만 내가 분명 통제했었거든.,...even though it was hard.,"It was difficult, but I definitely controlled it.",2
분명 어둠 토벌에 엄청난 도움이 될 거야.,I’m sure it’ll be a huge help in defeating the darkness.,I'm sure it’ll be a huge help in the subjugation of the darkness.,2
…또 어둠에 관여할 생각이야?,are you planning to get involved with the darkness again?,Are you thinking of getting involved with the darkness again?,2
물론!,of course!,Of course!,3
피오나.,fiona.,fiona.,3
피오나!,fiona!,Fiona!,3
얼음같이 차가운 그 몸에,his body was as cold as ice.,"Touching his body, cold as ice,",2
세상이 무너지는 듯 했다.,it felt like my world was falling apart.,It felt like my world was falling apart.,3
도움 줄 필요 없어.,you don’t need to help.,No need to help.,1
"기뻐하지는 않더라도,","I didn’t expect him to be happy,","Even if you’re not happy,",1
축하 정도는 해줄 줄 알았는데.,but I thought he’d congratulate me at least.,I thought I’d at least get some congratulations.,1
…왜?,why?,...Why?,2
"저번 같은 행동,",don’t ever...,Don't do the same thing as last time.,1
두 번 다시 하지 마.,...do something like that again.,Don't ever do that again.,2
말도 안 되고 무모한 짓이야.,it’s reckless and dangerous.,That’s absurd and reckless.,2
그래도 내가 한 행동은 옳았어.,but I did the right thing.,"Still, what I did was right.",1
알고 있어.,I know.,I know.,3
반성의 여지는 충분해.,there’s plenty of room for reflection.,There's plenty of room for remorse.,2
나는 그 자리의 책임자였잖아.,I was the one in charge there.,I was the one in charge there.,3
그게 최선이었다고.,it was the best I could do.,That was the best option.,1
"맞아, 실은 네가 옳아.","yes, you’re right.","Yeah, in fact, you’re right.",1
너는 큰 전력이야.,you’re a great asset.,You’re a powerful force.,2
가끔은 생존을 우선시해야 할 때가 있어.,"sometimes, you have to prioritize survival.","Sometimes, you have to prioritize survival.",3
그리고 어둠에 대한 정보는 너한테도 도움이 되잖아.,and the information about the darkness will help you too.,And the information about the darkness will help you too.,3
난 그런 마음으로 싸웠어.,that’s why I fought.,I fought with that in mind.,1
하지만,but...,But...,3
"그러니까,","I’m telling you,","So,",1
그런 도움은 필요 없다니까…!,I don’t need that kind of help!,I said I don't need that kind of help…!,1
억지를 써서라도 너를 잃고 싶지 않아…,"even if I have to be stubborn, I don’t want to lose you...","Even if I have to be stubborn, I don't want to lose you...",2
…시그렌.,siegren...,...Siegren.,1
"귀찮으면 빈정거리지 말고,","if you’re annoyed, don’t be sarcastic.","If you're annoyed, don't be sarcastic.",2
차라리 화를 내!,just get mad at me!,"Rather, just get mad!",1
이… 바보!,you... idiot!,you... idiot!,3
"잠깐, 피오나!","wait, fiona!","Wait, Fiona!",3
저리 가!,go away!,Go away!,3
따라오지 마!,don’t follow me!,Don't follow me!,2
그런 게 아니라…,that’s not what I meant...,That's not it...,1
어… 음…,uh... um...,Uh... um...,3
…단 과자라도 가져다줄까.,should I bring her some sweets...?,…Should I bring some sweets?,1
아가씨를 달래본 적이 별로 없다.,I’ve never really tried to comfort a lady before.,I've rarely had to comfort a lady before.,2
날 몇 살이라고 생각하는 거야?,how old do you think I am?,How old do you think I am?,3
그보다 그냥 가던 길 가라니까.,"anyway, just go back to what you were doing.",just keep going where you were headed.,1
왜 따라온 거야.,why did you follow me?,Why did you follow me?,3
네가 울면서 창고로 도망치는데 어떻게 그냥 가나.,how could I just leave when you ran away crying into the storage room?,How could I just leave when you ran away crying into the storage?,1
그런 소리를 다 할 줄 아네.,I didn’t expect to hear that from you.,I didn't expect to hear that from you.,3
…나,I...,...Me.,1
시그렌이랑 싸웠어.,...fought with siegren.,I fought with Siegren.,1
어둠과 관련된 일 때문이군.,it must have been about the darkness.,It must have been about something related to the darkness.,1
맞아. 내 행동은 충분히 옳았다고 생각하는데.,"yes. I think I did the right thing,",Yes. I think what I did was completely right.,2
시그렌이 괜히 말을 밉게 하는 거야.,but siegren was being mean for no reason.,Siegren was saying mean things for no reason.,1
날 걱정하는 거란 건 알겠지만…,"I know he’s worried about me, but...","I know he's worried about me, but...",2
눈물을 닦아줘야…,I should wipe her tears...,Should wipe the tears...,1
"아니,","no,","No,",3
안 될 일이지…,I shouldn’t...,That wouldn't be right...,2
피오나 헤일론.,"fiona heylon,",Fiona Heylon.,1
너는 좋은 아가씨다.,you’re a good lady.,You're a good young lady.,1
좀 무모하긴 했지만 책임감도 있고.,"you were a bit reckless, but you’re responsible.","You were a bit reckless, but you have a sense of responsibility.",1
내 생각에도 네 판단이 객관적으로 옳았다.,I also think your judgment was objectively correct.,I also believe that your judgment was objectively correct.,1
