원문,첫 번 째 후보군,두 번 째 후보군,bleu 기준 라벨
남의 남자 탐내지 마세요.,stop trying to steal someone else’s man.,Don't covet someone else's man.,2
이건 지금 내 거거든.,he’s mine now.,This is mine now.,2
돌아가겠어요!,I’m going back!,I'm going back!,2
"자, 잠깐!",w-wait!,W-Wait!,3
헤더 영애!,lady eunice!,Lady Heather!,2
기다려요!,wait!,Wait!,3
도망갔다.,she ran away.,ran away.,1
이 정도에 꼬리를 말 거면 왜 시비를 거는지 몰라.,why did she start a fight if she was going to back down so easily?,I don't get why someone would pick a fight only to back down this easily.,1
"그렇지, 시그…","right, sieg--","Right, Sieg…",1
…엇.,huh?,Oh...,2
얼굴이 왜 그래?,what’s wrong with your face?,What's wrong with your face?,2
정신 차려. 어제는 이보다 더 했잖아.,get a hold of yourself. you’ve seen worse than this.,Get a hold of yourself. Yesterday was even worse.,1
네가 하는 거랑 내가 하는 건 느낌이 다르다고….,it’s different when you do it...,The way you do it and the way I do it feel different.,1
그래도 그냥 입술에 가볍게 했을 뿐이잖아?,but it was just a light kiss on the lips.,But it was just a light touch on the lips.,2
어제는…,yesterday...,Yesterday...,3
"맞다,","oh, right.","Oh, right.",3
유니스가 있었지!,eunice was there!,eunice was there!,3
죄송해요.,I’m sorry.,I'm sorry.,2
자리 비켜 드릴게요…!,I’ll leave you two alone...!,I'll step aside for you...!,1
"아, 아니요.",n-no.,"Ah, no.",2
저희가 나갈게요.,we’ll go.,We'll leave.,2
"가시죠, 전하.","let’s go, your highness.","Let’s go, Your Highness.",3
내일 출정 준비를 하셔야죠!,you must prepare to leave tomorrow!,You must prepare for the expedition tomorrow!,1
다음날,the next day,The next day.,1
이곳에서 잠시 휴식하겠습니다!,we’ll take a short break here!,We'll take a short break here!,2
"망했어, 망했어.",I’m doomed.,I'm screwed. I'm screwed.,1
도착할 때까지 유니스 영애와 같은 마차는 절대 못 탈 거야,I’ll never be able to ride in the same carriage as lady eunice until we arrive.,I'll never be able to ride in the same carriage as Lady Eunice until we arrive.,2
그게 그렇게 큰일인가.,what’s the big deal?,Is that such a big deal?,2
나한테는 그래.,it is a big deal to me.,It is to me.,2
좀 친해져서 유니스의 힘을 확인하려 했단 말이다.,I wanted to get closer to eunice so I could check her powers.,I wanted to get closer to Eunice to check her powers.,1
"그런데 코앞에서 사람 협박하고, 사랑과 전쟁을 실시간으로 찍어버렸네…",but I ended up threatening someone and having a dramatic love-hate relationship right in front of her...,But I ended up threatening someone and acting out a dramatic love-hate relationship for all to see...,1
내 이미지가 어떻게 됐을지….,I wonder what she thinks of me now...,I wonder how my image has changed...,1
흐응.,hmm.,Hmm.,3
그 영애가 그렇게 좋나….,do you like her that much...?,Do you like that lady that much...?,1
귀엽잖아.,she’s cute.,She's cute.,2
