hangle,first_translate,idiom_translate,label,idiom
"잘 들어라, 피오나.","listen carefully, fiona.","listen carefully, fiona.","listen carefully, fiona.","간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
어니스트 공작은 내가 무슨 말을 하든 반대할 테니,"duke ernest will oppose anything I say,","duke ernest will oppose anything I say,","duke ernest  will disagree with everything I say,","간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
그냥 무시하거라.,so just ignore him.,so just ignore him.,so I want you to just ignore him.,"간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
네에?,what?,what?,what?,"간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
현 황후를 배출한 가문을 그렇게 대해도 되는 거예요?,are you sure it’s okay to treat the family of the current empress like that?,can you really treat the family of the current empress like that?,are you sure  it’s okay to treat the family that produced the current empress like that?,"간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
된다.,it’s fine.,yes.,it’s fine.,"간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
"어니스트 가는 황태자를 지지하는 세력이니,","house ernest supports the crown prince,","house ernest supports the crown prince,","house ernest supports the crown prince,","간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
"새로운 황자인 시그렌을 보호하고 있는 헤일론과는 대립할 수밖에 없긴 한데,","so they’re bound to clash with house heylon, which is protecting the new prince, siegren.","so it’s inevitable that they’ll be against house heylon, which is protecting the new prince, siegren.","so it’s inevitable  that house heylon will have to go against them, being the supporter of the new prince, siegren.","간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
그래도 무시라니…,"but still, to ignore them...",but still...,but outright ignore them?,"간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
어니스트뿐만이 아니야.,it’s not just house ernest.,it’s not just house ernest.,it’s not  just house ernest.,"간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
에레즈 가문도 황태자 지지 세력이니 무시해라.,"house ereze also supports the crown prince, so ignore them too.","house ereze also supports the crown prince, so ignore them too.","house ereze is also backing the crown prince, so ignore them as well.","간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
프리실라랑 클로비스 가문은요?,what about houses priscilla and clovis?,what about houses priscilla and clovis?,then what  about house priscilla and house clovis?,"간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
"중립이긴 한데,","they’re neutral,","they’re neutral,","they’re both neutral,","간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
말이 중립이지 둘 다 그냥 간만 보고 있어.,but they’re just waiting to see how things play out.,but they’re just sitting on the fence.,or that’s  what they  claim to be when really they’re just hedging their bets.,"간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
그렇구나.,I see.,I see.,I see.,"간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
사실 어느 정도 예상하던 내용이지만.,it’s pretty much what I expected.,it’s what I expected.,"to be honest,  I expected that to be the case somewhat.","간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
"헤일론 공작님, 어서 오십시오.","welcome, duke heylon.","welcome, duke heylon.","welcome,  duke heylon.","간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
다른 분들께서는 안에서 대기 중이십니다.,the others are waiting inside.,the others are waiting inside.,everyone is waiting for you inside.,"간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
"그러니까 피오나, 결론만 말하자면…","so, fiona, to sum it up...","so fiona, to sum it up...","so in conclusion, fiona…","간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
결론만 말하자면?,to sum it up?,to sum it up?,"in conclusion, yes?","간만 보고 있어 : sitting on the fence
머리가 굳을 대로 굳은 : set in one's ways
꿀 먹은 벙어리 : at a loss for words
눈에 선 한 : vividly imagine"
