hangle,first_translate,second_translate,label
저기다!,over there!,There!,over there!
아가씨가 사라진 곳!,that’s where lady fiona disappeared!,that's where my lady disappeared!,that's where her lady fiona disappeared!
이럴 수가…,oh my god...,I can't believe this...,this can't be happening...
역시 거대한 악의가 느껴져요.,I can feel a great evil.,I can definitely sense a great evil.,I can sense a great evil.
바라보기조차 두려울 정도의…!,it’s so terrifying that I can’t even look at it!,So terrifying that even looking at it is frightening...!,I'm afraid to even look at it...!
그래도 피오나를 구할 수 있는 방법은 하나뿐이야.,but there’s only one way to save fiona.,But there’s only one way to save Fiona.,"still, there's only one way to save fiona."
저 어둠을 돌파하겠다.,I’ll have to break through the darkness.,I will break through that darkness.,I must go into the darkness.
"전하,","your highness,","your highness,","your highness,"
너무 위험해요!,it’s too dangerous!,It’s too dangerous!,that's too dangerous.
"목숨이 아깝지도 않나, 시그렌.","aren’t you afraid of losing your life, siegren?","Don't you value your life, Siegren?","don't you fear for your life, siegren?"
그런 건 아무래도 상관없어.,that doesn’t matter.,I don’t care about that at all.,I don't care about anything else.
유니스 영애.,lady eunice.,Lady Eunice.,"lady eunice,"
저 어둠에 잠시 틈을 내는 것 정도는 할 수 있겠지?,"you can create a small opening in the darkness, right?","You can create a temporary opening in the darkness, right?",do you think you could create an opening in the darkness?
… …아마도요.,maybe...,...Maybe.,I think so...
그거면 됐어!,that’s good enough!,That will do!,that's all I need!
"지금이다, 길을 열어!",now! open a path!,Now! Open a path!,do it now! open the way!
"네, 네!!",y-yes!,Y-yes!!,o-okay!!
집중해서…,focus...,Focus...,I must focus...
어둠에 틈을 만든다!,create an opening in the darkness!,Create an opening in the darkness!,...and create an opening!
보인다!,I can see her!,I can see it!,I can see her!
피오나!,fiona!,Fiona!,fiona!
목소리?,a voice?,A voice?,a voice?
누구?,who is it?,who?,who could it be?
아가씨!,lady fiona!,My lady!,lady fiona!
눈이 떠지지 않아…,I can’t open my eyes...,I can't open my eyes...,I can't open my eyes...
어라…,huh?,Huh…,what...?
여긴 어디지?,where am I?,Where is this place?,where am I?
가슴…?,a chest...?,Chest...?,a chest...?
누구?,who is it?,Who?,who is this?
어?,huh?,Huh?,huh?
시그렌?,siegren?,Siegren?,siegren?
"이 상황,",what’s going on?,this situation…,this situation...
이 차림은…,why are we dressed like this?,this outfit...,this gown...
설마 사고 친 건가!,did we do something wrong?!,Did I get into trouble?!,did we...?!
꺄약-!,aah!,Eek!,aah!
피오나?!,fiona?!,fiona?!,fiona?!
정신이 들어?,are you awake?,Have you come to your senses?,are you awake?
들다마다…!,"yes, I am!",Of course…!,how could I not be...?!
어쩌다 이렇게 된 거지?,what happened?,How did this happen?,what happened?
분명 어둠에 있던 무언가를 상대하고 있었던 것 같은데.,I was fighting something in the darkness.,I think I was dealing with something in the darkness.,I was clearly facing something in the darkness.
왜 정신을 차리니 옷 벗은 너랑 누워 있는 거야.,"why am I lying in bed with you, and why are you naked?","Why do I wake up to find myself lying with you, and why are you naked?","when I came to, I found myself lying here next to you half-naked."
죽어서 천국에 왔나? 했네.,I thought I died and went to heaven.,I thought I had died and gone to heaven.,I thought I had died and gone to heaven.
너는…!,you...!,You...!,fiona...!
"사람 그렇게 걱정시켜 놓고,",you had me so worried.,You made everyone worry so much.,how could you say that...
그게 할 말이야…?!,how could you say that?!,Is that really what you have to say…?!,...after worrying me half to death...?!
