hangle,first_translate,idiom_translate,label,idiom
"저 언니,",that girl...,that lady...,wait…,"날 버릴 땐 언제고 : After abandoning me so easily
표정 관리가 안 될 정도로 불만이 많은 모양이야 : He seems so displeased that he can't even hide it
다들 남의 일에 관심이 참 많다니까 : People are always so nosy
그만 튕기고 슬슬 넘어오지 그래? : Stop playing hard to get and just give in
하여간 그동안 예쁘다고 봐줬더니! : I only let it slide because I thought you were pretty!"
시그렌이 아니라,...isn’t looking at siegren.,...isn’t looking at siegren.,she’s not staring at siegren.,"날 버릴 땐 언제고 : After abandoning me so easily
표정 관리가 안 될 정도로 불만이 많은 모양이야 : He seems so displeased that he can't even hide it
다들 남의 일에 관심이 참 많다니까 : People are always so nosy
그만 튕기고 슬슬 넘어오지 그래? : Stop playing hard to get and just give in
하여간 그동안 예쁘다고 봐줬더니! : I only let it slide because I thought you were pretty!"
나만 보는 것 같은데?!,she’s looking at me!,she’s looking at me!,she’s staring at me!!,"날 버릴 땐 언제고 : After abandoning me so easily
표정 관리가 안 될 정도로 불만이 많은 모양이야 : He seems so displeased that he can't even hide it
다들 남의 일에 관심이 참 많다니까 : People are always so nosy
그만 튕기고 슬슬 넘어오지 그래? : Stop playing hard to get and just give in
하여간 그동안 예쁘다고 봐줬더니! : I only let it slide because I thought you were pretty!"
아무래도 이상해.,something’s not right.,something’s strange.,it’s so strange.,"날 버릴 땐 언제고 : After abandoning me so easily
표정 관리가 안 될 정도로 불만이 많은 모양이야 : He seems so displeased that he can't even hide it
다들 남의 일에 관심이 참 많다니까 : People are always so nosy
그만 튕기고 슬슬 넘어오지 그래? : Stop playing hard to get and just give in
하여간 그동안 예쁘다고 봐줬더니! : I only let it slide because I thought you were pretty!"
원작이랑 또 흐름이 달라진 거 아냐?!,is the story going to change again?!,did the story change again?!,is this  another deviation from the original story?!,"날 버릴 땐 언제고 : After abandoning me so easily
표정 관리가 안 될 정도로 불만이 많은 모양이야 : He seems so displeased that he can't even hide it
다들 남의 일에 관심이 참 많다니까 : People are always so nosy
그만 튕기고 슬슬 넘어오지 그래? : Stop playing hard to get and just give in
하여간 그동안 예쁘다고 봐줬더니! : I only let it slide because I thought you were pretty!"
나의 백성들이여.,"my people,","my people,","my subjects,","날 버릴 땐 언제고 : After abandoning me so easily
표정 관리가 안 될 정도로 불만이 많은 모양이야 : He seems so displeased that he can't even hide it
다들 남의 일에 관심이 참 많다니까 : People are always so nosy
그만 튕기고 슬슬 넘어오지 그래? : Stop playing hard to get and just give in
하여간 그동안 예쁘다고 봐줬더니! : I only let it slide because I thought you were pretty!"
잘 와주었다.,thank you for coming.,thank you for coming.,welcome.,"날 버릴 땐 언제고 : After abandoning me so easily
표정 관리가 안 될 정도로 불만이 많은 모양이야 : He seems so displeased that he can't even hide it
다들 남의 일에 관심이 참 많다니까 : People are always so nosy
그만 튕기고 슬슬 넘어오지 그래? : Stop playing hard to get and just give in
하여간 그동안 예쁘다고 봐줬더니! : I only let it slide because I thought you were pretty!"
나왔군.,there he is.,he’s here.,there he is.,"날 버릴 땐 언제고 : After abandoning me so easily
표정 관리가 안 될 정도로 불만이 많은 모양이야 : He seems so displeased that he can't even hide it
다들 남의 일에 관심이 참 많다니까 : People are always so nosy
그만 튕기고 슬슬 넘어오지 그래? : Stop playing hard to get and just give in
하여간 그동안 예쁘다고 봐줬더니! : I only let it slide because I thought you were pretty!"
여기 있는 모두가 기쁜 소식을 들었으리라 믿는다.,I believe everyone here has heard the good news.,I believe everyone has heard the good news.,I’m sure everyone here has heard the good news.,"날 버릴 땐 언제고 : After abandoning me so easily
표정 관리가 안 될 정도로 불만이 많은 모양이야 : He seems so displeased that he can't even hide it
다들 남의 일에 관심이 참 많다니까 : People are always so nosy
그만 튕기고 슬슬 넘어오지 그래? : Stop playing hard to get and just give in
하여간 그동안 예쁘다고 봐줬더니! : I only let it slide because I thought you were pretty!"
짐의 영광스러운 핏줄이,my glorious son...,my glorious bloodline...,a glorious offspring of the royal family has returned…,"날 버릴 땐 언제고 : After abandoning me so easily
표정 관리가 안 될 정도로 불만이 많은 모양이야 : He seems so displeased that he can't even hide it
다들 남의 일에 관심이 참 많다니까 : People are always so nosy
그만 튕기고 슬슬 넘어오지 그래? : Stop playing hard to get and just give in
하여간 그동안 예쁘다고 봐줬더니! : I only let it slide because I thought you were pretty!"
