hangle,first_translate,idiom_translate,label,idiom
"저기 봐, 저기 온다.","look, there she is.","look, there she is.","look,  here they come.","호락호락하지 않아요 : They won't go down without a fight
마물의 밥 : Easy prey for monsters
은혜를 모르는 놈들 : Ungrateful wretches
대화는 말이 통해야 하는 거지? : Conversation only works if both sides listen"
저 애가 공작님의 대리?,that kid is the duke’s proxy?,is that the duke’s representative?,that child  is the duke’s deputy?,"호락호락하지 않아요 : They won't go down without a fight
마물의 밥 : Easy prey for monsters
은혜를 모르는 놈들 : Ungrateful wretches
대화는 말이 통해야 하는 거지? : Conversation only works if both sides listen"
사기꾼 아니야?,"she’s not a con artist, is she?",are you sure she’s not a con artist?,"this isn’t  some sorta  scam, is it?","호락호락하지 않아요 : They won't go down without a fight
마물의 밥 : Easy prey for monsters
은혜를 모르는 놈들 : Ungrateful wretches
대화는 말이 통해야 하는 거지? : Conversation only works if both sides listen"
정말 당황스럽군….,this is quite embarrassing...,this is so awkward...,how baffling…,"호락호락하지 않아요 : They won't go down without a fight
마물의 밥 : Easy prey for monsters
은혜를 모르는 놈들 : Ungrateful wretches
대화는 말이 통해야 하는 거지? : Conversation only works if both sides listen"
역시 어린애의 몸은 불편해.,it’s uncomfortable being in a child’s body.,it’s uncomfortable being in a child’s body.,being a child in this world isn’t easy.,"호락호락하지 않아요 : They won't go down without a fight
마물의 밥 : Easy prey for monsters
은혜를 모르는 놈들 : Ungrateful wretches
대화는 말이 통해야 하는 거지? : Conversation only works if both sides listen"
이 정도로 노골적인 반응이 나올 줄이야….,I didn’t think they’d be so obvious about it...,I didn’t think they’d be so obvious about it...,I didn’t  think people  would express their disappointment  so openly.,"호락호락하지 않아요 : They won't go down without a fight
마물의 밥 : Easy prey for monsters
은혜를 모르는 놈들 : Ungrateful wretches
대화는 말이 통해야 하는 거지? : Conversation only works if both sides listen"
날 의심하고 있었다면서 나한테 영주의 권한을 빌려주다니.,"he said he was suspicious of me, but he still gave me the authority of a feudal lord.",why did abel give me this job...,"abel is suspicious  of me, and yet he’s  given me his  authority.","호락호락하지 않아요 : They won't go down without a fight
마물의 밥 : Easy prey for monsters
은혜를 모르는 놈들 : Ungrateful wretches
대화는 말이 통해야 하는 거지? : Conversation only works if both sides listen"
아벨은 왜 내게 이 일을 맡겼을까?,why did abel give me this job?,...when he was suspicious of me?,"why did he entrust me with this task, anyway?","호락호락하지 않아요 : They won't go down without a fight
마물의 밥 : Easy prey for monsters
은혜를 모르는 놈들 : Ungrateful wretches
대화는 말이 통해야 하는 거지? : Conversation only works if both sides listen"
나보다 어른인 제론이 나았을 텐데~,jeron would have been better since he’s an adult.,jeron would’ve been a better choice since he’s older than me.,he could’ve had jeron do this instead.,"호락호락하지 않아요 : They won't go down without a fight
마물의 밥 : Easy prey for monsters
은혜를 모르는 놈들 : Ungrateful wretches
대화는 말이 통해야 하는 거지? : Conversation only works if both sides listen"
"뭐, 그건 천천히 고민해 보고….","well, I’ll think about that later...","well, I’ll think about that later...","well, I’ll have to think about that later…","호락호락하지 않아요 : They won't go down without a fight
마물의 밥 : Easy prey for monsters
은혜를 모르는 놈들 : Ungrateful wretches
대화는 말이 통해야 하는 거지? : Conversation only works if both sides listen"
