hangle,first_translate,second_translate,label
"그런데,","by the way,","By the way,","by the way,"
차라리 어둠의 존재 자체를 없앨 방법은 없는 건가요?,is there a way to get rid of the darkness itself?,Is there a way to erase the very existence of darkness instead?,is there a way to get rid of the darkness completely?
"오, 클로비스 후작님과 똑같은 말씀을 하시는군요.","oh, you sound just like marquess clovis.","Oh, you sound just like Marquess Clovis.","oh, you sound just like marquess clovis."
후작님을 아시나요?,do you know him?,Do you know the marquis?,do you know the marquess?
언덕이 가파르네요.,this hill is steep.,This hill is steep.,this hill is so steep!
그럼요.,of course.,Of course.,of course.
아카데미에 가장 많은 연구비를 후원해 주시는 분이죠.,he’s the one who funds the most research at the academy.,He’s the one who provides the most research funding at the academy.,he's the academy's most generous research donor.
연구의 중요성을 알아주시는 분이에요.,he’s someone who understands the importance of research.,He is someone who recognizes the importance of research.,he's one of the few who understand the importance of research.
저희 입장에선 참 감사하죠.,we’re very grateful to him.,We’re very grateful.,we are truly grateful for his patronage.
"그리고,",and...,And...,and...
"그 부분을 제외하고서도, 정말 멋지시고요~","...even without that, he’s a very wonderful person.","Even aside from that, he’s truly admirable~","...even if you put his donations aside, he is quite a remarkable young man."
네에…,yes...,Yeah...,I see...
이미지 좋네.,he has a good reputation.,He has a good image.,he has a pretty good image.
그나저나,"anyway,","Anyway,","anyway,"
"꾸준히 독자적인 노력을 하고 있었다니,",I didn’t know he was making his own efforts.,To think he had been making steady efforts on his own.,I didn't know he's been putting effort into this for so long.
역시 아렌트는 의심스럽긴 해도 대단한 인물이긴 해.,"arendt is a suspicious man, but he’s still an impressive one.","Arendt may be suspicious, but he is undeniably a remarkable figure.","as suspicious as he may be, arendt never fails to impress."
"사실은,","actually,","Actually,","to tell you the truth,"
저희도 어둠을 없애는 걸 목표로 연구를 진행 중 입니다만…,"we’re also conducting research to get rid of the darkness,",We’re also conducting research with the goal of eliminating the darkness…,"we’ve been focusing our research on getting rid of the darkness for good,"
좀처럼 큰 소득이 없어요.,but we haven’t made much progress.,But we haven’t made much progress.,but we've had very little success.
"마력과 어둠, 성녀님이 지니신 신성력이","we did find out that magic, darkness, and the saint’s divine powers...","We did find out that magic, darkness, and the divine power possessed by the saint...","we did learn that magical powers, the darkness, and the divine powers you possess..."
전부 유기적인 관계가 있다는 걸 알아내기는 했지만요.,...are all related to each other.,We've discovered that they are all organically connected.,...all share a symbiotic relationship.
신성력은 마력과 완전히 상반되는 힘이에요.,"divine power is the opposite of magic,",Divine power is completely opposite to magic.,divine powers are completely at odds with magical powers.
그리고 마력은 근본적으로 어둠과 유사한 성질.,and magic is similar to darkness.,"And fundamentally, magic has properties similar to darkness.",and magical powers have a quality that is fundamentally the same as the darkness...
또한 마력과 마력석은 서로 상호작용을 하죠.,magic and magic stones also interact with each other.,magic and magic stones also interact with each other.,...while magical powers and magic stones interact well with each other.
그러니 그쪽을 연구하면 뭔가 답이 나올지도 몰라요.,"so if you research that, you might find an answer.","So if you research that, you might find an answer.","so with continued research, you may be able to find your answer."
…잘 알고 계시네요.,you know a lot.,…You are quite knowledgeable.,you seem quite knowledgeable on the subject...
관심 분야가 비슷한 분을 만나게 되어 기뻐요.,I’m glad to meet someone with similar interests.,I'm glad to meet someone with a similar field of interest.,I'm glad to meet someone with the same interest.
제인이라 합니다. 편하게 이름으로 불러주세요.,my name is jane. please call me by my name.,My name is Jane. Please feel free to call me Jane.,my name is jane. I'm pleased to make your acquaintance.
피오나 헤일론이에요.,I’m fiona heylon.,I'm Fiona Heylon.,I'm fiona heylon.
헤일론은 마물의 습격이 잦아 자연히 이쪽에 관심이 생겼답니다. 잘 부탁드려요.,"we’re often attacked by demons in heylon, so I naturally became interested in this field. it’s nice to meet you.","Heylon is frequently attacked by monsters, so I naturally took an interest in this field. I look forward to working with you.",I naturally developed an interest in the subject due to heylon being attacked by demonic beasts so frequently.
