원문,첫 번 째 후보군,두 번 째 후보군,bleu 기준 라벨
"…그래서,",so...,"...So,",1
안 하시는 건가요?,...are you not going to do it?,Are you not going to do it?,1
약혼.,"the engagement, I mean.",Engagement.,1
약혼이요…,the engagement...,Engagement...,1
"그렇죠, 보통 약혼을 하죠….","yes, I suppose that’s what people usually do...","Yes, people usually get engaged...",1
이제 생각해 봐야겠…내요?,I guess I should think about it now...,I guess I should think about it now...,3
피오나 영애는 늘 여러 의미로 느긋하네요….,"you’re always so laid-back about everything, my lady...","Fiona, you’re always so laid-back in many ways...",2
얼마 전까지도 헤어지냐 마냐로 고민했는걸…!,I was just thinking about whether or not to break up with him!,I was still debating whether to break up or not a while ago!,1
딱히 급할 것도 없으니까요.,there’s no need to rush.,There's no particular need to rush.,2
시그렌도 그런걸 염두하고 있을지도 의문이고….,I’m not even sure if siegren is thinking about it...,I wonder if Siegren is even considering that...,1
일단 아벨이 수도로 오지도 않았지.,abel hasn’t even come to the capital yet.,abel hasn’t even come to the capital yet.,3
‘저희 약혼할게요!’ 하면 무슨 반응이 나올지도 모르겠고.,"I don’t know how siegren will react if I suddenly say, “let’s get engaged!”","I don’t know how people will react if we suddenly announce, “We’re getting engaged!”",1
8시 이후 시그렌       출입 금지,siegren not allowed after 8 o’clock,Siegren not allowed after 8 o’clock.,1
곧 출입 금지 시간이군.,it’s almost time for me to leave.,It’s almost curfew time.,1
돌아갈게.,I’ll get going now.,I’ll be going back.,1
왜 착실하게 지키는 거야?!,why is he following the rule so strictly?!,Why is he being so diligent about it?!,2
8시가?!,why is he following the rule so strictly?!,8 o'clock?!,2
중학생들이냐고,are you a middle schooler?,Are you middle schoolers?,2
그런데 생각해 보니,"but now that I think about it,","But now that I think about it,",3
시그렌이 나하고 결혼하면…,if siegren and I get married...,If Siegren and I get married...,3
누가.,you’re...,Who.,1
네 장인이지?,"...his future father-in-law, right?","He's your father-in-law, right?",2
무슨 생각해요?,what are you thinking about?,What are you thinking about?,3
황태자와 황후가 없는 평화로운 사교계.,high society without the crown prince and the empress...,A peaceful high society without the crown prince and the empress.,2
아….,oh...,Oh...,3
…일단 시그렌한테 이것부터 괜찮은지 물어봐야지.,I should ask siegren if he’s okay with that first...,I should ask Siegren if this is okay with him first.,2
여러모로 새로운 고민거리가 던져졌다.,I have a lot of new things to think about now.,A new concern has arisen in many ways.,1
아무것도 아니에요.,it’s nothing.,It's nothing.,2
"뭐야,",huh?,What?,2
"케인 에레즈가 쩔쩔매고 있고,",cain ereze is struggling helplessly...,cain ereze is struggling helplessly.,1
그 앞에 선 건 대여섯 살은 차이 날 10대 후반의 소녀…,...against a young lady who looks to be in her late teens...,"Standing in front of him was a girl in her late teens, likely six or seven years younger.",2
누구지?,who is she?,who could it be?,1
척 봐도 보통 신분은 아닌데.,she doesn’t look like she’s of common status.,She doesn’t look like she’s of common status.,3
얼굴을 아는 귀족 영애도 아니다.,but she’s not a noble lady I know.,She’s not a noble lady whose face I recognize.,2
설마….,wait...,No way...,2
'전 애인' 같은 건 아니겠지?,"she’s not his ex-girlfriend, is she?","she’s not an ex-lover, is she?",2
진짜라면 땅에 고이 묻어주는 게,"if she is, I should get rid of her quietly...","If it's true, getting rid of her quietly would be best.",1
이 세상을 위하는 길이다.,that would be the best for this world.,That would be for the good of this world.,2
"화, 황자 전하…!",y-your highness...!,Y-Your Highness the Prince...!,1
이제 훈련 시간이다. 뭘 하고 있지?,it’s time for training. what are you doing?,It’s time for training. What are you doing?,3
놀라는 걸 보니 진짜 같은데.,"judging by his reaction, it must be true.","Seeing his reaction, it seems to be true.",1
"처음 뵙겠습니다,","it’s nice to meet you,","It's a pleasure to meet you for the first time,",1
…라고 해도 무방할까요?,...I suppose?,...Would it be acceptable to say so?,1
"안녕하세요,","hello,",hello.,1
오빠.,brother.,Brother.,3
1 황녀예요.,I’m the first princess.,I’m the first princess.,3
아리아라고 불러 주세요.,please call me aria.,Please call me Aria.,3
…오빠?,brother...?,...Brother?,1
그랬지.,that’s right.,That's right.,2
얼굴을 본 건 처음이지만.,"I’ve never seen her face before,",It's my first time seeing her face.,2
적통의 황녀는 아니었다.,but she’s not of legitimate birth.,She was not a princess of legitimate birth.,2
하급 귀족 출신 황비의 소생이라 했던가.,she’s the daughter of an empress from a low-ranking noble family.,She is the daughter of an imperial consort from a low-ranking noble family.,1
앗!,oh!,Oh!,3
"아침 훈련을 방해해 죄송해요, 오빠.","I’m sorry for interrupting your morning training, brother.","I’m sorry for interrupting your morning training, brother.",3
예전 제 기사였던 케인 경과 이야기를 나누고 싶어서요.,"I wanted to talk to sir cain, who used to be my knight.","I wanted to talk to Sir Cain, who used to be my knight.",3
아.,oh.,Oh.,3
잠깐이라면 데려가도 좋아.,you can take him if it’s just for a moment.,You may take him if it's just for a moment.,2
